arm,executable_stream_count,expected_stream_count,failed_stream_count,feasible_cross_candidate_count_sum,full_day_actual_total_emissions_kg_max,full_day_actual_total_emissions_kg_mean,full_day_actual_total_emissions_kg_min,full_day_cross_site_customer_count_mean,full_day_cross_site_customer_count_sum,full_day_net_profit_max,full_day_net_profit_mean,full_day_net_profit_min,minimum_stage_bilateral_profit_ratio,network,responsibility_condition
full,5,5,0,182,1484.592186407663,1271.7736944902158,888.7522088506703,0.2,1,5843.5459688677,5001.1371556962895,4447.990494707774,1.0,N114,geographic
no_cooperation,5,5,0,0,1657.794547048724,1351.8659580993713,877.6694223737181,0.0,0,5938.908802035157,5038.810137002551,4415.439096531651,0.9993511183813906,N114,geographic
no_participation,5,5,0,84,1577.5029516711447,1300.5339529277323,890.3685911708521,1.2,6,5860.511475958654,5096.783219363952,4676.422796611232,0.9445224363234291,N114,geographic
simple_insertion,5,5,0,0,1631.2834767804463,1369.2176334517176,944.3872018603695,0.0,0,5678.639579486715,4851.36390769574,4550.084097963795,0.8041354334598912,N114,geographic
full,5,5,0,111,1998.6476669046233,1733.1740760705102,1311.2211878931448,1.0,5,5404.930829905879,4398.728028073924,3995.5689745676996,1.0,N114,historical_mixed
no_cooperation,5,5,0,0,1939.7074357567258,1705.529344215407,1307.8213753536982,0.0,0,5521.444820551042,4446.166337708655,3928.4867917097076,1.0,N114,historical_mixed
no_participation,3,5,2,59,1767.3315437782812,1611.949382188711,1311.2211878931448,1.6666666666666667,5,5404.930829905879,4684.462599553393,4305.344816318276,0.9994234106811607,N114,historical_mixed
simple_insertion,5,5,0,0,1835.0788258458253,1720.0821347096803,1322.3691788191609,0.0,0,5388.995509502546,4342.650058167159,3795.472721581728,0.936976462995347,N114,historical_mixed
full,5,5,0,385,2716.3838432401762,2628.736607506843,2538.0741478352456,0.6,3,9641.214010615944,9310.80269455183,9070.089188195538,1.0,N221,geographic
no_cooperation,5,5,0,0,3011.521557790968,2743.3613558511524,2477.14745340558,0.0,0,9425.580824568082,9251.34877718263,9101.42835791887,1.0,N221,geographic
no_participation,5,5,0,385,2716.3838432401762,2628.736607506843,2538.0741478352456,0.6,3,9641.214010615944,9310.80269455183,9070.089188195538,1.0,N221,geographic
simple_insertion,5,5,0,0,2759.0230666933576,2693.3470461614675,2653.3501333475097,0.0,0,9281.504763318995,9125.80700764222,9026.541305378803,0.9795347184184666,N221,geographic
full,5,5,0,371,3485.2289180360904,3375.915278773207,3270.5358777220695,1.8,9,8244.732660230797,8014.4533530354165,7780.481147121128,1.0,N221,historical_mixed
no_cooperation,5,5,0,0,3485.1496051109425,3411.754195420538,3328.0751842892278,0.0,0,8093.199439132186,7950.584989512652,7854.548560173349,1.0,N221,historical_mixed
no_participation,5,5,0,371,3497.2793289177766,3443.1185922273553,3361.651770326768,1.8,9,8257.742218030156,7978.791210538693,7698.181346587271,0.9883264985022849,N221,historical_mixed
simple_insertion,5,5,0,0,3569.521831191502,3460.650497019432,3339.520849611483,0.0,0,7877.826630215286,7734.15561136256,7557.645812725291,0.9348242636437748,N221,historical_mixed
full,5,5,0,577,3886.4620203651384,3760.5104698535847,3707.075965353172,0.4,2,14047.795614036651,13876.006629045969,13494.954793910598,1.0,N322,geographic
no_cooperation,5,5,0,0,3865.870028401579,3752.736443859742,3663.906642530092,0.0,0,14187.201127329616,13861.859976745798,13688.876180742162,0.9991642826828668,N322,geographic
no_participation,5,5,0,577,3770.541948254574,3729.2003758251026,3654.8737122253124,1.8,9,14124.615786097303,14008.431850469142,13897.923239964832,0.9967066317263907,N322,geographic
simple_insertion,5,5,0,0,3843.372642896622,3797.991965813151,3768.884919510857,0.0,0,13960.358684620045,13833.08918813195,13726.346353074574,0.9760805627819052,N322,geographic
full,5,5,0,565,4562.265203234058,4459.111092278208,4325.629647740626,2.6,13,12866.210376819652,12571.882694724156,12339.774630977241,1.0,N322,historical_mixed
no_cooperation,5,5,0,0,4604.751564119469,4516.582551751756,4428.328039688297,0.0,0,12539.614373305074,12286.521975629443,12106.682059114977,0.9983818284984205,N322,historical_mixed
no_participation,5,5,0,566,4601.9414723520185,4429.8040100813,4323.1986063972545,4.8,24,12812.732028370301,12516.358909274402,11762.58085612766,0.9926548622217347,N322,historical_mixed
simple_insertion,5,5,0,0,4623.026707696701,4588.92042194338,4491.871494229532,0.0,0,12306.42413047159,12182.67712313271,11995.099840866229,0.9787735371751902,N322,historical_mixed
