actual_charging_saving_kg,arm,aware_actual_charging_emissions_kg,aware_predicted_charging_emissions_kg,aware_vs_immediate_moved_action_count,aware_vs_immediate_moved_energy_kwh,baseline_output_sha256,certificate_sha256,charge_actions_at_earliest,charging_strategy,cross_site_customer_count,customer_accounting_pass,elapsed_seconds,eligible_charge_actions,energy_sha256,existing_cross_accepted_count,existing_cross_actual_call_count,existing_cross_best_improved_count,existing_cross_candidate_build_count,existing_cross_changed_candidate_count,existing_cross_dynamic_feasible_count,existing_cross_forced_insertion_count,existing_cross_gate_rejection_count,existing_cross_moved_customer_ids,existing_cross_operator_id,existing_cross_pair_removal_count,existing_cross_rejection_counts_json,existing_cross_scheduled_call_count,existing_cross_scheduled_slots,existing_cross_within_depot_reinsert_count,feasible_cross_candidate_count,forced_cross_attempt_count,future_cost,immediate_actual_charging_emissions_kg,immediate_predicted_charging_emissions_kg,main_evaluations,main_search_seed,minimum_profit_margin,minimum_profit_ratio,moved_charge_actions,moved_charge_kwh,moved_from_search_schedule_actions,moved_from_search_schedule_kwh,network,participation_gate_rejections,predicted_charging_saving_kg,profit_margins_json,profit_ratios_json,responsibility_condition,route_sha256,running_actual_charging_emissions_kg,running_depot_profit_json,running_predicted_charging_emissions_kg,running_total_actual_emissions_kg,running_total_cost,running_total_profit,same_state_baseline_allowed_cross_count,same_state_baseline_cost,same_state_baseline_profit_json,same_state_baseline_start_source,same_state_cost_saving_pct,second_start_sha256,selected_future_profit_json,shadow_evaluations,shadow_existing_cross_actual_call_count,shadow_search_seed,solution_sha256,stage,stage_new_customer_count,stage_new_customer_ids_json,stream_seed,trigger_second
0.0,full,86.90777996992095,84.55326347927907,0,0,730653ac99020208ba256621c50d1d0ce1e55c6a1796d6cfd1d225757a9433e9,d3b487150ce6b3c415fb841ea45725ca926e1aecd6043b3ac311efa4b85cc95c,8,aware,0,True,2.7869009999994887,8,8a152ae16050e98c3b26008021a9b703307019fe00f32b8473d9e00ce79c4d1a,1,1,0,1,1,1,2,1,C058;C086,reciprocal_boundary_reinsert_v1,1,{},1,1,0,1,0,4278.002025224899,86.90777996992095,84.55326347927907,50,10012,0.0,1.0,1,80.09263329962712,1,80.09263329962712,N114,1,0.0,"{""D0"": 0.0, ""D1"": 0.0}","{""D0"": 1.0, ""D1"": 1.0}",geographic,44d2f561f9d5ee9f4204a83043fdb3bc00eb1c2db2aab9b8700d87b77d16d171,121.38741137200832,"{""D0"": 2536.2098620858296, ""D1"": 2444.367803225761}",115.97494064506478,1370.330569707329,4653.130654654954,4980.57766531159,0,4278.002025224899,"{""D0"": 2605.408500236282, ""D1"": 2444.367803225761}",owner_fixed_asset_repack,0.0,730653ac99020208ba256621c50d1d0ce1e55c6a1796d6cfd1d225757a9433e9,"{""D0"": 2605.408500236282, ""D1"": 2444.367803225761}",50,1,10011,e765a553ab60cec89263b4517d97b6b1c7175b3248f368e6074ec83a7450c8df,1,0,[],1,10800.0
0.0,full,64.12884825284088,60.07015603892852,0,0,b04ebb5b1e35add5af83bfc301f30670c0195ded097abe4115b742993c0742b6,f5048a4c48a4806ae241ed33d2835ddef22627399af3ab6b562335b6678d2c2c,7,aware,0,True,0.7793600410077488,7,5793eb19ddcdd758d8318cf39f9eae134eb850aeb26c2b978d2ccf672f48e275,1,1,0,1,1,1,2,1,C072;C107,reciprocal_boundary_reinsert_v1,1,{},1,5,0,22,4,2863.0517762958057,64.12884825284088,60.07015603892852,50,10022,0.0,1.0,6,399.06304706515414,6,399.06304706515414,N114,22,0.0,"{""D0"": 0.0, ""D1"": 0.0}","{""D0"": 1.0, ""D1"": 1.0}",geographic,6492e40f122ce3b82a391188504f60404bde9fbcffd958a372ab7c5914cf96ca,121.20959276507375,"{""D0"": 2266.73888762041, ""D1"": 2434.530414298777}",111.78990994954151,1406.3415980571315,4995.668895439887,4701.269301919187,0,2863.0517762958057,"{""D0"": 2287.511520099939, ""D1"": 2468.351131335344}",owner_fixed_asset_repack,0.0,b04ebb5b1e35add5af83bfc301f30670c0195ded097abe4115b742993c0742b6,"{""D0"": 2287.511520099939, ""D1"": 2468.351131335344}",50,1,10021,65136db2be0da8a2327be28933abf87b2b72b573c53aff8758147e1c881747a5,2,1,"[""N_S1_001""]",1,21600.0
0.0,full,31.407402138426967,29.623032212994936,0,0,278644742da398994e5f170d26f2011a0c5ab6cd2caaec80aaab35cd18318c1d,d6a6fcb0a8a22c551f8e6c7fae58a448a335ce353fccf62e5ceb5ef3ee2bef82,3,aware,0,True,1.193857874997775,3,aeb383052ed77314860221b2224a61118ff632aec578a26be829a9732d5821d7,0,1,0,1,1,1,2,1,C082;C104,reciprocal_boundary_reinsert_v1,1,{},1,1,0,4,0,1951.961043980334,31.407402138426967,29.623032212994936,50,10032,0.0,1.0,3,206.64751263545386,3,206.64751263545386,N114,10,0.0,"{""D0"": 0.0, ""D1"": 0.0}","{""D0"": 1.0, ""D1"": 1.0}",geographic,f19e47b0fccc7627dee553d1d29504f222a9b425f90cb04ff744951b999a6d84,100.36940071906956,"{""D0"": 2270.4223262594546, ""D1"": 2177.5681684483197}",92.03592231385701,1484.592186407663,5215.620342651299,4447.990494707774,0,1951.961043980334,"{""D0"": 2313.9646911011605, ""D1"": 2215.146407487324}",owner_fixed_asset_repack,0.0,278644742da398994e5f170d26f2011a0c5ab6cd2caaec80aaab35cd18318c1d,"{""D0"": 2313.9646911011605, ""D1"": 2215.146407487324}",50,1,10031,ad1c3fc199fd603b7559ef7914ae5aad4fc1602e85742c5fc40236d4bc0a0f67,3,0,[],1,32400.0
0.0,no_cooperation,92.1963534154417,89.73681678494667,0,0,730653ac99020208ba256621c50d1d0ce1e55c6a1796d6cfd1d225757a9433e9,5e98d99c7b1544d3801bebe798623166c16d81161afc75b196497997987f0643,8,aware,0,True,2.639577540991013,8,27763355fcf124af8d214fe20efb025c52c077bd0931cafe293e67827d3cf928,1,1,1,1,1,1,0,0,,reciprocal_boundary_reinsert_v1,1,{},1,1,1,0,0,4210.604130188943,92.1963534154417,89.73681678494667,50,10012,-1.5861053366338638,0.9993511183813906,2,183.18962171891863,2,183.18962171891863,N114,0,0.0,"{""D0"": 68.9840003725908, ""D1"": -1.5861053366338638}","{""D0"": 1.0264772301028169, ""D1"": 0.9993511183813906}",geographic,75672c567ed55feb3d3f00b49626dfa4bc736afba6ea3089ba8809f8c7c52419,126.67598481752906,"{""D0"": 2605.1938624584204, ""D1"": 2442.7816978891256}",121.15849395073239,1320.7290724263216,4585.732759618997,5047.975560347546,0,4278.002025224899,"{""D0"": 2605.408500236282, ""D1"": 2444.367803225761}",owner_fixed_asset_repack,1.5754526210728677,730653ac99020208ba256621c50d1d0ce1e55c6a1796d6cfd1d225757a9433e9,"{""D0"": 2674.392500608873, ""D1"": 2442.781697889127}",50,1,10011,8ff584e1437c9952f9a3579e13aa9ed9ccc70705d8b4fe5f065fb058c0acca73,1,0,[],1,10800.0
0.0,no_cooperation,74.68341090098185,73.21298808627523,0,0,1e2ab7cde57f3921845ce4927893589d863029f7baa64ea4e1d5d1161bf5d6bb,f76cee998d8640957c9ce19394eb0fa68d4cfc64988022ce35401f6d8af5eaa6,8,aware,0,True,0.7066654999944149,8,f8c4d975f4b95571ee11e0be51120caee6e61f14e123843b231fe6b57a26d7a7,1,1,1,1,1,1,0,0,,reciprocal_boundary_reinsert_v1,1,{},1,5,1,0,0,2779.4673311836887,74.68341090098185,73.21298808627523,50,10022,0.0,1.0,3,161.48447824766362,3,161.48447824766362,N114,0,0.0,"{""D0"": 7.993224736626871, ""D1"": 0.0}","{""D0"": 1.0032619903768172, ""D1"": 1.0}",geographic,24186b4f386c6952b352cc850a74fb1ac11d3f3c320eeac6d67b297cb642ad2c,123.12832183414444,"{""D0"": 2437.6339329690895, ""D1"": 2351.9228626988106}",117.23951234215829,1425.7807044321564,4907.381401691172,4789.556795667901,0,2787.460555920316,"{""D0"": 2450.4133407119925, ""D1"": 2365.16164069947}",owner_fixed_asset_repack,0.2867565146222584,1e2ab7cde57f3921845ce4927893589d863029f7baa64ea4e1d5d1161bf5d6bb,"{""D0"": 2458.4065654486194, ""D1"": 2365.16164069947}",50,1,10021,391b27755029510f4490ec28ffe854fc3436e4ed6607f5b6a7b3d83b47945f0c,2,1,"[""N_S1_001""]",1,21600.0
0.0,no_cooperation,50.68082069604469,48.250576647601534,0,0,20edba176d1eb5d28855297e8b6f49bba9454dcbc299c0400f6bb744e0f75e2b,c165ac5e3fcc40849256610c9b32b6fab6c51158e8e28fb02b09f54840547fd9,5,aware,0,True,1.0570766250020824,5,f456832f82c3d0d2b72faa1ac4bcc84c145b8884e617e497d8ea7eaeeb1143d8,0,1,0,1,1,0,0,0,,reciprocal_boundary_reinsert_v1,1,"{""E7_DYNAMIC_MULTITRIP_V1: no inherited asset can serve open route DYN_OPEN_007"": 1}",1,1,1,0,0,2052.0952152250534,50.68082069604469,48.250576647601534,50,10032,0.0,1.0,2,158.5596171612395,2,158.5596171612395,N114,0,0.0,"{""D0"": 0.0, ""D1"": 0.0}","{""D0"": 1.0, ""D1"": 1.0}",geographic,e61ee6d51c5b1e9a2e78e4a021c5ba48112b97f5e27ce0db3c4fb42a307dfed6,113.04140333506088,"{""D0"": 2253.046394290419, ""D1"": 2162.392702241232}",104.69770943701756,1634.6911092459097,5248.171740827422,4415.439096531651,0,2052.0952152250534,"{""D0"": 2296.9859146632325, ""D1"": 2183.3924216259043}",owner_fixed_asset_repack,0.0,20edba176d1eb5d28855297e8b6f49bba9454dcbc299c0400f6bb744e0f75e2b,"{""D0"": 2296.9859146632325, ""D1"": 2183.3924216259043}",50,1,10031,8e6f7d5983a3dde15fdd15b2e6ba93ed62657fed8711c35edcfde35093e3b72b,3,0,[],1,32400.0
0.0,no_participation,86.0136602625224,83.69736879756027,0,0,730653ac99020208ba256621c50d1d0ce1e55c6a1796d6cfd1d225757a9433e9,c226151f8a1b6e54c408f5b3e181e6e951985cb51c0b3bf74e72bbd9939287a2,8,aware,2,True,2.7893577500071842,8,21a9987dad12c187700aa2cfecc5b774652acd8f09d4efd0bb0e95c361ccd937,1,1,1,1,1,1,2,0,C058;C086,reciprocal_boundary_reinsert_v1,1,{},1,1,0,1,0,4249.797160530723,86.0136602625224,83.69736879756027,50,10012,-35.10443814624023,0.9856386432107664,2,171.98431160611375,2,171.98431160611375,N114,0,0.0,"{""D0"": 63.30930284041551, ""D1"": -35.10443814624023}","{""D0"": 1.0242991848820153, ""D1"": 0.9856386432107664}",geographic,2f1b44d5a5914c7739cbf7ee88d263fd5d79633dd71f068e7f6c00756e010b15,120.49329166460974,"{""D0"": 2599.519164926245, ""D1"": 2409.26336507952}",115.119045963346,1351.1538396354622,4624.925789960777,5008.782530005765,0,4278.002025224899,"{""D0"": 2605.408500236282, ""D1"": 2444.367803225761}",owner_fixed_asset_repack,0.6592999378651061,730653ac99020208ba256621c50d1d0ce1e55c6a1796d6cfd1d225757a9433e9,"{""D0"": 2668.7178030766977, ""D1"": 2409.2633650795206}",50,1,10011,3ba4554d27558139f2c7e0b1d8ffb8d2e931445484e95ef75bbd64c2076e7d9a,1,0,[],1,10800.0
0.0,no_participation,77.52724783383984,74.54774277432739,0,0,86c28f7e2f2e10bd1342440d0793b46de1360d2c81e417f80533902a2479f90d,10810a575477d9a070b8b72196d458ab197b352baf36dd44fa5693e35193ff00,8,aware,1,True,0.7249051249964396,8,d6ed623f13b2562712f3dcced2e43b9453743fcdfadba54f41a0f13e3cfa74b8,1,1,1,1,1,1,1,0,C072,reciprocal_boundary_reinsert_v1,1,{},1,5,0,22,4,2627.8999217160704,77.52724783383984,74.54774277432739,50,10022,-144.17493640864086,0.9445224363234291,2,163.21438670092732,2,163.21438670092732,N114,0,0.0,"{""D0"": 282.1562183707201, ""D1"": -144.17493640864086}","{""D0"": 1.1276491186912445, ""D1"": 0.9445224363234291}",geographic,76c18ed62ffe23c93a6b5f94a6203bd38d8edcce230e7f4fd582eb0d28a25d09,133.71387263867413,"{""D0"": 2471.788336535768, ""D1"": 2422.753557368739}",125.4116020032216,1364.1174958797126,4802.396303454565,4894.541893904507,0,2765.881203678149,"{""D0"": 2210.404750644577, ""D1"": 2598.7971867179945}",owner_fixed_asset_repack,4.988691552572369,86c28f7e2f2e10bd1342440d0793b46de1360d2c81e417f80533902a2479f90d,"{""D0"": 2492.560969015297, ""D1"": 2454.6222503093536}",50,1,10021,b9e96b0717f88859d0186d9585405b2f33d62483f77014b122cbf8d32a9d0649,2,1,"[""N_S1_001""]",1,21600.0
0.0,no_participation,31.52341321381247,29.47698829702893,0,0,0b7a7ec106015d30df4534745651fd9e99b8773d392695a363177b70ca1d88d3,97bd60de7f3af54876acf799b43d26a1de318069fc1ad4308129ddac8bc0bb40,4,aware,0,True,1.1400108340021688,4,0dcdb5329ecb9f3bc47db5655dcb6c2f441ae416b7a46aef2d28ba59b16db74f,0,1,0,1,1,1,2,0,C082;C104,reciprocal_boundary_reinsert_v1,1,{},1,1,0,1,0,1798.590090044645,31.52341321381247,29.47698829702893,50,10032,0.0,1.0,3,210.27551219371003,3,210.27551219371003,N114,0,0.0,"{""D0"": 0.0, ""D1"": 0.0}","{""D0"": 1.0, ""D1"": 1.0}",geographic,2f6fbc4353a2b748744f61480906759c18feed72c3453b6c5f6b3cb04a91663a,102.1599148564654,"{""D0"": 2368.761101188544, ""D1"": 2307.661695422688}",93.46660932795507,1445.5863228734797,4987.188040747843,4676.422796611232,0,1798.590090044645,"{""D0"": 2413.405709523945, ""D1"": 2347.836067643178}",owner_fixed_asset_repack,0.0,0b7a7ec106015d30df4534745651fd9e99b8773d392695a363177b70ca1d88d3,"{""D0"": 2413.405709523945, ""D1"": 2347.836067643178}",50,1,10031,96166e6168e54ddbfb643090296237aa54139a86b3a62b27e768001f64f510d3,3,0,[],1,32400.0
0.0,simple_insertion,92.1963534154417,89.73681678494667,0,0,730653ac99020208ba256621c50d1d0ce1e55c6a1796d6cfd1d225757a9433e9,5e98d99c7b1544d3801bebe798623166c16d81161afc75b196497997987f0643,8,aware,0,True,1.6424750000005588,8,27763355fcf124af8d214fe20efb025c52c077bd0931cafe293e67827d3cf928,1,1,1,1,1,1,0,0,,reciprocal_boundary_reinsert_v1,1,{},1,1,1,0,0,4210.604130188943,92.1963534154417,89.73681678494667,1,10012,-1.5861053366338638,0.9993511183813906,2,183.18962171891863,2,183.18962171891863,N114,0,0.0,"{""D0"": 68.9840003725908, ""D1"": -1.5861053366338638}","{""D0"": 1.0264772301028169, ""D1"": 0.9993511183813906}",geographic,75672c567ed55feb3d3f00b49626dfa4bc736afba6ea3089ba8809f8c7c52419,126.67598481752906,"{""D0"": 2605.1938624584204, ""D1"": 2442.7816978891256}",121.15849395073239,1320.7290724263216,4585.732759618997,5047.975560347546,0,4278.002025224899,"{""D0"": 2605.408500236282, ""D1"": 2444.367803225761}",owner_fixed_asset_repack,1.5754526210728677,730653ac99020208ba256621c50d1d0ce1e55c6a1796d6cfd1d225757a9433e9,"{""D0"": 2674.392500608873, ""D1"": 2442.781697889127}",50,1,10011,8ff584e1437c9952f9a3579e13aa9ed9ccc70705d8b4fe5f065fb058c0acca73,1,0,[],1,10800.0
