full_day_participation_floor_met,full_day_participation_margin_d0,full_day_participation_margin_d1,full_day_participation_ratio_d0,full_day_participation_ratio_d1,full_minimum_stage_bilateral_profit_ratio,full_minus_no_cooperation_completed_customer_count,full_minus_no_cooperation_completed_demand,full_minus_no_cooperation_cost,full_minus_no_cooperation_net_profit,full_minus_no_cooperation_revenue,full_minus_no_participation_completed_customer_count,full_minus_no_participation_completed_demand,full_minus_no_participation_net_profit,full_minus_no_participation_profit_d0,full_minus_no_participation_profit_d1,full_minus_no_participation_system_cost,full_minus_simple_insertion_completed_customer_count,full_minus_simple_insertion_completed_demand,network,no_participation_minimum_stage_bilateral_profit_ratio,policy_comparison_status,responsibility_condition,simple_insertion_minus_full_actual_total_emissions_kg,simple_insertion_minus_full_predicted_total_emissions_kg,stream_seed
True,17.37593196903572,15.175466207087538,1.007712194481689,1.0070179048381724,1.0,0,0.0,-32.55139817612235,32.55139817612326,0.0,0,0.0,-228.4323019034582,-98.3387749290896,-130.09352697436816,228.4323019034564,0,0.0,N114,0.9445224363234291,PASS_ALL_FOUR_ARMS_EXECUTABLE,geographic,146.69129037278344,147.81480425658538,1
False,0.0,-3.5698352733115826,1.0,0.9984616847518116,1.0,0,0.0,3.569835273310673,-3.5698352733115826,0.0,0,0.0,-2.9938065407468457,83.96148558822006,-86.9552921289669,2.9938065407468457,0,0.0,N114,0.9701025373390912,PASS_ALL_FOUR_ARMS_EXECUTABLE,geographic,153.59562973527454,151.11014132925084,2
False,-204.73979426063488,45.73756816222203,0.9134704194891059,1.0194851752033456,1.0,0,0.0,159.00222609841148,-159.0022260984133,0.0,0,0.0,-149.14268766506302,12.301706896013002,-161.44439456107557,149.1426876650612,0,0.0,N114,0.985665902068256,PASS_ALL_FOUR_ARMS_EXECUTABLE,geographic,-15.00977600119063,-12.959022221720033,3
False,-110.21810366301543,147.23669349477132,0.9602004380005784,1.0660841241380674,1.0,0,0.0,-37.0185898317568,37.01858983175589,-1.8189894035458565e-12,0,0.0,-80.69601513808993,92.83766934330652,-173.53368448139645,80.69601513808993,0,0.0,N114,0.9814068895261628,PASS_ALL_FOUR_ARMS_EXECUTABLE,geographic,146.30755769094253,145.60277602083852,4
False,-95.36283316745767,0.0,0.9707455877291943,1.0,1.0,0,0.0,95.36283316745721,-95.36283316745721,0.0,0,0.0,-16.965507090953906,66.13361823166633,-83.09912532262024,16.96550709095345,0,0.0,N114,0.9791008274814541,PASS_ALL_FOUR_ARMS_EXECUTABLE,geographic,55.6349930096992,55.74222784476615,5
True,25.048156421146814,22.78387337668937,1.0123273850686634,1.0102371769334033,1.0,0,0.0,-47.832029797837095,47.832029797836185,-1.8189894035458565e-12,0,0.0,0.0,0.0,0.0,0.0,0,0.0,N114,1.0,PASS_ALL_FOUR_ARMS_EXECUTABLE,historical_mixed,22.18178049218045,22.12066154977856,2
False,-271.1323883450241,64.37596506511227,0.8850870475468515,1.0301153840285735,1.0,0,0.0,206.75642327991227,-206.75642327991136,0.0,0,0.0,-52.76583919634231,-52.76583919634231,0.0,52.76583919634231,0,0.0,N114,0.9994234106811607,PASS_ALL_FOUR_ARMS_EXECUTABLE,historical_mixed,54.93219118411821,55.733700529847056,4
False,2.196922656389688,-118.7109133015515,1.0007082783001455,0.950939131641098,1.0007634589773842,0,0.0,116.51399064516227,-116.51399064516227,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,N114,1.0007634589773842,PASS_ALL_FOUR_ARMS_EXECUTABLE,historical_mixed,11.147990926016064,11.159348613349266,5
False,-3.810411233767809,-2.689424664876242,0.9991466418146019,0.9994481133960439,1.0,0,0.0,6.499835898641322,-6.499835898643141,-7.275957614183426e-12,0,0.0,0.0,0.0,0.0,0.0,0,0.0,N221,1.0,PASS_ALL_FOUR_ARMS_EXECUTABLE,geographic,32.26415697817629,32.03485263509856,1
False,-4.483853738123798,51.0423652431582,0.9989603702993908,1.010642399871094,1.0,0,0.0,-46.558511505030765,46.5585115050344,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,N221,1.0,PASS_ALL_FOUR_ARMS_EXECUTABLE,geographic,-19.57231999982514,-19.58754546138971,2
False,96.74820636433924,-128.08737608767115,1.0236965236863826,0.9744776043471247,1.0,0,0.0,31.339169723329178,-31.339169723332816,-3.637978807091713e-12,0,0.0,0.0,0.0,0.0,0.0,0,0.0,N221,1.0,PASS_ALL_FOUR_ARMS_EXECUTABLE,geographic,-12.035472565594318,-12.050051072481892,3
