case,recharge_mode,status,route_count,customer_count,physical_cv,physical_ev,depot_charge_power_kw,charge_energy_kwh,max_trips_per_vehicle,wall_seconds,route_violation_count
solo_business,full,NO_14_14_WITNESS_GREEDY,59,449,14,21,22.0,3656.193279576552,3,29.22823654100648,0
shared_business,full,NO_14_14_WITNESS_GREEDY,59,449,14,21,22.0,3656.193279576552,3,76.13781374998507,0
solo_business,partial,PASS_14_14_WITNESS,59,449,14,14,22.0,1506.7375792333253,3,29.158333375002258,0
shared_business,partial,PASS_14_14_WITNESS,59,449,14,14,22.0,1506.7375792333253,3,76.318148499995,0
