algorithm,all_cv_flag,charging_actions,charging_actions_delta,cost_carbon,cost_carbon_delta,cost_carbon_share_pct,cost_elec,cost_elec_delta,cost_elec_share_pct,cost_fix,cost_fix_delta,cost_fix_share_pct,cost_fuel,cost_fuel_delta,cost_fuel_share_pct,cost_km,cost_km_delta,cost_km_share_pct,cost_occ,cost_occ_delta,cost_occ_share_pct,cost_transship,cost_transship_delta,cost_transship_share_pct,cv_routes,cv_routes_delta,ev_routes,ev_routes_delta,evaluations,feasible,gold_charging_actions,gold_cost_carbon,gold_cost_elec,gold_cost_fix,gold_cost_fuel,gold_cost_km,gold_cost_occ,gold_cost_transship,gold_cv_routes,gold_ev_routes,gold_route_count,gold_total_cost,instance,operator_base_id,route_count,route_count_delta,run_elapsed_seconds,seed,solution_path,total_cost,total_delta,violation_count
winner_kernel_only,False,20,0,66.87074680006636,0.0,1.3228500865470225,181.40301707580966,0.0,3.5885496771270944,2640.0,0.0,52.22499217670878,711.5688761662385,0.0,14.076393557186087,1452.869518569961,0.0,28.740946682232902,2.3388619171010916,0.0,0.046267820198108565,0.0,0.0,0.0,14,0,19,0,16000,True,20,66.87074680006636,181.40301707580966,2640.0,711.5688761662385,1452.869518569961,2.3388619171010916,0.0,14,19,33,5055.051020529177,100-01-24h,winner_kernel_v1,33,0,240.48053449997678,1,solver/reports/dr_alns_ppo_v2/restoration/solutions/100-01-24h_winner_kernel_only_ALNS-Wouda_seed1.json,5055.051020529177,0.0,0
winner_kernel_only,False,22,0,55.019106081777416,0.0,1.1512553003737374,212.1801983605649,0.0,4.439795470938337,2560.0,0.0,53.567092939972326,574.6457916335678,0.0,12.024259581249726,1376.731188347333,0.0,28.807612312328178,0.47715957969112566,0.0,0.009984395137700258,0.0,0.0,0.0,11,0,21,0,16000,True,22,55.019106081777416,212.1801983605649,2560.0,574.6457916335678,1376.731188347333,0.47715957969112566,0.0,11,21,32,4779.053444002934,100-01-24h,winner_kernel_v1,32,0,314.3244564170018,2,solver/reports/dr_alns_ppo_v2/restoration/solutions/100-01-24h_winner_kernel_only_ALNS-Wouda_seed2.json,4779.053444002934,0.0,0
winner_kernel_only,False,23,0,56.11855084152036,0.0,1.1713237621436186,212.19721662830588,0.0,4.42904598159324,2560.0,0.0,53.43311233313426,588.4421257615974,0.0,12.282146174753027,1366.8058136484044,0.0,28.528393975881315,7.472952260323681,0.0,0.15597777249454095,0.0,0.0,0.0,11,0,21,0,16000,True,23,56.11855084152036,212.19721662830588,2560.0,588.4421257615974,1366.8058136484044,7.472952260323681,0.0,11,21,32,4791.036659140152,100-01-24h,winner_kernel_v1,32,0,305.98342662490904,3,solver/reports/dr_alns_ppo_v2/restoration/solutions/100-01-24h_winner_kernel_only_ALNS-Wouda_seed3.json,4791.036659140152,0.0,0
winner_kernel_only,False,20,0,59.43499918852639,0.0,1.2198436426033845,205.53604469243206,0.0,4.2184208104155045,2560.0,0.0,52.541427907809314,624.4571284160281,0.0,12.816355153979831,1422.9175212609587,0.0,29.203952485191948,0.0,0.0,0.0,0.0,0.0,0.0,12,0,20,0,16000,True,20,59.43499918852639,205.53604469243206,2560.0,624.4571284160281,1422.9175212609587,0.0,0.0,12,20,32,4872.345693557946,100-01-24h,winner_kernel_v1,32,0,261.99318108404987,4,solver/reports/dr_alns_ppo_v2/restoration/solutions/100-01-24h_winner_kernel_only_ALNS-Wouda_seed4.json,4872.345693557946,0.0,0
winner_kernel_only,False,16,0,73.92612600386025,0.0,1.4969258232075535,118.39403428759489,0.0,2.3973539101665753,2560.0,0.0,51.837291016862316,799.9911517305559,0.0,16.198974274676438,1384.6040755095507,0.0,28.036767345828984,1.6142882712292277,0.0,0.032687629258131665,0.0,0.0,0.0,17,0,15,0,16000,True,16,73.92612600386025,118.39403428759489,2560.0,799.9911517305559,1384.6040755095507,1.6142882712292277,0.0,17,15,32,4938.529675802791,100-01-24h,winner_kernel_v1,32,0,280.3504611250246,5,solver/reports/dr_alns_ppo_v2/restoration/solutions/100-01-24h_winner_kernel_only_ALNS-Wouda_seed5.json,4938.529675802791,0.0,0
winner_kernel_only,False,19,0,64.36521425404165,0.0,1.325123568904797,168.49471408142352,0.0,3.468897283304689,2560.0,0.0,52.704187746617635,686.6297262710565,0.0,14.136039846015013,1372.2350471553727,0.0,28.250989671002134,5.5743278855007725,0.0,0.11476188415571828,0.0,0.0,0.0,14,0,18,0,16000,True,19,64.36521425404165,168.49471408142352,2560.0,686.6297262710565,1372.2350471553727,5.5743278855007725,0.0,14,18,32,4857.299029647395,100-01-24h,winner_kernel_v1,32,0,300.8093570829369,6,solver/reports/dr_alns_ppo_v2/restoration/solutions/100-01-24h_winner_kernel_only_ALNS-Wouda_seed6.json,4857.299029647395,0.0,0
winner_kernel_only,False,21,0,59.010825809522004,0.0,1.219246885077952,200.24765331132986,0.0,4.1373989296827,2560.0,0.0,52.893210406418476,620.7602863968335,0.0,12.82578298450637,1399.4447408776832,0.0,28.914502004452768,0.47715957969112566,0.0,0.009858789861734734,0.0,0.0,0.0,12,0,20,0,16000,True,21,59.010825809522004,200.24765331132986,2560.0,620.7602863968335,1399.4447408776832,0.47715957969112566,0.0,12,20,32,4839.940665975059,100-01-24h,winner_kernel_v1,32,0,267.9713527499698,7,solver/reports/dr_alns_ppo_v2/restoration/solutions/100-01-24h_winner_kernel_only_ALNS-Wouda_seed7.json,4839.940665975059,0.0,0
winner_kernel_only,False,22,0,59.359281026505776,0.0,1.2266280773427753,202.6373978437285,0.0,4.187394412742392,2560.0,0.0,52.901042999414386,625.94600179607,0.0,12.934842326689616,1383.619654974502,0.0,28.591766743219154,7.661722811763753,0.0,0.15832544059168296,0.0,0.0,0.0,12,0,20,0,16000,True,22,59.359281026505776,202.6373978437285,2560.0,625.94600179607,1383.619654974502,7.661722811763753,0.0,12,20,32,4839.22405845257,100-01-24h,winner_kernel_v1,32,0,229.2673706249334,8,solver/reports/dr_alns_ppo_v2/restoration/solutions/100-01-24h_winner_kernel_only_ALNS-Wouda_seed8.json,4839.22405845257,0.0,0
winner_kernel_only,False,20,0,59.153152074947435,0.0,1.2336657057634821,185.9819093727694,0.0,3.8787367272482145,2560.0,0.0,53.3899563416853,624.7227073552724,0.0,13.028874246623998,1365.0515651108649,0.0,28.468766978679007,0.0,0.0,0.0,0.0,0.0,0.0,12,0,20,0,16000,True,20,59.153152074947435,185.9819093727694,2560.0,624.7227073552724,1365.0515651108649,0.0,0.0,12,20,32,4794.909333913854,100-01-24h,winner_kernel_v1,32,0,194.9392236249987,9,solver/reports/dr_alns_ppo_v2/restoration/solutions/100-01-24h_winner_kernel_only_ALNS-Wouda_seed9.json,4794.909333913854,0.0,0
winner_kernel_only,False,12,0,70.87641863573161,0.0,1.4130269265063424,116.58249671731754,0.0,2.324245640394955,2720.0,0.0,54.22724954332872,765.7725354501388,0.0,15.266815578412576,1342.6969300501744,0.0,26.76866231135742,0.0,0.0,0.0,0.0,0.0,0.0,22,0,12,0,16000,True,12,70.87641863573161,116.58249671731754,2720.0,765.7725354501388,1342.6969300501744,0.0,0.0,22,12,34,5015.928380853362,100-01-24h,winner_kernel_v1,34,0,633.0639040420065,10,solver/reports/dr_alns_ppo_v2/restoration/solutions/100-01-24h_winner_kernel_only_ALNS-Wouda_seed10.json,5015.928380853362,0.0,0
