gain_vs_lns_pct,hybrid_cost,hybrid_seconds,instance,lns_cost,lns_seconds,seed
8.32585290444081,4806.989732006828,65.67555783300486,L-main-threeshift-100c-01,5243.560899449791,246.0569792499955,1
19.72913197172711,4829.004736213922,75.66747841699544,L-main-threeshift-100c-01,6015.887027050781,247.31248666600004,2
-0.958199310286148,5591.876466780093,60.12569995900412,L-main-threeshift-100c-01,5538.80368804316,252.40555962500366,3
4.880743527675329,5162.538916499108,58.00003716699575,L-main-threeshift-100c-01,5427.438257994762,269.8154388749972,4
-0.6829728354447442,5679.620822725818,39.568387999999686,L-main-threeshift-100c-01,5641.093685233683,260.63988795899786,5
-10.185173295970172,9442.467022371404,68.79066475000582,L-main-threeshift-150c-01,8569.63486095161,411.8837350829999,1
5.27059828893909,8411.767894711435,71.96587020900188,L-main-threeshift-150c-01,8879.785729428131,389.7208016670047,2
12.923539883469529,7711.826221080978,129.28245441699983,L-main-threeshift-150c-01,8856.384619632667,424.9523321250017,3
3.8114639952199902,8297.462642370629,93.84092216700083,L-main-threeshift-150c-01,8626.24901782297,393.89469200000167,4
-9.021237601019624,9299.500752885462,62.03035645800264,L-main-threeshift-150c-01,8529.99008039007,423.0169712499992,5
19.424854540806216,9613.824704911174,289.0414002500038,L-main-threeshift-200c-01,11931.501519634201,712.1665334999998,1
20.80375319637623,9684.927710158043,233.51431516699813,L-main-threeshift-200c-01,12229.023597763337,748.1214915419987,2
1.5200839004529392,12065.516807694781,126.72348004199739,L-main-threeshift-200c-01,12251.75374387862,801.2916893329966,3
19.285788936667274,9457.167727766126,246.13396516699868,L-main-threeshift-200c-01,11716.855809128236,777.3262814590053,4
9.785718749188682,11161.659729206072,137.5118716249999,L-main-threeshift-200c-01,12372.386693604227,743.6687448750017,5
