algorithm,battery_kwh,carbon_aware_operators,cost,elapsed_seconds,ev_routes,eval_budget,evaluations,instance,routes,run_id,seed,status,violations
LNS,280.0,False,5243.560899449791,246.0569792499955,31,4000,4000,L-main-threeshift-100c-01,32,L-main-threeshift-100c-01__LNS__seed1,1,OK,0
staged ALNS-LNS hybrid,280.0,False,4806.989732006828,65.67555783300486,29,4000,4000,L-main-threeshift-100c-01,30,L-main-threeshift-100c-01__staged_ALNS-LNS_hybrid__seed1,1,OK,0
LNS,280.0,False,6015.887027050781,247.31248666600004,32,4000,4000,L-main-threeshift-100c-01,35,L-main-threeshift-100c-01__LNS__seed2,2,OK,0
staged ALNS-LNS hybrid,280.0,False,4829.004736213922,75.66747841699544,24,4000,4000,L-main-threeshift-100c-01,29,L-main-threeshift-100c-01__staged_ALNS-LNS_hybrid__seed2,2,OK,0
LNS,280.0,False,5538.80368804316,252.40555962500366,28,4000,4000,L-main-threeshift-100c-01,31,L-main-threeshift-100c-01__LNS__seed3,3,OK,0
staged ALNS-LNS hybrid,280.0,False,5591.876466780093,60.12569995900412,34,4000,4000,L-main-threeshift-100c-01,37,L-main-threeshift-100c-01__staged_ALNS-LNS_hybrid__seed3,3,OK,0
LNS,280.0,False,5427.438257994762,269.8154388749972,33,4000,4000,L-main-threeshift-100c-01,35,L-main-threeshift-100c-01__LNS__seed4,4,OK,0
staged ALNS-LNS hybrid,280.0,False,5162.538916499108,58.00003716699575,30,4000,4000,L-main-threeshift-100c-01,34,L-main-threeshift-100c-01__staged_ALNS-LNS_hybrid__seed4,4,OK,0
LNS,280.0,False,5641.093685233683,260.63988795899786,29,4000,4000,L-main-threeshift-100c-01,32,L-main-threeshift-100c-01__LNS__seed5,5,OK,0
staged ALNS-LNS hybrid,280.0,False,5679.620822725818,39.568387999999686,31,4000,4000,L-main-threeshift-100c-01,34,L-main-threeshift-100c-01__staged_ALNS-LNS_hybrid__seed5,5,OK,0
LNS,280.0,False,8569.63486095161,411.8837350829999,41,4000,4000,L-main-threeshift-150c-01,48,L-main-threeshift-150c-01__LNS__seed1,1,OK,0
staged ALNS-LNS hybrid,280.0,False,9442.467022371404,68.79066475000582,33,4000,4000,L-main-threeshift-150c-01,46,L-main-threeshift-150c-01__staged_ALNS-LNS_hybrid__seed1,1,OK,0
LNS,280.0,False,8879.785729428131,389.7208016670047,33,4000,4000,L-main-threeshift-150c-01,44,L-main-threeshift-150c-01__LNS__seed2,2,OK,0
staged ALNS-LNS hybrid,280.0,False,8411.767894711435,71.96587020900188,38,4000,4000,L-main-threeshift-150c-01,47,L-main-threeshift-150c-01__staged_ALNS-LNS_hybrid__seed2,2,OK,0
LNS,280.0,False,8856.384619632667,424.9523321250017,38,4000,4000,L-main-threeshift-150c-01,45,L-main-threeshift-150c-01__LNS__seed3,3,OK,0
staged ALNS-LNS hybrid,280.0,False,7711.826221080978,129.28245441699983,42,4000,4000,L-main-threeshift-150c-01,49,L-main-threeshift-150c-01__staged_ALNS-LNS_hybrid__seed3,3,OK,0
LNS,280.0,False,8626.24901782297,393.89469200000167,35,4000,4000,L-main-threeshift-150c-01,45,L-main-threeshift-150c-01__LNS__seed4,4,OK,0
staged ALNS-LNS hybrid,280.0,False,8297.462642370629,93.84092216700083,48,4000,4000,L-main-threeshift-150c-01,53,L-main-threeshift-150c-01__staged_ALNS-LNS_hybrid__seed4,4,OK,0
LNS,280.0,False,8529.99008039007,423.0169712499992,42,4000,4000,L-main-threeshift-150c-01,49,L-main-threeshift-150c-01__LNS__seed5,5,OK,0
staged ALNS-LNS hybrid,280.0,False,9299.500752885462,62.03035645800264,38,4000,4000,L-main-threeshift-150c-01,48,L-main-threeshift-150c-01__staged_ALNS-LNS_hybrid__seed5,5,OK,0
LNS,280.0,False,11931.501519634201,712.1665334999998,42,4000,4000,L-main-threeshift-200c-01,59,L-main-threeshift-200c-01__LNS__seed1,1,OK,0
staged ALNS-LNS hybrid,280.0,False,9613.824704911174,289.0414002500038,64,4000,4000,L-main-threeshift-200c-01,68,L-main-threeshift-200c-01__staged_ALNS-LNS_hybrid__seed1,1,OK,0
LNS,280.0,False,12229.023597763337,748.1214915419987,48,4000,4000,L-main-threeshift-200c-01,62,L-main-threeshift-200c-01__LNS__seed2,2,OK,0
staged ALNS-LNS hybrid,280.0,False,9684.927710158043,233.51431516699813,62,4000,4000,L-main-threeshift-200c-01,67,L-main-threeshift-200c-01__staged_ALNS-LNS_hybrid__seed2,2,OK,0
staged ALNS-LNS hybrid,280.0,False,12065.516807694781,126.72348004199739,52,4000,4000,L-main-threeshift-200c-01,65,L-main-threeshift-200c-01__staged_ALNS-LNS_hybrid__seed3,3,OK,0
