spec_id,instance,condition,seed,saving_with_participation_vs_independent_pct,participation_premium_vs_unrestricted_pct,participation_cost_pct_points_vs_independent,unrestricted_minimum_profit_ratio,fair_minimum_profit_ratio,unrestricted_both_depots_no_worse,fair_cross_site_customer_count
L-main-threeshift-100c-01__geographic__seed1,L-main-threeshift-100c-01,geographic,1,4.099678469730506,0.0,0.0,1.0175908733726773,1.0175908733726773,True,4
L-main-threeshift-100c-01__geographic__seed2,L-main-threeshift-100c-01,geographic,2,1.5932614847076028,0.0,0.0,1.0000000000000002,1.0000000000000002,True,0
L-main-threeshift-100c-01__geographic__seed3,L-main-threeshift-100c-01,geographic,3,3.9875939781220087,0.0,0.0,1.0038673684844297,1.0038673684844297,True,1
L-main-threeshift-100c-01__mixed__seed1,L-main-threeshift-100c-01,mixed,1,13.877553236927254,0.0,0.0,1.0495318470728687,1.0495318470728687,True,113
L-main-threeshift-100c-01__mixed__seed2,L-main-threeshift-100c-01,mixed,2,21.526561533836066,0.0,0.0,1.1524023772349332,1.1524023772349332,True,101
L-main-threeshift-100c-01__mixed__seed3,L-main-threeshift-100c-01,mixed,3,0.0,7.015365931975451,6.555475347750325,0.9707557356385013,1.0,False,0
L-main-threeshift-10c-01__geographic__seed1,L-main-threeshift-10c-01,geographic,1,0.0,10.298132161740213,9.336633322710417,0.8567723093589141,1.0,False,0
L-main-threeshift-10c-01__geographic__seed2,L-main-threeshift-10c-01,geographic,2,8.18197381812515,3.829968407238219,3.3868847779311975,0.8801077317581487,1.000249090906491,False,2
L-main-threeshift-10c-01__geographic__seed3,L-main-threeshift-10c-01,geographic,3,0.0,9.229154858257138,8.449351155589815,0.8364643556830976,1.0,False,0
L-main-threeshift-10c-01__mixed__seed1,L-main-threeshift-10c-01,mixed,1,18.710829638442867,2.2945295601088804,1.8233663629267587,0.6687747771943073,1.037240721273756,False,6
L-main-threeshift-10c-01__mixed__seed2,L-main-threeshift-10c-01,mixed,2,20.01646020009166,2.903325075134262,2.256663878737838,0.9032824323398098,1.0371143114302608,False,6
L-main-threeshift-10c-01__mixed__seed3,L-main-threeshift-10c-01,mixed,3,17.952337910017118,3.820774934514317,3.0194886422938034,0.9040775931753626,1.0274910196233624,False,6
L-main-threeshift-150c-01__geographic__seed1,L-main-threeshift-150c-01,geographic,1,4.217131776045383,1.8043501987253008,1.6976272327951638,0.9804360711085391,1.0054790202535286,False,3
L-main-threeshift-150c-01__geographic__seed2,L-main-threeshift-150c-01,geographic,2,4.5081175091127985,0.0,0.0,1.0113794889626166,1.0113794889626166,True,24
L-main-threeshift-150c-01__geographic__seed3,L-main-threeshift-150c-01,geographic,3,7.758664743441712,0.0,0.0,1.0203495399973461,1.0203495399973461,True,12
L-main-threeshift-150c-01__mixed__seed1,L-main-threeshift-150c-01,mixed,1,14.230859409199784,0.0,0.0,1.0509288817809834,1.0509288817809834,True,154
L-main-threeshift-150c-01__mixed__seed2,L-main-threeshift-150c-01,mixed,2,7.714389358714747,3.2620171441275576,2.9152756492058596,0.8624753925004116,1.0036290917664077,False,71
L-main-threeshift-150c-01__mixed__seed3,L-main-threeshift-150c-01,mixed,3,17.09219418399721,0.0,0.0,1.0619241082807762,1.0619241082807762,True,165
L-main-threeshift-15c-01__geographic__seed1,L-main-threeshift-15c-01,geographic,1,0.0,0.972546546436873,0.963179180580142,0.9983902295432238,1.0,False,0
