instance,condition,seed_count,mean_saving_with_participation_vs_independent_pct,mean_participation_premium_vs_unrestricted_pct,mean_participation_cost_pct_points_vs_independent,naturally_acceptable_unrestricted_seeds,mean_fair_minimum_profit_ratio
L-main-threeshift-100c-01,geographic,3,3.2268446441867056,0.0,0.0,3,1.0071527472857025
L-main-threeshift-100c-01,mixed,3,11.80137159025444,2.3384553106584836,2.185158449250108,2,1.0673114081026007
L-main-threeshift-10c-01,geographic,3,2.7273246060417162,7.785751809078524,7.0576230854104764,0,1.0000830303021637
L-main-threeshift-10c-01,mixed,3,18.893209249517216,3.0062098565858197,2.3665062946528,0,1.0339486841091263
L-main-threeshift-150c-01,geographic,3,5.494638009533298,0.6014500662417669,0.5658757442650546,2,1.0124026830711639
L-main-threeshift-150c-01,mixed,3,13.012480983970582,1.0873390480425191,0.9717585497352865,2,1.0388273606093892
L-main-threeshift-15c-01,geographic,3,0.0,0.753510730146532,0.7469351897634956,0,1.0
L-main-threeshift-15c-01,mixed,3,24.635056430050497,1.9974592905579744,1.5085251121795908,2,1.1451334682090664
L-main-threeshift-200c-01,geographic,3,3.0447971912812086,0.0,0.0,3,1.0095394227371928
L-main-threeshift-200c-01,mixed,3,20.50706523230914,0.0,0.0,3,1.140990825682215
L-main-threeshift-20c-01,geographic,3,3.2962822571679897,5.287617463027481,4.867377724909428,1,1.0097085293855819
L-main-threeshift-20c-01,mixed,3,14.91946343776806,4.230206238016495,3.525391436756078,2,1.0840743604268896
L-main-threeshift-25c-01,geographic,3,0.6972702743122996,3.777587877794143,3.594143480495618,0,1.000985245767157
L-main-threeshift-25c-01,mixed,3,15.60970490589679,1.4936661783556644,1.2979728339079721,2,1.0375305466606284
L-main-threeshift-50c-01,geographic,3,0.6461199783783645,0.0,0.0,3,1.0001947895463799
L-main-threeshift-50c-01,mixed,3,14.684347439884496,1.3197998176701249,1.269533899401443,2,1.0420002074862451
L-main-threeshift-75c-01,geographic,3,4.384934502563083,0.3467352703280928,0.34309910725804027,2,1.0134051537448001
L-main-threeshift-75c-01,mixed,3,15.24495711981993,3.7934465091303875,3.396928837409589,2,1.0655892306936032
