region,tier,comparison,single_view_mean_cost,mv_hgs_sp_mean_cost,difference_cny,outcome
jjj,10,MV-HGS-SP_vs_HGS-F,603.6641385149757,600.0836526115377,3.580485903437989,win
jjj,10,MV-HGS-SP_vs_HGS-E,600.0836526115377,600.0836526115377,0.0,tie
jjj,10,MV-HGS-SP_vs_HGS-M,600.0836526115377,600.0836526115377,0.0,tie
jjj,15,MV-HGS-SP_vs_HGS-F,971.43298273537,965.0452702195162,6.3877125158538774,win
jjj,15,MV-HGS-SP_vs_HGS-E,965.0452702195162,965.0452702195162,0.0,tie
jjj,15,MV-HGS-SP_vs_HGS-M,965.0452702195162,965.0452702195162,0.0,tie
jjj,20,MV-HGS-SP_vs_HGS-F,1123.7377903321776,1122.121329385099,1.6164609470786218,win
jjj,20,MV-HGS-SP_vs_HGS-E,1122.4847662313775,1122.121329385099,0.363436846278546,win
jjj,20,MV-HGS-SP_vs_HGS-M,1122.121329385099,1122.121329385099,0.0,tie
jjj,25,MV-HGS-SP_vs_HGS-F,1430.5984898040845,1382.541136394995,48.0573534090895,win
jjj,25,MV-HGS-SP_vs_HGS-E,1382.541136394995,1382.541136394995,0.0,tie
jjj,25,MV-HGS-SP_vs_HGS-M,1382.541136394995,1382.541136394995,0.0,tie
jjj,50,MV-HGS-SP_vs_HGS-F,2697.8939993764416,2672.0685856161176,25.825413760323954,win
jjj,50,MV-HGS-SP_vs_HGS-E,2672.0685856161176,2672.0685856161176,0.0,tie
jjj,50,MV-HGS-SP_vs_HGS-M,2672.0685856161176,2672.0685856161176,0.0,tie
jjj,75,MV-HGS-SP_vs_HGS-F,3775.732360146938,3752.262907844573,23.46945230236497,win
jjj,75,MV-HGS-SP_vs_HGS-E,3752.745097528392,3752.262907844573,0.4821896838188877,win
jjj,75,MV-HGS-SP_vs_HGS-M,3752.602287691407,3752.262907844573,0.3393798468341629,win
jjj,100,MV-HGS-SP_vs_HGS-F,5004.0984588878455,4951.134442371499,52.96401651634642,win
jjj,100,MV-HGS-SP_vs_HGS-E,4952.6492096073225,4951.134442371499,1.5147672358234558,win
jjj,100,MV-HGS-SP_vs_HGS-M,4954.269377327565,4951.134442371499,3.1349349560659903,win
jjj,150,MV-HGS-SP_vs_HGS-F,7229.750981777454,7168.144517505847,61.606464271607365,win
jjj,150,MV-HGS-SP_vs_HGS-E,7170.786551317443,7168.144517505847,2.6420338115958657,win
jjj,150,MV-HGS-SP_vs_HGS-M,7169.905025385434,7168.144517505847,1.7605078795868394,win
jjj,200,MV-HGS-SP_vs_HGS-F,9749.681594034157,9688.514063989625,61.167530044531304,win
jjj,200,MV-HGS-SP_vs_HGS-E,9700.069463649827,9688.514063989625,11.555399660201147,win
jjj,200,MV-HGS-SP_vs_HGS-M,9693.36496831024,9688.514063989625,4.850904320614063,win
prd,10,MV-HGS-SP_vs_HGS-F,529.3807431985487,518.1327469231912,11.247996275357423,win
prd,10,MV-HGS-SP_vs_HGS-E,518.1327469231912,518.1327469231912,0.0,tie
prd,10,MV-HGS-SP_vs_HGS-M,518.1327469231912,518.1327469231912,0.0,tie
prd,15,MV-HGS-SP_vs_HGS-F,777.2081269630867,776.0690632649729,1.1390636981137732,win
prd,15,MV-HGS-SP_vs_HGS-E,776.0690632649729,776.0690632649729,0.0,tie
prd,15,MV-HGS-SP_vs_HGS-M,776.0690632649729,776.0690632649729,0.0,tie
prd,20,MV-HGS-SP_vs_HGS-F,1041.6171659107865,1037.31870971164,4.298456199146585,win
