scope,comparison,paired_units,wins,ties,losses,one_sided_wilcoxon_p_value,holm_adjusted_p_value
instance_five_seed_mean_primary,MV-HGS-SP_vs_HGS-F,81,67,14,0,5.598501549609987e-13,1.6795504648829962e-12
instance_five_seed_mean_primary,MV-HGS-SP_vs_HGS-E,81,34,47,0,5.820766091346741e-11,1.1641532182693481e-10
instance_five_seed_mean_primary,MV-HGS-SP_vs_HGS-M,81,31,50,0,4.656612873077393e-10,4.656612873077393e-10
