task_id,instance_id,region,tier,seed,HGS-F_cost,HGS-F_cpu_seconds,HGS-E_cost,HGS-E_cpu_seconds,HGS-M_cost,HGS-M_cpu_seconds,MV-HGS-SP_cost,MV-HGS-SP_cpu_seconds,HGS-F_emissions_kg,HGS-E_emissions_kg,HGS-M_emissions_kg,MV-HGS-SP_emissions_kg,complete_candidate_attempts,wallclock_safety_triggered,mip_status,mip_status_class,mip_message,mip_incumbent_available,mip_objective,mip_dual_bound,mip_gap,mip_node_count,mip_time_limit_seconds,mip_optimality_proven,selected_source,witness_sha256,input_manifest_sha256,responsibility_map_sha256,status
D6-E2__cn-cy-100c-01-V2-LOCATIONS__seed1,cn-cy-100c-01-V2-LOCATIONS,cy,100,1,5316.117675391183,33.426030457994784,5251.894979262281,40.56638608299545,5260.949127292762,44.87972345900198,5249.444939702752,120.51289187499788,428.25452271441213,374.0208224269862,371.88755517492575,378.6683395238188,80,False,0,OPTIMAL,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,5249.444939702751,5249.444939702751,0.0,1,5.0,True,time_limited_mip_recombination,ee6458a0f5ff4914de273310ed21175e1df38942d5dec834d39607e157aae4b7,e0d6b30dcf6a55005e4a7a851c96e76c84a17507c4584049106a0d8d5a9b8176,42bda529b1ac47cf5b53cf47eb9e57015369ad724df6874e9158ecbf7c03c9ae,PASS
D6-E2__cn-cy-100c-01-V2-LOCATIONS__seed2,cn-cy-100c-01-V2-LOCATIONS,cy,100,2,5313.132973987976,33.86166158299602,5252.157453527795,43.431213417003164,5251.8364225571095,43.62541750000673,5245.949726566889,122.40502666699467,427.96277702786057,377.54839660169483,373.62955217457505,379.1909671767296,80,False,0,OPTIMAL,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,5245.94972656689,5245.949726566889,0.0,1,5.0,True,time_limited_mip_recombination,21ab09415c543447bb85342fdb6279daee7e424e6a2ee923546a401ce681989b,e0d6b30dcf6a55005e4a7a851c96e76c84a17507c4584049106a0d8d5a9b8176,42bda529b1ac47cf5b53cf47eb9e57015369ad724df6874e9158ecbf7c03c9ae,PASS
D6-E2__cn-cy-100c-01-V2-LOCATIONS__seed3,cn-cy-100c-01-V2-LOCATIONS,cy,100,3,5313.132973987976,33.22468949999893,5257.111966141932,43.37190704100067,5257.247803154063,43.340208167006494,5249.30749670333,121.43355104199145,427.96277702786057,372.798206401596,369.34680327309104,374.6686401651714,80,False,0,OPTIMAL,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,5249.30749670333,5249.30749670333,0.0,1,5.0,True,time_limited_mip_recombination,fb306cd2ff8f8720a448e41165591d110946870d3640ba4b58c297a406031dd1,e0d6b30dcf6a55005e4a7a851c96e76c84a17507c4584049106a0d8d5a9b8176,42bda529b1ac47cf5b53cf47eb9e57015369ad724df6874e9158ecbf7c03c9ae,PASS
D6-E2__cn-cy-100c-01-V2-LOCATIONS__seed4,cn-cy-100c-01-V2-LOCATIONS,cy,100,4,5313.132973987976,34.46930741700635,5266.809438423435,42.15817049999896,5263.122818747795,46.40723166600219,5255.771984775648,124.87100991599436,427.96277702786057,377.8595399374384,371.36686796894827,373.59389472159563,80,False,0,OPTIMAL,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,5255.771984775666,5255.771984775667,0.0,1,5.0,True,time_limited_mip_recombination,5401b85cdb48c2174c812a69d3fdbe7c43c05b7c24d76a9de680526abcce07e4,e0d6b30dcf6a55005e4a7a851c96e76c84a17507c4584049106a0d8d5a9b8176,42bda529b1ac47cf5b53cf47eb9e57015369ad724df6874e9158ecbf7c03c9ae,PASS
D6-E2__cn-cy-100c-01-V2-LOCATIONS__seed5,cn-cy-100c-01-V2-LOCATIONS,cy,100,5,5315.791557309567,34.00827725000272,5259.495278597333,42.6882241669955,5257.905761131923,44.0460690829932,5253.808147932439,122.30424124999263,428.60168328169226,372.89315888566074,374.0568106696199,378.2363273492443,80,False,0,OPTIMAL,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,5253.808147932439,5253.808147932439,0.0,1,5.0,True,time_limited_mip_recombination,35fa3dca71f2cb9817c67d0737072d356bf7d9076920209b2ed6178bfe501285,e0d6b30dcf6a55005e4a7a851c96e76c84a17507c4584049106a0d8d5a9b8176,42bda529b1ac47cf5b53cf47eb9e57015369ad724df6874e9158ecbf7c03c9ae,PASS
D6-E2__cn-cy-100c-02-V2-LOCATIONS__seed1,cn-cy-100c-02-V2-LOCATIONS,cy,100,1,5094.564326864942,32.20146412499889,4954.466273738942,37.21615829100483,5051.182360683465,39.75736725000024,4929.892531543206,110.66332366599818,428.74720128883297,444.2241065642598,402.44302013448817,439.471782160113,80,False,0,OPTIMAL,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,4929.892531543205,4929.892531543205,0.0,1,5.0,True,time_limited_mip_recombination,fe3a5b34656f35fc90e46210df088ef6197b6a023a8f3ff79889487d89532577,8a481ba09207e95d5ce60ada686b13ada11b641953624012364a20bc72a2c16c,42bda529b1ac47cf5b53cf47eb9e57015369ad724df6874e9158ecbf7c03c9ae,PASS
D6-E2__cn-cy-100c-02-V2-LOCATIONS__seed2,cn-cy-100c-02-V2-LOCATIONS,cy,100,2,5094.545985628546,34.60105404199567,4933.74556964383,36.33325416700973,5057.523932328815,38.1964056249999,4927.830760657252,110.55999479199818,428.7665400137023,440.053652782733,405.146144874583,438.67834551494155,80,False,0,OPTIMAL,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,4927.8307606572525,4927.8307606572525,0.0,1,5.0,True,time_limited_mip_recombination,c783cf36b7d1453d2133eb50cc642e55c74d8f6212fdfed6052976b568e3f332,8a481ba09207e95d5ce60ada686b13ada11b641953624012364a20bc72a2c16c,42bda529b1ac47cf5b53cf47eb9e57015369ad724df6874e9158ecbf7c03c9ae,PASS
D6-E2__cn-cy-100c-02-V2-LOCATIONS__seed3,cn-cy-100c-02-V2-LOCATIONS,cy,100,3,4920.525004291545,33.75990425000782,5072.888794645928,40.535639583002194,5068.127655976602,42.70576470800734,4920.525004291545,118.43346187499992,437.3048403393949,407.6259826834527,406.90289742131824,437.3048403393949,80,False,0,OPTIMAL,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,4920.525004291545,4920.525004291544,0.0,1,5.0,True,best_exact_hgs_parent,74141838d62475f9cc262f69b32da759841a5fd765b1317d6ccbec4d58831eea,8a481ba09207e95d5ce60ada686b13ada11b641953624012364a20bc72a2c16c,42bda529b1ac47cf5b53cf47eb9e57015369ad724df6874e9158ecbf7c03c9ae,PASS
D6-E2__cn-cy-100c-02-V2-LOCATIONS__seed4,cn-cy-100c-02-V2-LOCATIONS,cy,100,4,5093.206817004318,34.780833583005005,4918.511356424707,36.32777399999031,5049.255175347776,41.05244445799326,4916.798708359254,113.47494374999951,428.4023768293095,437.1807921111993,402.713882096273,436.8975472718069,80,False,0,OPTIMAL,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,4916.798708359253,4916.798708359253,0.0,1,5.0,True,time_limited_mip_recombination,c35fd7a945f3d5cb112da5189de5cde33f33b225149165324eb7822cbf0ab030,8a481ba09207e95d5ce60ada686b13ada11b641953624012364a20bc72a2c16c,42bda529b1ac47cf5b53cf47eb9e57015369ad724df6874e9158ecbf7c03c9ae,PASS
D6-E2__cn-cy-100c-02-V2-LOCATIONS__seed5,cn-cy-100c-02-V2-LOCATIONS,cy,100,5,4933.905522969644,34.55501662500319,4910.603856145021,36.77988566699787,5059.996942257473,40.771978083997965,4909.446401649948,113.59446749999188,440.1830874053977,435.41543689574166,406.88461353036473,435.3266318028599,80,False,0,OPTIMAL,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,4909.446401649949,4909.446401649948,0.0,1,5.0,True,time_limited_mip_recombination,aafdd8342bfee9e79ea08fa5a7bb3182bd0f4831f59f3941b4c488756e0c602f,8a481ba09207e95d5ce60ada686b13ada11b641953624012364a20bc72a2c16c,42bda529b1ac47cf5b53cf47eb9e57015369ad724df6874e9158ecbf7c03c9ae,PASS
D6-E2__cn-cy-100c-03-V2-LOCATIONS__seed1,cn-cy-100c-03-V2-LOCATIONS,cy,100,1,4848.9493719384445,36.36447854198923,4815.935495094506,37.46153233399673,4817.15531552213,41.02087833300175,4814.868664230041,116.28713541699108,423.12314156649916,401.7766923825278,401.45688440354263,401.4897278152062,80,False,0,OPTIMAL,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,4814.868664230042,4814.868664230042,0.0,1,5.0,True,time_limited_mip_recombination,6d4e37efa0d7e5320cb3def357613bd4314cd31cc3c305c931224bdd0c9c6301,af774e74f237207e091e4226c4e082c5d5288365a99fecbb6e5bcf1392152616,42bda529b1ac47cf5b53cf47eb9e57015369ad724df6874e9158ecbf7c03c9ae,PASS
D6-E2__cn-cy-100c-03-V2-LOCATIONS__seed2,cn-cy-100c-03-V2-LOCATIONS,cy,100,2,4850.01620280291,33.09368041700509,4814.6013714328155,39.625335666991305,4814.746504360522,40.47782683299738,4813.679673496056,114.50327800000377,423.4101061338207,401.52197573042935,401.53559640171864,401.24863183439703,80,False,0,OPTIMAL,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,4813.679673496057,4813.679673496057,0.0,1,5.0,True,time_limited_mip_recombination,478cfc819a4af912bacff02bbc2fce09d25eade1b7749d02620d01b0b9546bca,af774e74f237207e091e4226c4e082c5d5288365a99fecbb6e5bcf1392152616,42bda529b1ac47cf5b53cf47eb9e57015369ad724df6874e9158ecbf7c03c9ae,PASS
D6-E2__cn-cy-100c-03-V2-LOCATIONS__seed3,cn-cy-100c-03-V2-LOCATIONS,cy,100,3,4848.9493719384445,32.51287204200344,4814.746504360522,39.70633025000279,4815.1061035251105,39.34734833300172,4813.679673496056,113.43927441599953,423.12314156649916,401.53559640171864,400.93316108268624,401.24863183439703,80,False,0,OPTIMAL,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,4813.679673496057,4813.679673496057,0.0,1,5.0,True,time_limited_mip_recombination,ec1560132bd0b052a066ac8ea7b9c809ee6e3268fdba80ff18c741fdc4629590,af774e74f237207e091e4226c4e082c5d5288365a99fecbb6e5bcf1392152616,42bda529b1ac47cf5b53cf47eb9e57015369ad724df6874e9158ecbf7c03c9ae,PASS
D6-E2__cn-cy-100c-03-V2-LOCATIONS__seed4,cn-cy-100c-03-V2-LOCATIONS,cy,100,4,4848.9493719384445,39.22911699999531,4814.746504360522,40.488714499995694,4816.169411460305,37.43511012499221,4813.679673496056,118.47191774999374,423.12314156649916,401.53559640171864,401.21888860682054,401.24863183439703,80,False,0,OPTIMAL,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,4813.679673496057,4813.679673496057,0.0,1,5.0,True,time_limited_mip_recombination,53635819d7238edbca77e0790887742f2d4ccf357eb11b16ebd3b6cc6be5bd8b,af774e74f237207e091e4226c4e082c5d5288365a99fecbb6e5bcf1392152616,42bda529b1ac47cf5b53cf47eb9e57015369ad724df6874e9158ecbf7c03c9ae,PASS
D6-E2__cn-cy-100c-03-V2-LOCATIONS__seed5,cn-cy-100c-03-V2-LOCATIONS,cy,100,5,4848.9493719384445,37.73232049999933,4814.868664230041,42.02460270799929,4815.102580595841,39.09214770900144,4814.868664230041,120.16701200000534,423.12314156649916,401.4897278152062,400.931924039499,401.4897278152062,80,False,0,OPTIMAL,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,4814.868664230042,4814.868664230042,0.0,1,5.0,True,best_exact_hgs_parent,269b14c4f22ab41ae9829b17db7ad46e2f47b6a4e9d53948f48a317a77589b67,af774e74f237207e091e4226c4e082c5d5288365a99fecbb6e5bcf1392152616,42bda529b1ac47cf5b53cf47eb9e57015369ad724df6874e9158ecbf7c03c9ae,PASS
D6-E2__cn-cy-10c-01-V2-LOCATIONS__seed1,cn-cy-10c-01-V2-LOCATIONS,cy,10,1,599.0016366331289,5.416345457997522,585.7748654376629,5.82524945899786,582.1605529152799,6.01760970801115,582.1605529152799,17.292377792007755,36.05880308769819,29.52358116579597,34.0608324580683,34.0608324580683,80,False,0,OPTIMAL,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,582.1605529152799,582.1605529152799,0.0,0,5.0,True,best_exact_hgs_parent,963250ed299d70be742b0279be86c91c6455005e69e52236c1479cccdcad3754,afa0f77a0bc01e2fee39ed52825fbc49dc17792567c775e2adc32a47d8344a18,7bcf9ff337ddb0d8cfa7105af1e285f98779d1a4dc975382879e25e5e49ffb8c,PASS
D6-E2__cn-cy-10c-01-V2-LOCATIONS__seed2,cn-cy-10c-01-V2-LOCATIONS,cy,10,2,599.0016366331289,5.52499204200285,585.7748654376629,5.81507183299982,582.1605529152799,5.623793333012145,582.1605529152799,16.993550957995467,36.05880308769819,29.52358116579597,34.0608324580683,34.0608324580683,80,False,0,OPTIMAL,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,582.1605529152799,582.1605529152799,0.0,0,5.0,True,best_exact_hgs_parent,963250ed299d70be742b0279be86c91c6455005e69e52236c1479cccdcad3754,afa0f77a0bc01e2fee39ed52825fbc49dc17792567c775e2adc32a47d8344a18,7bcf9ff337ddb0d8cfa7105af1e285f98779d1a4dc975382879e25e5e49ffb8c,PASS
D6-E2__cn-cy-10c-01-V2-LOCATIONS__seed3,cn-cy-10c-01-V2-LOCATIONS,cy,10,3,599.0016366331289,5.519597834005253,585.7748654376629,5.743684624991147,582.1605529152799,5.944604375006747,582.1605529152799,17.243531000000075,36.05880308769819,29.52358116579597,34.0608324580683,34.0608324580683,80,False,0,OPTIMAL,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,582.1605529152799,582.1605529152799,0.0,0,5.0,True,best_exact_hgs_parent,895f475ae5af9b6e163c3d2c437d49e9b2fc1925e5de9b355264475fdd34fd6d,afa0f77a0bc01e2fee39ed52825fbc49dc17792567c775e2adc32a47d8344a18,7bcf9ff337ddb0d8cfa7105af1e285f98779d1a4dc975382879e25e5e49ffb8c,PASS
D6-E2__cn-cy-10c-01-V2-LOCATIONS__seed4,cn-cy-10c-01-V2-LOCATIONS,cy,10,4,599.0016366331289,6.448990542005049,585.7748654376629,6.180664583996986,582.1605529152799,7.267579833001946,582.1605529152799,19.931005249993177,36.05880308769819,29.52358116579597,34.0608324580683,34.0608324580683,80,False,0,OPTIMAL,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,582.1605529152799,582.1605529152799,0.0,0,5.0,True,best_exact_hgs_parent,963250ed299d70be742b0279be86c91c6455005e69e52236c1479cccdcad3754,afa0f77a0bc01e2fee39ed52825fbc49dc17792567c775e2adc32a47d8344a18,7bcf9ff337ddb0d8cfa7105af1e285f98779d1a4dc975382879e25e5e49ffb8c,PASS
D6-E2__cn-cy-10c-01-V2-LOCATIONS__seed5,cn-cy-10c-01-V2-LOCATIONS,cy,10,5,599.0016366331289,6.578227291989606,585.7748654376629,6.3202651659958065,582.1605529152799,7.144404917009524,582.1605529152799,20.084557832989958,36.05880308769819,29.52358116579597,34.0608324580683,34.0608324580683,80,False,0,OPTIMAL,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,582.1605529152799,582.1605529152799,0.0,0,5.0,True,best_exact_hgs_parent,963250ed299d70be742b0279be86c91c6455005e69e52236c1479cccdcad3754,afa0f77a0bc01e2fee39ed52825fbc49dc17792567c775e2adc32a47d8344a18,7bcf9ff337ddb0d8cfa7105af1e285f98779d1a4dc975382879e25e5e49ffb8c,PASS
D6-E2__cn-cy-10c-02-V2-LOCATIONS__seed1,cn-cy-10c-02-V2-LOCATIONS,cy,10,1,647.2193703672735,6.820069000008516,647.2193703672735,5.956033374997787,647.2193703672735,6.918610875000013,647.2193703672735,19.722163167010876,60.333917548725715,60.333917548725715,60.333917548725715,60.333917548725715,80,False,0,OPTIMAL,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,647.2193703672738,647.2193703672738,0.0,0,5.0,True,best_exact_hgs_parent,73d2ccecfdebb6c7af142463d357adb0fc028ebc4419e1725c53687da24b2595,a3e062f109a757759b05d08521a92bb4e79f76d24cce1d975075f50e62c085d0,7bcf9ff337ddb0d8cfa7105af1e285f98779d1a4dc975382879e25e5e49ffb8c,PASS
D6-E2__cn-cy-10c-02-V2-LOCATIONS__seed2,cn-cy-10c-02-V2-LOCATIONS,cy,10,2,647.2193703672735,5.922893832990667,647.2193703672735,5.337110791995656,647.2193703672735,5.538356125005521,647.2193703672735,16.825730917000328,60.333917548725715,60.333917548725715,60.333917548725715,60.333917548725715,80,False,0,OPTIMAL,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,647.2193703672738,647.2193703672738,0.0,0,5.0,True,best_exact_hgs_parent,72154df7bbbb8c2a5c8625c2559456d4ea981d2ed84b4391197b4fa697ceaa2e,a3e062f109a757759b05d08521a92bb4e79f76d24cce1d975075f50e62c085d0,7bcf9ff337ddb0d8cfa7105af1e285f98779d1a4dc975382879e25e5e49ffb8c,PASS
