status,channel,error_type,error,count
REJECTED_CHARGING,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_beijing_1#T1 misses C002's time window,11
REJECTED_CHARGING,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_beijing_1#T1 misses C007's time window,4
REJECTED_CHARGING,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_beijing_1#T1 misses C008's time window,207
REJECTED_CHARGING,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_beijing_1#T1 misses C012's time window,6
REJECTED_CHARGING,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_beijing_1#T1 misses C013's time window,5
REJECTED_CHARGING,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_beijing_1#T1 misses C014's time window,325
REJECTED_CHARGING,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_beijing_1#T1 misses C015's time window,317
REJECTED_CHARGING,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_beijing_1#T1 misses C017's time window,450
REJECTED_CHARGING,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_beijing_1#T1 misses C021's time window,145
REJECTED_CHARGING,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_beijing_1#T1 misses C022's time window,46
REJECTED_CHARGING,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_beijing_1#T1 misses C024's time window,336
REJECTED_CHARGING,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_beijing_1#T1 misses C025's time window,64
REJECTED_CHARGING,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_beijing_1#T1 misses C033's time window,322
REJECTED_CHARGING,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_beijing_1#T1 misses C034's time window,112
REJECTED_CHARGING,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_beijing_1#T1 misses C035's time window,475
REJECTED_CHARGING,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_beijing_1#T1 misses C039's time window,1
REJECTED_CHARGING,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_beijing_1#T1 misses C040's time window,26
REJECTED_CHARGING,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_beijing_1#T1 misses C041's time window,334
REJECTED_CHARGING,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_beijing_1#T1 misses C042's time window,334
REJECTED_CHARGING,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_beijing_1#T1 misses C043's time window,92
REJECTED_CHARGING,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_beijing_1#T1 misses C044's time window,184
REJECTED_CHARGING,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_beijing_1#T1 misses C045's time window,134
REJECTED_CHARGING,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_beijing_1#T1 misses C046's time window,92
REJECTED_CHARGING,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_beijing_1#T1 misses C047's time window,184
REJECTED_CHARGING,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_beijing_1#T1 misses C048's time window,5
REJECTED_CHARGING,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_beijing_1#T1 misses C049's time window,284
REJECTED_CHARGING,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_beijing_1#T1 misses C050's time window,334
REJECTED_CHARGING,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_beijing_1#T2 misses C016's time window,46
REJECTED_CHARGING,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_beijing_1#T2 misses C020's time window,6
REJECTED_CHARGING,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_beijing_1#T2 misses C037's time window,44
REJECTED_CHARGING,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_beijing_1#T2 misses C038's time window,77
REJECTED_CHARGING,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_beijing_1#T2 misses C039's time window,77
REJECTED_CHARGING,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_beijing_1#T2 misses C040's time window,77
REJECTED_CHARGING,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_beijing_1#T2 misses C041's time window,77
REJECTED_CHARGING,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_beijing_1#T2 misses C042's time window,77
REJECTED_CHARGING,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_beijing_1#T2 misses C043's time window,77
REJECTED_CHARGING,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_beijing_1#T2 misses C044's time window,77
REJECTED_CHARGING,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_beijing_1#T2 misses C045's time window,77
REJECTED_CHARGING,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_beijing_1#T2 misses C046's time window,77
REJECTED_CHARGING,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_beijing_1#T2 misses C047's time window,77
REJECTED_CHARGING,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_beijing_1#T2 misses C048's time window,77
REJECTED_CHARGING,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_beijing_1#T2 misses C049's time window,77
REJECTED_CHARGING,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_beijing_1#T2 misses C050's time window,77
REJECTED_CHARGING,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_tianjin_1#T1 misses C001's time window,260
REJECTED_CHARGING,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_tianjin_1#T1 misses C002's time window,215
REJECTED_CHARGING,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_tianjin_1#T1 misses C003's time window,124
REJECTED_CHARGING,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_tianjin_1#T1 misses C004's time window,260
