education_round,candidate_count,accepted,accepted_action_id,accepted_channel,before_cost_cny,after_cost_cny,before_emissions_kg,after_emissions_kg,minimum_participation_margin_before,minimum_participation_margin_after
1,4010,True,whole-duty-type-exchange:CV_D_beijing_1<->EV_D_beijing_1,whole_duty_type_exchange,2675.9848129663887,2634.859123314638,304.92816902642437,285.2483868931289,0.0,0.0
2,4010,True,2opt:CV_D_beijing_1#T1@0:2,route_order,2634.859123314638,2595.469038054285,285.2483868931289,277.42171758228704,0.0,0.0
3,4010,True,relocate:CV_D_beijing_2#T2:C016->EV_D_beijing_1#T2@0,mixed_fleet,2595.469038054285,2556.266186409815,277.42171758228704,265.77928306354556,0.0,0.0
4,4019,True,relocate:CV_D_beijing_1#T1:C013->CV_D_beijing_2#T2@0,relocate,2556.266186409815,2520.1540113885094,265.77928306354556,258.69508220827635,0.0,0.0
5,4020,True,swap:CV_D_beijing_3#T1:C024<->EV_D_beijing_1#T1:C025,mixed_fleet,2520.1540113885094,2493.9457182110864,258.69508220827635,253.25956048031895,0.0,0.0
6,4020,True,whole-duty-type-exchange:CV_D_tianjin_1<->EV_D_tianjin_1,whole_duty_type_exchange,2493.9457182110864,2469.3331341482017,253.25956048031895,247.5644052034582,0.0,24.708669690573515
7,4020,True,2opt:CV_D_tianjin_1#T1@0:2,route_order,2469.3331341482017,2450.782149656179,247.5644052034582,243.8354850136163,24.708669690573515,43.29411988087304
8,4020,True,swap:CV_D_beijing_2#T1:C030<->CV_D_beijing_3#T1:C025,relocate,2450.782149656179,2433.7895776269747,243.8354850136163,240.5358828897073,43.29411988087304,43.29411988087304
9,4020,True,2opt:CV_D_beijing_3#T1@3:5,route_order,2433.7895776269747,2420.9479676207134,240.5358828897073,237.98774805575397,43.29411988087304,43.29411988087304
10,4020,True,swap:CV_D_beijing_2#T1:C022<->EV_D_beijing_1#T1:C008,mixed_fleet,2420.9479676207134,2408.710634768505,237.98774805575397,235.4090299368901,43.29411988087304,43.29411988087304
11,4020,True,relocate:CV_D_beijing_4#T1:C009->CV_D_beijing_2#T1@6,relocate,2408.710634768505,2394.755388416372,235.4090299368901,232.6624949152231,43.29411988087304,43.29411988087304
12,4021,True,swap:CV_D_beijing_3#T1:C033<->EV_D_beijing_1#T1:C022,mixed_fleet,2394.755388416372,2386.605368297687,232.6624949152231,230.97332177975326,43.29411988087304,43.29411988087304
13,4021,True,swap:CV_D_beijing_1#T1:C021<->EV_D_beijing_1#T1:C034,mixed_fleet,2386.605368297687,2378.9012994076224,230.97332177975326,229.3773328349936,43.29411988087304,43.29411988087304
14,4021,True,swap:CV_D_tianjin_1#T1:C045<->EV_D_tianjin_1#T1:C044,mixed_fleet,2378.9012994076224,2372.2611508966897,229.3773328349936,228.1917647002787,43.29411988087304,49.95040105315729
15,4021,True,relocate:EV_D_tianjin_1#T2:C038->CV_D_tianjin_1#T1@6,mixed_fleet,2372.2611508966897,2345.7095433880177,228.1917647002787,224.923080129587,49.95040105315729,76.49563074767411
16,3955,True,2opt:CV_D_beijing_2#T1@3:5,route_order,2345.7095433880177,2340.957235773626,224.923080129587,223.96070460576982,76.49563074767411,76.49563074767411
17,3955,True,swap:CV_D_beijing_2#T1:C010<->CV_D_beijing_3#T1:C022,relocate,2340.957235773626,2334.7125878589063,223.96070460576982,222.77102791102016,76.49563074767411,76.49563074767411
18,3955,True,swap:CV_D_tianjin_1#T1:C046<->EV_D_tianjin_1#T1:C047,mixed_fleet,2334.7125878589063,2332.24345753449,222.77102791102016,222.80312922755314,76.49563074767411,78.97489975004191
19,3955,True,2opt:EV_D_tianjin_1#T1@0:2,route_order,2332.24345753449,2327.2721839807737,222.80312922755314,220.25196263756163,78.97489975004191,83.94617330375877
20,3955,True,swap:CV_D_beijing_1#T1:C007<->CV_D_beijing_4#T1:C003,relocate,2327.2721839807737,2325.6480502764484,220.25196263756163,219.99848162099067,83.94617330375877,83.94617330375877
21,3955,True,relocate:CV_D_beijing_4#T1:C006->CV_D_beijing_1#T1@4,relocate,2325.6480502764484,2322.8288413947603,219.99848162099067,219.37837492830403,83.94617330375877,83.94617330375877
22,3957,True,2opt:CV_D_beijing_1#T1@1:3,route_order,2322.8288413947603,2320.148445501584,219.37837492830403,218.8626193753387,83.94617330375877,83.94617330375877
23,3957,True,relocate:CV_D_beijing_2#T2:C020->EV_D_beijing_1#T2@0,mixed_fleet,2320.148445501584,2318.5352625503674,218.8626193753387,218.45487018882784,83.94617330375877,83.94617330375877
24,3961,True,2opt:CV_D_beijing_2#T1@2:4,route_order,2318.5352625503674,2317.394232677095,218.45487018882784,218.2353029074597,83.94617330375877,83.94617330375877
25,3961,True,2opt:CV_D_tianjin_1#T1@1:3,route_order,2317.394232677095,2316.97883865434,218.2353029074597,218.1172641893549,83.94617330375877,84.36265833587731
26,3961,False,,,,,,,,
