task_id,instance_id,region,arm,charge_timing_policy,seed,solver,mip_invoked,initial_time_limit_seconds,final_time_limit_seconds,actual_elapsed_seconds,time_limit_reached,finished_before_time_limit,incumbent_available,status,status_class,optimality_proven,extended,extension_count,extension_supported,incumbent_trace_supported,extension_unavailable_reason
T24__CY__COST_CARBON__S2026080206,cn-cy-100c-01-V2-LOCATIONS,CY,COST_CARBON,cost_plus_carbon,2026080206,scipy.optimize.milp/HiGHS,True,10.0,10.0,10.249544541999967,True,False,True,1,REJECTED_COMPLETE_MODEL_VIOLATIONS,False,False,0,False,False,scipy.optimize.milp exposes neither an incumbent callback nor a resumable solver handle
T24__CY__COST_CARBON__S2026080207,cn-cy-100c-01-V2-LOCATIONS,CY,COST_CARBON,cost_plus_carbon,2026080207,scipy.optimize.milp/HiGHS,True,10.0,10.0,10.20863833300018,True,False,True,1,REJECTED_COMPLETE_MODEL_VIOLATIONS,False,False,0,False,False,scipy.optimize.milp exposes neither an incumbent callback nor a resumable solver handle
T24__CY__COST_CARBON__S2026080208,cn-cy-100c-01-V2-LOCATIONS,CY,COST_CARBON,cost_plus_carbon,2026080208,scipy.optimize.milp/HiGHS,True,10.0,10.0,10.068299375000606,True,False,True,1,REJECTED_COMPLETE_MODEL_VIOLATIONS,False,False,0,False,False,scipy.optimize.milp exposes neither an incumbent callback nor a resumable solver handle
T24__CY__COST_CARBON__S2026080209,cn-cy-100c-01-V2-LOCATIONS,CY,COST_CARBON,cost_plus_carbon,2026080209,scipy.optimize.milp/HiGHS,True,10.0,10.0,10.041148292000798,True,False,True,1,REJECTED_COMPLETE_MODEL_VIOLATIONS,False,False,0,False,False,scipy.optimize.milp exposes neither an incumbent callback nor a resumable solver handle
T24__CY__COST_CARBON__S2026080210,cn-cy-100c-01-V2-LOCATIONS,CY,COST_CARBON,cost_plus_carbon,2026080210,scipy.optimize.milp/HiGHS,True,10.0,10.0,10.016059000000496,True,False,True,1,REJECTED_COMPLETE_MODEL_VIOLATIONS,False,False,0,False,False,scipy.optimize.milp exposes neither an incumbent callback nor a resumable solver handle
T24__CY__COST__S2026080201,cn-cy-100c-01-V2-LOCATIONS,CY,COST,cost_min,2026080201,scipy.optimize.milp/HiGHS,True,10.0,10.0,10.103465290972963,True,False,True,1,REJECTED_COMPLETE_MODEL_VIOLATIONS,False,False,0,False,False,scipy.optimize.milp exposes neither an incumbent callback nor a resumable solver handle
T24__CY__COST__S2026080202,cn-cy-100c-01-V2-LOCATIONS,CY,COST,cost_min,2026080202,scipy.optimize.milp/HiGHS,True,10.0,10.0,10.034574416000396,True,False,True,1,REJECTED_COMPLETE_MODEL_VIOLATIONS,False,False,0,False,False,scipy.optimize.milp exposes neither an incumbent callback nor a resumable solver handle
T24__CY__COST__S2026080203,cn-cy-100c-01-V2-LOCATIONS,CY,COST,cost_min,2026080203,scipy.optimize.milp/HiGHS,True,10.0,10.0,10.333160999929532,True,False,True,1,REJECTED_COMPLETE_MODEL_VIOLATIONS,False,False,0,False,False,scipy.optimize.milp exposes neither an incumbent callback nor a resumable solver handle
T24__CY__COST__S2026080204,cn-cy-100c-01-V2-LOCATIONS,CY,COST,cost_min,2026080204,scipy.optimize.milp/HiGHS,True,10.0,10.0,10.286093209055252,True,False,True,1,REJECTED_COMPLETE_MODEL_VIOLATIONS,False,False,0,False,False,scipy.optimize.milp exposes neither an incumbent callback nor a resumable solver handle
T24__CY__COST__S2026080205,cn-cy-100c-01-V2-LOCATIONS,CY,COST,cost_min,2026080205,scipy.optimize.milp/HiGHS,True,10.0,10.0,10.101927166921087,True,False,True,1,REJECTED_COMPLETE_MODEL_VIOLATIONS,False,False,0,False,False,scipy.optimize.milp exposes neither an incumbent callback nor a resumable solver handle
T24__CY__COST__S2026080206,cn-cy-100c-01-V2-LOCATIONS,CY,COST,cost_min,2026080206,scipy.optimize.milp/HiGHS,True,10.0,10.0,10.496839124942198,True,False,True,1,REJECTED_COMPLETE_MODEL_VIOLATIONS,False,False,0,False,False,scipy.optimize.milp exposes neither an incumbent callback nor a resumable solver handle
T24__CY__COST__S2026080207,cn-cy-100c-01-V2-LOCATIONS,CY,COST,cost_min,2026080207,scipy.optimize.milp/HiGHS,True,10.0,10.0,10.221969708101824,True,False,True,1,REJECTED_COMPLETE_MODEL_VIOLATIONS,False,False,0,False,False,scipy.optimize.milp exposes neither an incumbent callback nor a resumable solver handle
T24__CY__COST__S2026080208,cn-cy-100c-01-V2-LOCATIONS,CY,COST,cost_min,2026080208,scipy.optimize.milp/HiGHS,True,10.0,10.0,10.12032466699975,True,False,True,1,REJECTED_COMPLETE_MODEL_VIOLATIONS,False,False,0,False,False,scipy.optimize.milp exposes neither an incumbent callback nor a resumable solver handle
