instance_id,region,seed,baseline_arm,comparison_arm,baseline_actual_carbon_intensity,comparison_actual_carbon_intensity,intensity_layer_reduction_pct,charging_emissions_reduction_pct,system_emissions_reduction_pct,outcome
cn-cy-100c-01-V2-LOCATIONS,CY,2026080201,ASAP,COST_CARBON,0.20236593919658194,0.17973903835618169,11.18118045469108,11.181180454691079,0.7545393105098646,improved
cn-cy-100c-01-V2-LOCATIONS,CY,2026080201,COST,COST_CARBON,0.20690394056016728,0.17973903835618169,13.129233851438462,13.129233851438467,0.9044992842647649,improved
cn-cy-100c-01-V2-LOCATIONS,CY,2026080202,ASAP,COST_CARBON,0.2082780485563751,0.1797116881398076,13.715492638118988,13.715492638118977,0.7080324876591212,improved
cn-cy-100c-01-V2-LOCATIONS,CY,2026080202,COST,COST_CARBON,0.2140834516047288,0.1797116881398076,16.055310771232907,16.055310771232904,0.8506984302470739,improved
cn-cy-100c-01-V2-LOCATIONS,CY,2026080203,ASAP,COST_CARBON,0.2071661913420277,0.18810566596726253,9.200596512051813,9.200596512051813,0.7452676825053103,improved
cn-cy-100c-01-V2-LOCATIONS,CY,2026080203,COST,COST_CARBON,0.20742851309071728,0.18810566596726253,9.3154247868537,9.315424786853697,0.7554469939156708,improved
cn-cy-100c-01-V2-LOCATIONS,CY,2026080204,ASAP,COST_CARBON,0.21921159278587604,0.19074107890879816,12.987686241980658,12.987686241980663,0.6781809436990841,improved
cn-cy-100c-01-V2-LOCATIONS,CY,2026080204,COST,COST_CARBON,0.22867854727397072,0.19074107890879816,16.589867662453347,16.589867662453358,0.9016549256467973,improved
cn-cy-100c-01-V2-LOCATIONS,CY,2026080205,ASAP,COST_CARBON,0.22246759627668572,0.19803752104089914,10.981408368975494,10.981408368975494,0.6662185498315404,improved
cn-cy-100c-01-V2-LOCATIONS,CY,2026080205,COST,COST_CARBON,0.22196714057638225,0.19803752104089914,10.780703609257232,10.780703609257223,0.6526599825602941,improved
cn-cy-100c-01-V2-LOCATIONS,CY,2026080206,ASAP,COST_CARBON,0.2146127245447189,0.19724575645497958,8.092235969037604,8.092235969037597,0.7103624561165011,improved
cn-cy-100c-01-V2-LOCATIONS,CY,2026080206,COST,COST_CARBON,0.2158018077244061,0.19724575645497958,8.59865423051687,8.598654230516866,0.7586306421375366,improved
cn-cy-100c-01-V2-LOCATIONS,CY,2026080207,ASAP,COST_CARBON,0.21149254620416633,0.18381432035926512,13.087092827461525,13.08709282746152,0.7058187248615279,improved
cn-cy-100c-01-V2-LOCATIONS,CY,2026080207,COST,COST_CARBON,0.21174671227250408,0.18381432035926512,13.191417053640864,13.19141705364086,0.7122540152573824,improved
cn-cy-100c-01-V2-LOCATIONS,CY,2026080208,ASAP,COST_CARBON,0.19840366203031543,0.18055780016398604,8.994724030649495,8.994724030649495,0.770798975441425,improved
cn-cy-100c-01-V2-LOCATIONS,CY,2026080208,COST,COST_CARBON,0.20516480813513624,0.18055780016398604,11.993776220599326,11.993776220599333,1.0597318813660703,improved
cn-cy-100c-01-V2-LOCATIONS,CY,2026080209,ASAP,COST_CARBON,0.20250836599941704,0.17323826780715199,14.453772340619903,14.453772340619903,0.710804357797374,improved
cn-cy-100c-01-V2-LOCATIONS,CY,2026080209,COST,COST_CARBON,0.20294960629695932,0.17323826780715199,14.639761580189123,14.639761580189134,0.7214422731543105,improved
cn-cy-100c-01-V2-LOCATIONS,CY,2026080210,ASAP,COST_CARBON,0.20449894949394345,0.18352084547542954,10.258294270179226,10.258294270179222,0.7653880084480411,improved
cn-cy-100c-01-V2-LOCATIONS,CY,2026080210,COST,COST_CARBON,0.2057490402661675,0.18352084547542954,10.803547254452521,10.803547254452516,0.810627957731621,improved
cn-jjj-100c-01-V2-LOCATIONS,JJJ,2026080201,ASAP,COST_CARBON,0.6648884303164929,0.6163306480184666,7.303147428044789,7.303147428044782,1.2835631972633341,improved
cn-jjj-100c-01-V2-LOCATIONS,JJJ,2026080201,COST,COST_CARBON,0.6633765761662938,0.6163306480184666,7.091888655416406,7.091888655416408,1.2440964462335873,improved
cn-jjj-100c-01-V2-LOCATIONS,JJJ,2026080202,ASAP,COST_CARBON,0.6740639554251375,0.6341596085622531,5.919964499172259,5.919964499172265,1.277015122301688,improved
cn-jjj-100c-01-V2-LOCATIONS,JJJ,2026080202,COST,COST_CARBON,0.6730604691740949,0.6341596085622531,5.779697723085216,5.779697723085214,1.2453015600688593,improved
cn-jjj-100c-01-V2-LOCATIONS,JJJ,2026080203,ASAP,COST_CARBON,0.5676116510997696,0.5290520549634079,6.793305962210432,6.7933059622104475,1.3282186052717304,improved
cn-jjj-100c-01-V2-LOCATIONS,JJJ,2026080203,COST,COST_CARBON,0.5664360962224382,0.5290520549634079,6.59986916588551,6.5998691658855115,1.2882472518204986,improved
cn-jjj-100c-01-V2-LOCATIONS,JJJ,2026080204,ASAP,COST_CARBON,0.6654169539777913,0.6165793968092905,7.339391771813915,7.3393917718139035,1.1540046852275925,improved
cn-jjj-100c-01-V2-LOCATIONS,JJJ,2026080204,COST,COST_CARBON,0.6549354373383897,0.6165793968092905,5.856461315481006,5.856461315481005,0.9085825057518727,improved
cn-jjj-100c-01-V2-LOCATIONS,JJJ,2026080205,ASAP,COST_CARBON,0.6727593905724525,0.6260729710864203,6.939541854080485,6.939541854080474,1.068841774450537,improved
cn-jjj-100c-01-V2-LOCATIONS,JJJ,2026080205,COST,COST_CARBON,0.6719453975349853,0.6260729710864203,6.826808639042215,6.826808639042202,1.0504019162918528,improved
