task_id,instance_id,region,arm,charge_timing_policy,seed,depot_id,slot_index,slot_start_second,slot_end_second,charging_energy_kwh,electricity_cost_cny,charging_emissions_kgco2e
T24__CY__ASAP__S2026080201,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080201,D_chengdu,37,66600,68400,0.0,0.0,0.0
T24__CY__ASAP__S2026080201,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080201,D_chengdu,38,68400,70200,0.0,0.0,0.0
T24__CY__ASAP__S2026080201,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080201,D_chengdu,39,70200,72000,0.0,0.0,0.0
T24__CY__ASAP__S2026080201,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080201,D_chengdu,40,72000,73800,0.0,0.0,0.0
T24__CY__ASAP__S2026080201,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080201,D_chengdu,41,73800,75600,0.0,0.0,0.0
T24__CY__ASAP__S2026080201,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080201,D_chengdu,42,75600,77400,0.0,0.0,0.0
T24__CY__ASAP__S2026080201,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080201,D_chengdu,43,77400,79200,0.0,0.0,0.0
T24__CY__ASAP__S2026080201,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080201,D_chengdu,44,79200,81000,0.0,0.0,0.0
T24__CY__ASAP__S2026080201,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080201,D_chengdu,45,81000,82800,0.0,0.0,0.0
T24__CY__ASAP__S2026080201,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080201,D_chengdu,46,82800,84600,0.0,0.0,0.0
T24__CY__ASAP__S2026080201,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080201,D_chengdu,47,84600,86400,0.0,0.0,0.0
T24__CY__ASAP__S2026080201,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080201,D_chongqing,0,0,1800,22.0,8.837048,6.844199999999999
T24__CY__ASAP__S2026080201,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080201,D_chongqing,1,1800,3600,22.0,8.837048,6.844199999999999
T24__CY__ASAP__S2026080201,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080201,D_chongqing,2,3600,5400,17.251893575212303,6.929809618865578,5.484376967559991
T24__CY__ASAP__S2026080201,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080201,D_chongqing,3,5400,7200,0.0,0.0,0.0
