scale,left_algorithm,baseline_algorithm,bundle_count,paired_n,wins,mean_relative_pct,min_bundle_relative_pct,max_bundle_relative_pct
50,ppo_block_best,alpha_ucb_block,3,15,5,0.11921431738291716,0.0,0.35764295214875147
50,ppo_block_best,alpha_ucb_meta_tuned,3,15,5,0.11921431738291716,0.0,0.35764295214875147
50,ppo_block_best,official_winner_kernel,3,9,3,0.11921431738291716,0.0,0.35764295214875147
50,ppo_block_best,ppo_block_final,3,9,0,0.0,0.0,0.0
50,ppo_block_best,random_block,3,9,3,0.11921431738291716,0.0,0.35764295214875147
50,ppo_block_best,scikit-opt-SA,3,9,9,4.640447811736837,4.444500782307939,5.001982154419052
75,ppo_block_best,alpha_ucb_block,3,15,5,0.38326050564999076,0.0,1.1497815169499723
75,ppo_block_best,alpha_ucb_meta_tuned,3,15,5,0.38326050564999076,0.0,1.1497815169499723
75,ppo_block_best,official_winner_kernel,3,9,3,0.38326050564999076,0.0,1.1497815169499723
75,ppo_block_best,ppo_block_final,3,9,0,0.0,0.0,0.0
75,ppo_block_best,random_block,3,9,3,0.38326050564999076,0.0,1.1497815169499723
75,ppo_block_best,scikit-opt-SA,3,9,9,3.4377199348526566,3.2380405448651666,3.8161656695080945
100,ppo_block_best,alpha_ucb_block,3,15,5,1.0060972289934598,0.0,3.0182916869803793
100,ppo_block_best,alpha_ucb_meta_tuned,3,15,5,1.0060972289934598,0.0,3.0182916869803793
100,ppo_block_best,official_winner_kernel,3,9,3,1.0060972289934598,0.0,3.0182916869803793
100,ppo_block_best,ppo_block_final,3,9,0,0.0,0.0,0.0
100,ppo_block_best,random_block,3,9,3,1.0060972289934598,0.0,3.0182916869803793
100,ppo_block_best,scikit-opt-SA,3,9,9,3.1436039378706933,2.2889159078411643,4.828657761628487
150,ppo_block_best,alpha_ucb_block,3,15,5,0.9894648925685511,0.0,2.9683946777056534
150,ppo_block_best,alpha_ucb_meta_tuned,3,15,5,0.9894648925685511,0.0,2.9683946777056534
150,ppo_block_best,official_winner_kernel,3,9,3,0.9894648925685511,0.0,2.9683946777056534
150,ppo_block_best,ppo_block_final,3,9,0,0.0,0.0,0.0
150,ppo_block_best,random_block,3,9,3,0.9894648925685511,0.0,2.9683946777056534
150,ppo_block_best,scikit-opt-SA,3,9,9,2.461311052685879,1.6046424816174898,4.134127214190738
200,ppo_block_best,alpha_ucb_block,3,15,10,0.3576603584427322,0.0,0.7544541706942154
200,ppo_block_best,alpha_ucb_meta_tuned,3,15,10,0.3576603584427322,0.0,0.7544541706942154
200,ppo_block_best,official_winner_kernel,3,9,6,0.3576603584427322,0.0,0.7544541706942155
200,ppo_block_best,ppo_block_final,3,9,0,0.0,0.0,0.0
200,ppo_block_best,random_block,3,9,6,0.3576603584427322,0.0,0.7544541706942155
200,ppo_block_best,scikit-opt-SA,3,9,9,1.5187176314666342,1.1916485538664432,1.947673181748062
