scale,algorithm,n,mean_elapsed_seconds,min_elapsed_seconds,max_elapsed_seconds,mean_actual_evals,mean_actual_eval_fraction
50,alpha_ucb_block,15,0.957321499994335,0.8828133000060916,1.0514332000166178,20.0,1.0
50,alpha_ucb_meta_tuned,15,1.8918954333212847,1.708809999981895,2.0960674000671133,20.0,1.0
50,official_winner_kernel,9,0.8566034777840186,0.8094344999408349,0.9096506000496447,20.0,1.0
50,ppo_block_best,15,1.8301162199893346,1.6267593000084162,2.0031394999241456,8.0,0.4
50,ppo_block_final,9,1.8342129555530846,1.6486148000694811,2.039516199962236,8.0,0.4
50,random_block,9,1.449109833351233,0.9405603999039158,1.77004620002117,20.0,1.0
50,scikit-opt-SA,9,0.6904951444723539,0.6322208000347018,0.8155062000732869,20.0,1.0
75,alpha_ucb_block,15,1.6451021333457903,1.4908696000929922,1.8369366999249905,20.0,1.0
75,alpha_ucb_meta_tuned,15,3.6618864600313827,3.2749865000369027,4.072357600089163,20.0,1.0
75,official_winner_kernel,9,1.2963903999965016,1.14485479996074,1.7344535999000072,20.0,1.0
75,ppo_block_best,15,4.274015673335331,3.7620809000218287,4.767334699979983,9.333333333333334,0.4666666666666667
75,ppo_block_final,9,4.342802522212474,3.754748599953018,4.7834187999833375,9.333333333333334,0.4666666666666667
75,random_block,9,3.115984055549941,1.5134719000197947,5.07541049993597,20.0,1.0
75,scikit-opt-SA,9,0.9543049888969917,0.8370019999565557,1.1372474000090733,20.0,1.0
100,alpha_ucb_block,15,3.9448106000122305,3.5158840999938548,4.272902199998498,20.0,1.0
100,alpha_ucb_meta_tuned,15,8.318897813333509,7.298595300060697,9.004116100026295,20.0,1.0
100,official_winner_kernel,9,2.2338678111167005,2.059310400043614,2.399745099944994,20.0,1.0
100,ppo_block_best,15,9.35413953998747,9.073858499992639,9.7075901000062,8.0,0.4
100,ppo_block_final,9,9.40617173334532,9.080758400028571,9.841737800044939,8.0,0.4
100,random_block,9,6.557544477762551,3.9543871000641957,8.573612299980596,20.0,1.0
100,scikit-opt-SA,9,1.8480254889000207,1.7111280000535771,1.9503740000072867,20.0,1.0
150,alpha_ucb_block,15,10.240944639996936,7.801153899985366,12.099827599944547,20.0,1.0
150,alpha_ucb_meta_tuned,15,23.511864759982565,17.94653620000463,26.7253474999452,20.0,1.0
150,official_winner_kernel,9,4.747215344441226,3.5402573999017477,5.653575300006196,20.0,1.0
150,ppo_block_best,15,19.23905040664443,15.139142300002277,24.837465399992652,8.0,0.4
150,ppo_block_final,9,19.258258277796106,15.298854800057597,23.667868100106716,8.0,0.4
150,random_block,9,17.405198511072538,8.37800889997743,23.45648649998475,20.0,1.0
150,scikit-opt-SA,9,4.310172800013485,3.0493502999888733,5.584489900036715,20.0,1.0
200,alpha_ucb_block,15,27.78419293333621,17.27636659995187,38.70593400008511,20.0,1.0
200,alpha_ucb_meta_tuned,15,57.99063876001164,46.04391270002816,70.85894410009496,20.0,1.0
200,official_winner_kernel,9,12.49669851107885,7.058078299975023,17.50416959996801,20.0,1.0
200,ppo_block_best,15,38.83930733998616,23.233565000002272,53.920238099992275,8.0,0.4
200,ppo_block_final,9,39.52217124443915,23.48458779999055,55.7856472999556,8.0,0.4
200,random_block,9,44.76666898888329,17.878400899935514,68.08653779991437,20.0,1.0
200,scikit-opt-SA,9,11.911811822223374,6.444434900069609,16.758119100006297,20.0,1.0
