rank,model_label,checkpoint_update,n,mean_best_obj,std_best_obj,min_best_obj,max_best_obj,mean_actual_eval_fraction,model_path
1,checkpoint_0370,370,5,3823.054635077247,1935.140704939906,1764.4490893154866,6519.197108970301,0.4,solver\reports\dr_alns_ppo_v3_block_dr_alns\async_pilot\pilot16\train_final\checkpoints\async_block_ppo_update_0370.pt
2,checkpoint_0360,360,5,3823.054635077247,1935.140704939906,1764.4490893154866,6519.197108970301,0.4,solver\reports\dr_alns_ppo_v3_block_dr_alns\async_pilot\pilot16\train_final\checkpoints\async_block_ppo_update_0360.pt
3,checkpoint_0350,350,5,3823.054635077247,1935.140704939906,1764.4490893154866,6519.197108970301,0.4,solver\reports\dr_alns_ppo_v3_block_dr_alns\async_pilot\pilot16\train_final\checkpoints\async_block_ppo_update_0350.pt
4,checkpoint_0340,340,5,3823.054635077247,1935.140704939906,1764.4490893154866,6519.197108970301,0.4,solver\reports\dr_alns_ppo_v3_block_dr_alns\async_pilot\pilot16\train_final\checkpoints\async_block_ppo_update_0340.pt
5,checkpoint_0330,330,5,3823.054635077247,1935.140704939906,1764.4490893154866,6519.197108970301,0.4,solver\reports\dr_alns_ppo_v3_block_dr_alns\async_pilot\pilot16\train_final\checkpoints\async_block_ppo_update_0330.pt
6,checkpoint_0320,320,5,3823.054635077247,1935.140704939906,1764.4490893154866,6519.197108970301,0.4,solver\reports\dr_alns_ppo_v3_block_dr_alns\async_pilot\pilot16\train_final\checkpoints\async_block_ppo_update_0320.pt
7,checkpoint_0310,310,5,3823.054635077247,1935.140704939906,1764.4490893154866,6519.197108970301,0.4,solver\reports\dr_alns_ppo_v3_block_dr_alns\async_pilot\pilot16\train_final\checkpoints\async_block_ppo_update_0310.pt
8,checkpoint_0300,300,5,3823.054635077247,1935.140704939906,1764.4490893154866,6519.197108970301,0.4,solver\reports\dr_alns_ppo_v3_block_dr_alns\async_pilot\pilot16\train_final\checkpoints\async_block_ppo_update_0300.pt
9,checkpoint_0290,290,5,3823.054635077247,1935.140704939906,1764.4490893154866,6519.197108970301,0.4,solver\reports\dr_alns_ppo_v3_block_dr_alns\async_pilot\pilot16\train_final\checkpoints\async_block_ppo_update_0290.pt
10,checkpoint_0280,280,5,3823.054635077247,1935.140704939906,1764.4490893154866,6519.197108970301,0.4,solver\reports\dr_alns_ppo_v3_block_dr_alns\async_pilot\pilot16\train_final\checkpoints\async_block_ppo_update_0280.pt
11,checkpoint_0270,270,5,3823.054635077247,1935.140704939906,1764.4490893154866,6519.197108970301,0.4,solver\reports\dr_alns_ppo_v3_block_dr_alns\async_pilot\pilot16\train_final\checkpoints\async_block_ppo_update_0270.pt
12,checkpoint_0260,260,5,3823.054635077247,1935.140704939906,1764.4490893154866,6519.197108970301,0.44000000000000006,solver\reports\dr_alns_ppo_v3_block_dr_alns\async_pilot\pilot16\train_final\checkpoints\async_block_ppo_update_0260.pt
13,checkpoint_0250,250,5,3823.054635077247,1935.140704939906,1764.4490893154866,6519.197108970301,0.4,solver\reports\dr_alns_ppo_v3_block_dr_alns\async_pilot\pilot16\train_final\checkpoints\async_block_ppo_update_0250.pt
14,checkpoint_0240,240,5,3823.054635077247,1935.140704939906,1764.4490893154866,6519.197108970301,0.44000000000000006,solver\reports\dr_alns_ppo_v3_block_dr_alns\async_pilot\pilot16\train_final\checkpoints\async_block_ppo_update_0240.pt
15,checkpoint_0230,230,5,3823.054635077247,1935.140704939906,1764.4490893154866,6519.197108970301,0.4,solver\reports\dr_alns_ppo_v3_block_dr_alns\async_pilot\pilot16\train_final\checkpoints\async_block_ppo_update_0230.pt
16,checkpoint_0220,220,5,3823.054635077247,1935.140704939906,1764.4490893154866,6519.197108970301,0.4,solver\reports\dr_alns_ppo_v3_block_dr_alns\async_pilot\pilot16\train_final\checkpoints\async_block_ppo_update_0220.pt
17,checkpoint_0210,210,5,3823.054635077247,1935.140704939906,1764.4490893154866,6519.197108970301,0.4,solver\reports\dr_alns_ppo_v3_block_dr_alns\async_pilot\pilot16\train_final\checkpoints\async_block_ppo_update_0210.pt
18,checkpoint_0200,200,5,3823.054635077247,1935.140704939906,1764.4490893154866,6519.197108970301,0.4,solver\reports\dr_alns_ppo_v3_block_dr_alns\async_pilot\pilot16\train_final\checkpoints\async_block_ppo_update_0200.pt
