scale,bundle,left_algorithm,baseline_algorithm,paired_n,wins,mean_relative_pct,std_relative_pct,min_relative_pct,max_relative_pct
100,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-100c-01,ppo_block_best,alpha_ucb_block,5,5,3.0182916869803793,0.0,3.0182916869803793,3.0182916869803793
100,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-100c-01,ppo_block_best,alpha_ucb_meta_tuned,5,5,3.0182916869803793,0.0,3.0182916869803793,3.0182916869803793
100,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-100c-01,ppo_block_best,official_winner_kernel,3,3,3.0182916869803793,0.0,3.0182916869803793,3.0182916869803793
100,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-100c-01,ppo_block_best,ppo_block_final,3,0,0.0,0.0,0.0,0.0
100,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-100c-01,ppo_block_best,random_block,3,3,3.0182916869803793,0.0,3.0182916869803793,3.0182916869803793
100,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-100c-01,ppo_block_best,scikit-opt-SA,3,3,4.828657761628487,0.1038695617996465,4.716744985766849,4.921970993880764
100,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-100c-02,ppo_block_best,alpha_ucb_block,5,0,0.0,0.0,0.0,0.0
100,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-100c-02,ppo_block_best,alpha_ucb_meta_tuned,5,0,0.0,0.0,0.0,0.0
100,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-100c-02,ppo_block_best,official_winner_kernel,3,0,0.0,0.0,0.0,0.0
100,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-100c-02,ppo_block_best,ppo_block_final,3,0,0.0,0.0,0.0,0.0
100,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-100c-02,ppo_block_best,random_block,3,0,0.0,0.0,0.0,0.0
100,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-100c-02,ppo_block_best,scikit-opt-SA,3,3,2.3132381441424283,0.0,2.3132381441424283,2.3132381441424283
100,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-100c-03,ppo_block_best,alpha_ucb_block,5,0,0.0,0.0,0.0,0.0
100,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-100c-03,ppo_block_best,alpha_ucb_meta_tuned,5,0,0.0,0.0,0.0,0.0
100,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-100c-03,ppo_block_best,official_winner_kernel,3,0,0.0,0.0,0.0,0.0
100,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-100c-03,ppo_block_best,ppo_block_final,3,0,0.0,0.0,0.0,0.0
100,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-100c-03,ppo_block_best,random_block,3,0,0.0,0.0,0.0,0.0
100,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-100c-03,ppo_block_best,scikit-opt-SA,3,3,2.2889159078411643,0.0,2.2889159078411643,2.2889159078411643
150,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-150c-01,ppo_block_best,alpha_ucb_block,5,5,2.9683946777056534,0.0,2.9683946777056534,2.9683946777056534
150,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-150c-01,ppo_block_best,alpha_ucb_meta_tuned,5,5,2.9683946777056534,0.0,2.9683946777056534,2.9683946777056534
150,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-150c-01,ppo_block_best,official_winner_kernel,3,3,2.9683946777056534,0.0,2.9683946777056534,2.9683946777056534
150,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-150c-01,ppo_block_best,ppo_block_final,3,0,0.0,0.0,0.0,0.0
150,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-150c-01,ppo_block_best,random_block,3,3,2.9683946777056534,0.0,2.9683946777056534,2.9683946777056534
150,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-150c-01,ppo_block_best,scikit-opt-SA,3,3,4.134127214190738,0.14467906525191906,4.003641763315614,4.2897147914717
150,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-150c-02,ppo_block_best,alpha_ucb_block,5,0,0.0,0.0,0.0,0.0
150,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-150c-02,ppo_block_best,alpha_ucb_meta_tuned,5,0,0.0,0.0,0.0,0.0
150,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-150c-02,ppo_block_best,official_winner_kernel,3,0,0.0,0.0,0.0,0.0
150,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-150c-02,ppo_block_best,ppo_block_final,3,0,0.0,0.0,0.0,0.0
150,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-150c-02,ppo_block_best,random_block,3,0,0.0,0.0,0.0,0.0
150,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-150c-02,ppo_block_best,scikit-opt-SA,3,3,1.6046424816174898,0.0,1.6046424816174898,1.6046424816174898
150,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-150c-03,ppo_block_best,alpha_ucb_block,5,0,0.0,0.0,0.0,0.0
150,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-150c-03,ppo_block_best,alpha_ucb_meta_tuned,5,0,0.0,0.0,0.0,0.0
150,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-150c-03,ppo_block_best,official_winner_kernel,3,0,0.0,0.0,0.0,0.0
150,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-150c-03,ppo_block_best,ppo_block_final,3,0,0.0,0.0,0.0,0.0
150,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-150c-03,ppo_block_best,random_block,3,0,0.0,0.0,0.0,0.0
150,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-150c-03,ppo_block_best,scikit-opt-SA,3,3,1.6451634622494093,0.0,1.6451634622494093,1.6451634622494093
200,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-200c-01,ppo_block_best,alpha_ucb_block,5,0,0.0,0.0,0.0,0.0
