rank,model_label,checkpoint_update,n,mean_best_obj,std_best_obj,min_best_obj,max_best_obj,mean_actual_eval_fraction,model_path
1,final,375,15,3823.054635077247,1791.5921605213894,1764.4490893154866,6519.197108970301,0.4,solver\reports\dr_alns_ppo_v3_block_dr_alns\async_pilot\pilot16\train_final\async_block_ppo_model.pt
2,checkpoint_0370,370,15,3823.054635077247,1791.5921605213894,1764.4490893154866,6519.197108970301,0.4,solver\reports\dr_alns_ppo_v3_block_dr_alns\async_pilot\pilot16\train_final\checkpoints\async_block_ppo_update_0370.pt
3,checkpoint_0360,360,15,3823.054635077247,1791.5921605213894,1764.4490893154866,6519.197108970301,0.4,solver\reports\dr_alns_ppo_v3_block_dr_alns\async_pilot\pilot16\train_final\checkpoints\async_block_ppo_update_0360.pt
4,checkpoint_0350,350,15,3823.054635077247,1791.5921605213894,1764.4490893154866,6519.197108970301,0.4,solver\reports\dr_alns_ppo_v3_block_dr_alns\async_pilot\pilot16\train_final\checkpoints\async_block_ppo_update_0350.pt
5,checkpoint_0340,340,15,3823.054635077247,1791.5921605213894,1764.4490893154866,6519.197108970301,0.4,solver\reports\dr_alns_ppo_v3_block_dr_alns\async_pilot\pilot16\train_final\checkpoints\async_block_ppo_update_0340.pt
6,checkpoint_0330,330,15,3823.054635077247,1791.5921605213894,1764.4490893154866,6519.197108970301,0.4,solver\reports\dr_alns_ppo_v3_block_dr_alns\async_pilot\pilot16\train_final\checkpoints\async_block_ppo_update_0330.pt
