algorithm,bundle,seed,eval_budget,best_obj,actual_evals,candidate_scores,repair_delta_count,operator_base_id,control_mode,violation_count,feasible,solution_signature_hash,operator_counts,destroy_counts,repair_counts,q_ratio_counts,worker_python_executable,worker_python_version,worker_numpy_version,elapsed_seconds,runtime_target_seconds,model_label,checkpoint_update,eval_mode,bundle_role,scale,selection_subset,actual_eval_fraction,candidate_generator_mode,search_control_mode,candidate_nondefault_count,search_noncontinue_count,stop_requested_count,meta_q_ratio,meta_threshold_ratio,meta_exploration_ratio
ppo_block_best,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-50c-01,2,20,1703.8771110891244,8,8,5076,,block_ppo,0,1,3033035513e9bb3bb10eb578753122cd1e4213cf0cda17e1efba0cfe8d55b22d,{},"{""random_customer_removal"":3}","{""regret2_insert_repair"":3}","{""0.100000"":3}",C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,1.9978066000621766,0.0,best,375,budget,formal,50,,0.4,1,1,3,1,1,,,
ppo_block_final,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-50c-01,2,20,1703.8771110891244,8,8,5076,,block_ppo,0,1,3033035513e9bb3bb10eb578753122cd1e4213cf0cda17e1efba0cfe8d55b22d,{},"{""random_customer_removal"":3}","{""regret2_insert_repair"":3}","{""0.100000"":3}",C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,1.9494449000339955,0.0,final,375,budget,formal,50,,0.4,1,1,3,1,1,,,
random_block,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-50c-01,2,20,1703.8771110891244,20,20,10528,winner_kernel_v1,block_ppo,0,1,3033035513e9bb3bb10eb578753122cd1e4213cf0cda17e1efba0cfe8d55b22d,{},"{""shaw_related_removal"":2,""vehicle_type_swap"":1,""whole_route_removal"":1,""worst_customer_removal"":1}","{""greedy_insert_repair"":3,""regret2_insert_repair"":1,""regret3_insert_repair"":1}","{""0.100000"":1,""0.230000"":1,""0.300000"":1,""0.400000"":2}",C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,1.750200800015591,0.0,,-1,budget,formal,50,,1.0,0,0,0,0,0,,,
scikit-opt-SA,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-50c-01,2,20,1783.6949728422799,20,20,0,,fair_sa_timed,0,1,0767e6e22494edde48ef3416a647818d1dcb3e5e973a38a780cb7f4d982bdcc2,"{""sa_metropolis_path_move"":20}",{},{},{},C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,0.6415617000311613,0.0,,-1,budget,formal,50,,1.0,0,0,0,0,0,,,
alpha_ucb_block,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-50c-01,3,20,1703.8771110891244,20,20,2092,winner_kernel_v1,block_ppo,0,1,3033035513e9bb3bb10eb578753122cd1e4213cf0cda17e1efba0cfe8d55b22d,{},"{""random_customer_removal"":1,""shaw_related_removal"":1,""vehicle_type_swap"":1,""whole_route_removal"":1,""worst_customer_removal"":1}","{""greedy_insert_repair"":2,""regret2_insert_repair"":2,""regret3_insert_repair"":1}","{""0.160000"":5}",C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,0.9493449999717996,0.0,,-1,budget,formal,50,,1.0,0,0,0,0,0,,,
alpha_ucb_meta_tuned,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-50c-01,3,20,1703.8771110891244,20,20,12446,winner_kernel_v1,block_ppo,0,1,3033035513e9bb3bb10eb578753122cd1e4213cf0cda17e1efba0cfe8d55b22d,{},"{""random_customer_removal"":1,""route_segment_removal"":1,""shaw_related_removal"":1,""vehicle_type_swap"":1,""whole_route_removal"":1}","{""greedy_insert_repair"":1,""regret2_insert_repair"":3,""regret3_insert_repair"":1}","{""0.400000"":5}",C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,1.819618699955754,0.0,,-1,budget,formal,50,,1.0,0,0,0,0,0,0.4,0.0025,0.15
official_winner_kernel,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-50c-01,3,20,1703.8771110891244,20,20,0,winner_kernel_v1,official_kernel,0,1,610737d4a5a404987a96cf4aa82f16557fe7dfc8ec1c93514eae44fade8f4ca9,{},{},{},{},C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,0.8624039000133052,0.0,,-1,budget,formal,50,,1.0,0,0,0,0,0,,,
ppo_block_best,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-50c-01,3,20,1703.8771110891244,8,8,5076,,block_ppo,0,1,3033035513e9bb3bb10eb578753122cd1e4213cf0cda17e1efba0cfe8d55b22d,{},"{""random_customer_removal"":3}","{""regret2_insert_repair"":3}","{""0.100000"":3}",C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,1.9461316000670195,0.0,best,375,budget,formal,50,,0.4,1,1,3,1,1,,,
ppo_block_final,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-50c-01,3,20,1703.8771110891244,8,8,5076,,block_ppo,0,1,3033035513e9bb3bb10eb578753122cd1e4213cf0cda17e1efba0cfe8d55b22d,{},"{""random_customer_removal"":3}","{""regret2_insert_repair"":3}","{""0.100000"":3}",C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,1.9942959999898449,0.0,final,375,budget,formal,50,,0.4,1,1,3,1,1,,,
random_block,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-50c-01,3,20,1703.8771110891244,20,20,8938,winner_kernel_v1,block_ppo,0,1,3033035513e9bb3bb10eb578753122cd1e4213cf0cda17e1efba0cfe8d55b22d,{},"{""random_customer_removal"":1,""shaw_related_removal"":1,""whole_route_removal"":1,""worst_customer_removal"":2}","{""greedy_insert_repair"":2,""regret2_insert_repair"":1,""regret3_insert_repair"":2}","{""0.100000"":1,""0.160000"":1,""0.230000"":1,""0.300000"":1,""0.400000"":1}",C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,1.5839450000785291,0.0,,-1,budget,formal,50,,1.0,0,0,0,0,0,,,
