date,day_index,half_hour_slot,hour_of_day,minute,source_hour_index,scenario,data_nature,Beijing,Guangdong,Chongqing
2026-07-01,182,1,0,0,4345,S1,piecewise_linear_interpolation_2025_2030,674.580000,448.360000,274.780000
2026-07-01,182,2,0,30,4345,S1,piecewise_linear_interpolation_2025_2030,674.580000,448.360000,274.780000
2026-07-01,182,3,1,0,4346,S1,piecewise_linear_interpolation_2025_2030,672.180000,454.720000,279.380000
2026-07-01,182,4,1,30,4346,S1,piecewise_linear_interpolation_2025_2030,672.180000,454.720000,279.380000
2026-07-01,182,5,2,0,4347,S1,piecewise_linear_interpolation_2025_2030,664.220000,472.120000,288.620000
2026-07-01,182,6,2,30,4347,S1,piecewise_linear_interpolation_2025_2030,664.220000,472.120000,288.620000
2026-07-01,182,7,3,0,4348,S1,piecewise_linear_interpolation_2025_2030,650.360000,487.340000,297.480000
2026-07-01,182,8,3,30,4348,S1,piecewise_linear_interpolation_2025_2030,650.360000,487.340000,297.480000
2026-07-01,182,9,4,0,4349,S1,piecewise_linear_interpolation_2025_2030,620.140000,488.060000,305.000000
2026-07-01,182,10,4,30,4349,S1,piecewise_linear_interpolation_2025_2030,620.140000,488.060000,305.000000
2026-07-01,182,11,5,0,4350,S1,piecewise_linear_interpolation_2025_2030,617.680000,490.020000,290.600000
2026-07-01,182,12,5,30,4350,S1,piecewise_linear_interpolation_2025_2030,617.680000,490.020000,290.600000
2026-07-01,182,13,6,0,4351,S1,piecewise_linear_interpolation_2025_2030,570.180000,483.120000,279.460000
2026-07-01,182,14,6,30,4351,S1,piecewise_linear_interpolation_2025_2030,570.180000,483.120000,279.460000
2026-07-01,182,15,7,0,4352,S1,piecewise_linear_interpolation_2025_2030,483.340000,450.720000,244.920000
2026-07-01,182,16,7,30,4352,S1,piecewise_linear_interpolation_2025_2030,483.340000,450.720000,244.920000
2026-07-01,182,17,8,0,4353,S1,piecewise_linear_interpolation_2025_2030,389.960000,411.140000,271.400000
2026-07-01,182,18,8,30,4353,S1,piecewise_linear_interpolation_2025_2030,389.960000,411.140000,271.400000
2026-07-01,182,19,9,0,4354,S1,piecewise_linear_interpolation_2025_2030,319.660000,305.980000,253.220000
2026-07-01,182,20,9,30,4354,S1,piecewise_linear_interpolation_2025_2030,319.660000,305.980000,253.220000
2026-07-01,182,21,10,0,4355,S1,piecewise_linear_interpolation_2025_2030,316.120000,260.040000,246.460000
2026-07-01,182,22,10,30,4355,S1,piecewise_linear_interpolation_2025_2030,316.120000,260.040000,246.460000
2026-07-01,182,23,11,0,4356,S1,piecewise_linear_interpolation_2025_2030,354.260000,240.200000,226.180000
2026-07-01,182,24,11,30,4356,S1,piecewise_linear_interpolation_2025_2030,354.260000,240.200000,226.180000
2026-07-01,182,25,12,0,4357,S1,piecewise_linear_interpolation_2025_2030,356.640000,223.360000,228.340000
2026-07-01,182,26,12,30,4357,S1,piecewise_linear_interpolation_2025_2030,356.640000,223.360000,228.340000
2026-07-01,182,27,13,0,4358,S1,piecewise_linear_interpolation_2025_2030,359.660000,217.220000,233.140000
2026-07-01,182,28,13,30,4358,S1,piecewise_linear_interpolation_2025_2030,359.660000,217.220000,233.140000
2026-07-01,182,29,14,0,4359,S1,piecewise_linear_interpolation_2025_2030,337.500000,230.420000,237.440000
2026-07-01,182,30,14,30,4359,S1,piecewise_linear_interpolation_2025_2030,337.500000,230.420000,237.440000
2026-07-01,182,31,15,0,4360,S1,piecewise_linear_interpolation_2025_2030,321.300000,288.240000,247.780000
2026-07-01,182,32,15,30,4360,S1,piecewise_linear_interpolation_2025_2030,321.300000,288.240000,247.780000
2026-07-01,182,33,16,0,4361,S1,piecewise_linear_interpolation_2025_2030,381.720000,348.160000,239.500000
2026-07-01,182,34,16,30,4361,S1,piecewise_linear_interpolation_2025_2030,381.720000,348.160000,239.500000
2026-07-01,182,35,17,0,4362,S1,piecewise_linear_interpolation_2025_2030,439.540000,348.860000,142.680000
2026-07-01,182,36,17,30,4362,S1,piecewise_linear_interpolation_2025_2030,439.540000,348.860000,142.680000
2026-07-01,182,37,18,0,4363,S1,piecewise_linear_interpolation_2025_2030,458.480000,356.160000,43.660000
2026-07-01,182,38,18,30,4363,S1,piecewise_linear_interpolation_2025_2030,458.480000,356.160000,43.660000
2026-07-01,182,39,19,0,4364,S1,piecewise_linear_interpolation_2025_2030,487.860000,369.160000,47.040000
2026-07-01,182,40,19,30,4364,S1,piecewise_linear_interpolation_2025_2030,487.860000,369.160000,47.040000
2026-07-01,182,41,20,0,4365,S1,piecewise_linear_interpolation_2025_2030,508.380000,375.160000,47.840000
2026-07-01,182,42,20,30,4365,S1,piecewise_linear_interpolation_2025_2030,508.380000,375.160000,47.840000
2026-07-01,182,43,21,0,4366,S1,piecewise_linear_interpolation_2025_2030,518.820000,373.920000,58.200000
2026-07-01,182,44,21,30,4366,S1,piecewise_linear_interpolation_2025_2030,518.820000,373.920000,58.200000
2026-07-01,182,45,22,0,4367,S1,piecewise_linear_interpolation_2025_2030,527.000000,370.940000,80.020000
2026-07-01,182,46,22,30,4367,S1,piecewise_linear_interpolation_2025_2030,527.000000,370.940000,80.020000
2026-07-01,182,47,23,0,4368,S1,piecewise_linear_interpolation_2025_2030,617.380000,369.140000,62.900000
2026-07-01,182,48,23,30,4368,S1,piecewise_linear_interpolation_2025_2030,617.380000,369.140000,62.900000
2026-07-02,183,1,0,0,4369,S1,piecewise_linear_interpolation_2025_2030,608.900000,490.660000,302.300000
2026-07-02,183,2,0,30,4369,S1,piecewise_linear_interpolation_2025_2030,608.900000,490.660000,302.300000
2026-07-02,183,3,1,0,4370,S1,piecewise_linear_interpolation_2025_2030,602.140000,493.500000,308.460000
2026-07-02,183,4,1,30,4370,S1,piecewise_linear_interpolation_2025_2030,602.140000,493.500000,308.460000
2026-07-02,183,5,2,0,4371,S1,piecewise_linear_interpolation_2025_2030,592.000000,496.200000,313.960000
2026-07-02,183,6,2,30,4371,S1,piecewise_linear_interpolation_2025_2030,592.000000,496.200000,313.960000
2026-07-02,183,7,3,0,4372,S1,piecewise_linear_interpolation_2025_2030,620.860000,496.480000,319.820000
2026-07-02,183,8,3,30,4372,S1,piecewise_linear_interpolation_2025_2030,620.860000,496.480000,319.820000
2026-07-02,183,9,4,0,4373,S1,piecewise_linear_interpolation_2025_2030,642.200000,504.560000,327.200000
2026-07-02,183,10,4,30,4373,S1,piecewise_linear_interpolation_2025_2030,642.200000,504.560000,327.200000
2026-07-02,183,11,5,0,4374,S1,piecewise_linear_interpolation_2025_2030,650.760000,502.560000,335.540000
2026-07-02,183,12,5,30,4374,S1,piecewise_linear_interpolation_2025_2030,650.760000,502.560000,335.540000
2026-07-02,183,13,6,0,4375,S1,piecewise_linear_interpolation_2025_2030,541.840000,496.220000,295.420000
2026-07-02,183,14,6,30,4375,S1,piecewise_linear_interpolation_2025_2030,541.840000,496.220000,295.420000
2026-07-02,183,15,7,0,4376,S1,piecewise_linear_interpolation_2025_2030,440.080000,462.120000,332.560000
2026-07-02,183,16,7,30,4376,S1,piecewise_linear_interpolation_2025_2030,440.080000,462.120000,332.560000
2026-07-02,183,17,8,0,4377,S1,piecewise_linear_interpolation_2025_2030,399.800000,421.440000,315.000000
2026-07-02,183,18,8,30,4377,S1,piecewise_linear_interpolation_2025_2030,399.800000,421.440000,315.000000
2026-07-02,183,19,9,0,4378,S1,piecewise_linear_interpolation_2025_2030,309.840000,359.080000,275.480000
2026-07-02,183,20,9,30,4378,S1,piecewise_linear_interpolation_2025_2030,309.840000,359.080000,275.480000
2026-07-02,183,21,10,0,4379,S1,piecewise_linear_interpolation_2025_2030,242.000000,339.320000,262.940000
2026-07-02,183,22,10,30,4379,S1,piecewise_linear_interpolation_2025_2030,242.000000,339.320000,262.940000
2026-07-02,183,23,11,0,4380,S1,piecewise_linear_interpolation_2025_2030,222.840000,316.480000,258.320000
2026-07-02,183,24,11,30,4380,S1,piecewise_linear_interpolation_2025_2030,222.840000,316.480000,258.320000
2026-07-02,183,25,12,0,4381,S1,piecewise_linear_interpolation_2025_2030,187.160000,308.760000,248.580000
2026-07-02,183,26,12,30,4381,S1,piecewise_linear_interpolation_2025_2030,187.160000,308.760000,248.580000
2026-07-02,183,27,13,0,4382,S1,piecewise_linear_interpolation_2025_2030,161.880000,309.420000,244.200000
2026-07-02,183,28,13,30,4382,S1,piecewise_linear_interpolation_2025_2030,161.880000,309.420000,244.200000
2026-07-02,183,29,14,0,4383,S1,piecewise_linear_interpolation_2025_2030,170.820000,313.920000,247.040000
2026-07-02,183,30,14,30,4383,S1,piecewise_linear_interpolation_2025_2030,170.820000,313.920000,247.040000
2026-07-02,183,31,15,0,4384,S1,piecewise_linear_interpolation_2025_2030,214.400000,333.780000,251.240000
2026-07-02,183,32,15,30,4384,S1,piecewise_linear_interpolation_2025_2030,214.400000,333.780000,251.240000
2026-07-02,183,33,16,0,4385,S1,piecewise_linear_interpolation_2025_2030,244.480000,336.160000,244.920000
