fleet_level_percent,run_count,available_cv,available_ev,mean_aware_dispatched_cv,mean_aware_dispatched_ev,mean_aware_used_physical_vehicles,mean_aware_route_count,mean_aware_full_model_cost_cny,mean_aware_system_emissions_kg,mean_emissions_difference_vs_blind_kg,mean_charging_timing_change_count,mean_vehicle_type_change_customer_count,mean_route_change_customer_count,complete_evaluation_attempts,all_views_exact_25000
0,10,16,0,12.0,0.0,12.0,18.0,5174.431221352166,619.409944928491,0.0,0.0,0.0,0.0,1600,true
25,10,12,4,8.0,4.0,12.0,18.0,4562.024573963715,415.87391239972465,0.0,0.0,0.0,0.0,1600,true
50,10,8,8,5.0,7.0,12.0,18.0,4201.130262011553,305.2507174786151,0.0,0.0,0.0,0.0,1600,true
75,0,,,,,,,,,,,,,0,false
100,0,,,,,,,,,,,,,0,false
