arm,candidate_scores,distance_double,elapsed_seconds,eval_budget,evaluations,expected_objective,failure_codes,independent_recompute_pass,initial_distance_double,initial_route_count,initial_solution_sha256,instance,model_violation_count,objective,process_cpu_seconds,route_count,score_counts,seed,solution_path,solution_sha256,status,structural_counts,true_swapstar_accepted_move_count,true_swapstar_evaluations,true_swapstar_trace_count
baseline,160,3231.6730575880974,81.2686450839974,160,160,876547.673057588,[],True,4141.701431677695,21,1baa557e29622b259a37ee0887f33d3ad4c98a476f4779f7908cc5291c77f73a,R1_2_8,0,876547.673057588,81.293993,19,"{""candidate"": 160, ""candidate_channel:destroy_repair"": 160, ""reference"": 2, ""reference_cache_hit"": 72, ""reference_cache_hit:history"": 72, ""reference_phase:final"": 1, ""reference_phase:initial"": 1, ""repair_delta"": 764933}",1,baselines/e2_alns/homberger_g1_true_swapstar_risk_gate_20260718/solution__baseline.json,4f42abfb8045c49bc1de2f21866e58772d1f4efff67c3f1359f15b58a61506d6,OK,"{""accepted"": 0, ""attempts"": 0, ""best_improved"": 0, ""rejected"": 0}",0,0,0
candidate_true_swapstar,160,3231.6730575880974,81.66979600000195,160,160,876547.673057588,"[""TRUE_SWAPSTAR_NOT_ACTIVATED""]",True,4141.701431677695,21,1baa557e29622b259a37ee0887f33d3ad4c98a476f4779f7908cc5291c77f73a,R1_2_8,0,876547.673057588,81.27095700000001,19,"{""candidate"": 160, ""candidate_channel:destroy_repair"": 160, ""reference"": 2, ""reference_cache_hit"": 72, ""reference_cache_hit:history"": 72, ""reference_phase:final"": 1, ""reference_phase:initial"": 1, ""repair_delta"": 764933}",1,baselines/e2_alns/homberger_g1_true_swapstar_risk_gate_20260718/solution__candidate_true_swapstar.json,4f42abfb8045c49bc1de2f21866e58772d1f4efff67c3f1359f15b58a61506d6,FAIL,"{""accepted"": 0, ""attempts"": 0, ""best_improved"": 0, ""rejected"": 0}",0,0,0
