algorithm,selected_seed,point_order,time_min,cost_cny,source
HGS-F,1,0,0.0,6072.234910443941,common_initial
HGS-F,1,1,0.02379303750009664,5466.071757863982,hgs_new_proxy_population_best
HGS-F,1,2,0.026724063883011694,5444.031039235768,hgs_new_proxy_population_best
HGS-F,1,3,0.026830246533306006,5443.7271505969775,hgs_new_proxy_population_best
HGS-F,1,4,0.02911530486647583,5442.187577275017,hgs_new_proxy_population_best
HGS-F,1,5,0.029648553466540762,5441.501721459102,hgs_new_proxy_population_best
HGS-F,1,6,0.030349463883127707,5436.627924044823,hgs_new_proxy_population_best
HGS-F,1,7,0.032250909716337144,5434.271031265892,hgs_new_proxy_population_best
HGS-F,1,8,0.03424437916643607,5348.1662966166605,hgs_new_proxy_population_best
HGS-F,1,9,0.053780584716393305,5341.36994121307,hgs_new_proxy_population_best
HGS-F,1,10,0.07353302153302745,5288.186220456055,hgs_new_proxy_population_best
HGS-F,1,11,0.233358915966528,5287.481800660032,hgs_new_proxy_population_best
HGS-F,1,12,0.29844294236633384,5286.883766731755,hgs_new_proxy_population_best
HGS-E,6,0,0.0,6072.234910443941,common_initial
HGS-E,6,1,0.005095372917033577,5341.543257543019,hgs_new_proxy_population_best
HGS-E,6,2,0.019847582633277246,5325.734790576604,hgs_new_proxy_population_best
HGS-E,6,3,0.021540967366793968,5311.747013243684,hgs_new_proxy_population_best
HGS-E,6,4,0.032881543749923976,5301.901278404566,hgs_new_proxy_population_best
HGS-E,6,5,0.03368005208370353,5287.444154746019,hgs_new_proxy_population_best
HGS-E,6,6,0.03713601875012197,5250.645072673939,hgs_new_proxy_population_best
HGS-E,6,7,0.06645153749996098,5241.6954656081525,hgs_new_proxy_population_best
HGS-E,6,8,0.10268367846680727,5225.711841543926,hgs_new_proxy_population_best
HGS-E,6,9,0.15394338541664182,5220.314324506466,hgs_new_proxy_population_best
HGS-E,6,10,0.18322585070030376,5211.937223212756,hgs_new_proxy_population_best
HGS-E,6,11,0.2055565000002389,5209.966880881262,hgs_new_proxy_population_best
HGS-E,6,12,0.21482225208358915,5205.986633137369,hgs_new_proxy_population_best
