algorithm,selected_seed,sealed_final_cost,rerun_final_cost,final_cost_equal,hgs_iterations,curve_point_count,offline_snapshot_count,offline_valid_count,offline_infeasible_count,offline_error_count
HGS-F,1,2496.0390972782943,2496.0390972782943,True,5000,7,5,5,0,0
HGS-E,10,2437.909151411933,2437.909151411933,True,5000,8,10,10,0,0
HGS-M,5,2435.457999418578,2435.457999418578,True,5000,11,16,16,0,0
MV-HGS-SP,1,2434.5852089862865,2434.5852089862865,True,15000,13,26,26,0,0
