case_id,algorithm,budget,status,candidates_generated,complete_evaluations,feasible_evaluations,label_expansions,dominance_prunes,pointwise_match_to_exhaustive,best_plan_index,best_objective,best_finish_seconds,best_terminal_soc_kwh,best_price_cost,best_carbon_amount,charge_action_count,note
ARTIFICIAL_CONFLICT_TWO_CHARGERS,exhaustive,0,BUDGET_ZERO_NO_EVALUATION,0,0,0,0,0,true,,,,,,,0,hand_enumerated_deterministic_plan_prefix
ARTIFICIAL_CONFLICT_TWO_CHARGERS,label,0,BUDGET_ZERO_NO_EVALUATION,0,0,0,0,0,true,,,,,,,0,clean_room_label_same_prefix_dominance_disabled
ARTIFICIAL_CONFLICT_TWO_CHARGERS,exhaustive,1,FEASIBLE,1,1,1,0,0,true,0,6.400000000000,4320.000000000000,1.000000000000,5.000000000000,5.600000000000,2,hand_enumerated_deterministic_plan_prefix
ARTIFICIAL_CONFLICT_TWO_CHARGERS,label,1,FEASIBLE,1,1,1,41,0,true,0,6.400000000000,4320.000000000000,1.000000000000,5.000000000000,5.600000000000,2,clean_room_label_same_prefix_dominance_disabled
ARTIFICIAL_CONFLICT_TWO_CHARGERS,exhaustive,2,FEASIBLE,2,2,2,0,0,true,0,6.400000000000,4320.000000000000,1.000000000000,5.000000000000,5.600000000000,2,hand_enumerated_deterministic_plan_prefix
ARTIFICIAL_CONFLICT_TWO_CHARGERS,label,2,FEASIBLE,2,2,2,41,0,true,0,6.400000000000,4320.000000000000,1.000000000000,5.000000000000,5.600000000000,2,clean_room_label_same_prefix_dominance_disabled
ARTIFICIAL_CONFLICT_TWO_CHARGERS,exhaustive,5,FEASIBLE,5,5,5,0,0,true,0,6.400000000000,4320.000000000000,1.000000000000,5.000000000000,5.600000000000,2,hand_enumerated_deterministic_plan_prefix
ARTIFICIAL_CONFLICT_TWO_CHARGERS,label,5,FEASIBLE,5,5,5,41,0,true,0,6.400000000000,4320.000000000000,1.000000000000,5.000000000000,5.600000000000,2,clean_room_label_same_prefix_dominance_disabled
ARTIFICIAL_CONFLICT_TWO_CHARGERS,exhaustive,UNLIMITED,FEASIBLE,16,16,16,0,0,true,0,6.400000000000,4320.000000000000,1.000000000000,5.000000000000,5.600000000000,2,complete_hand_enumeration
ARTIFICIAL_CONFLICT_TWO_CHARGERS,label,UNLIMITED,FEASIBLE,2,2,2,27,14,true,0,6.400000000000,4320.000000000000,1.000000000000,5.000000000000,5.600000000000,2,clean_room_label_with_dominance
