instance_id,seed,arm,primary_gate_member,search_seconds,elapsed_seconds,objective,feasible,violation_count,route_count,ev_route_count,charging_action_count,distance_m,emissions_kg,solution_sha256
cn-jjj-25c-01-V2-LOCATIONS,1,pyvrp_hgs_cv_only,True,2.0,2.083991874998901,1253.672412632888,True,0,4,0,0,334818.394519722,119.51080590504093,755694a355a6ef7242df08e45d40830e77dd6c91e7bd5057cdfa91f2f7634663
cn-jjj-25c-01-V2-LOCATIONS,1,pyvrp_hgs_naive_ev,True,2.0,2.055971166002564,1217.5293306722904,True,0,4,1,1,349935.094318361,101.3412360555149,08cd634e7d5983bf4c987ef94eebcf2372646928324f4ef5844bc1943ac344ad
cn-jjj-25c-01-V2-LOCATIONS,1,project_alns,True,2.0,2.0809370829956606,1255.9591275844373,True,0,4,0,0,336366.970283784,119.92336764836543,93b97a4c6b67aa2aa7310259a7e239ced45839470740cb30985f986edc5f8a67
cn-jjj-25c-01-V2-LOCATIONS,1,pma_hgs_alns_vns,True,2.0,2.094833999988623,1217.5293306722904,True,0,4,1,1,349935.094318361,101.3412360555149,08cd634e7d5983bf4c987ef94eebcf2372646928324f4ef5844bc1943ac344ad
cn-jjj-25c-01-V2-LOCATIONS,1,pma_plus_mechanism_split_diagnostic,False,2.0,3.50591412500944,1217.5293306722904,True,0,4,1,1,349935.094318361,101.3412360555149,08cd634e7d5983bf4c987ef94eebcf2372646928324f4ef5844bc1943ac344ad
cn-prd-75c-01-V2-LOCATIONS,1,pyvrp_hgs_cv_only,True,2.0,2.2019122919882648,3626.548585731854,True,0,13,0,0,827108.290744548,296.67614773983536,96a438b07f7e5bfddfcfd98143ef360384d1472d5746d563f4d9119044faa11d
cn-prd-75c-01-V2-LOCATIONS,1,pyvrp_hgs_naive_ev,True,2.0,2.2601630419958383,3756.0515559253913,True,0,14,4,4,898728.1189526761,243.86083039000962,d7296a8f7f938a3dc80fa5ac269037ce0aef6ab2e28054b2c5813f6e6eae182d
cn-prd-75c-01-V2-LOCATIONS,1,project_alns,True,2.0,2.099655166035518,3796.876171565738,True,0,13,1,1,956450.375538299,320.4848096154281,95e4052d8198a13237cc4dc142e248c3807f46d5cf9cbd3ca85b3afac4cfe4a8
cn-prd-75c-01-V2-LOCATIONS,1,pma_hgs_alns_vns,True,2.0,2.6615330419735983,3822.8831222833023,True,0,13,1,1,971235.1257713101,325.6924946009405,ef6b378ae251a089dec650218904e6ef62ec4974afc67ba9db3dbdf91afb8c85
cn-prd-75c-01-V2-LOCATIONS,1,pma_plus_mechanism_split_diagnostic,False,2.0,12.038456750975456,3822.8831222833023,True,0,13,1,1,971235.1257713101,325.6924946009405,ef6b378ae251a089dec650218904e6ef62ec4974afc67ba9db3dbdf91afb8c85
cn-cy-150c-01-V2-LOCATIONS,1,pyvrp_hgs_cv_only,True,2.0,2.528176041028928,8415.881190547478,True,0,26,2,2,2391429.119105991,797.9552494140898,38b40e8a0f761027fcb7803953ad6841fac1d67890d5be991dfa5de3cb3607b6
cn-cy-150c-01-V2-LOCATIONS,1,pyvrp_hgs_naive_ev,True,2.0,2.6701329170027748,8415.881190547478,True,0,26,2,2,2391429.119105991,797.9552494140898,38b40e8a0f761027fcb7803953ad6841fac1d67890d5be991dfa5de3cb3607b6
cn-cy-150c-01-V2-LOCATIONS,1,project_alns,True,2.0,2.2258240829687566,8415.881190547478,True,0,26,2,2,2391429.119105991,797.9552494140898,38b40e8a0f761027fcb7803953ad6841fac1d67890d5be991dfa5de3cb3607b6
cn-cy-150c-01-V2-LOCATIONS,1,pma_hgs_alns_vns,True,2.0,3.849935791979078,8415.881190547478,True,0,26,2,2,2391429.119105991,797.9552494140898,38b40e8a0f761027fcb7803953ad6841fac1d67890d5be991dfa5de3cb3607b6
cn-cy-150c-01-V2-LOCATIONS,1,pma_plus_mechanism_split_diagnostic,False,2.0,25.691227624949533,8415.881190547478,True,0,26,2,2,2391429.119105991,797.9552494140898,38b40e8a0f761027fcb7803953ad6841fac1d67890d5be991dfa5de3cb3607b6
