parameter,scenario,value,unit,model_value,model_unit,interpretation
carbon_shadow_price,observed_low,56.32000,yuan_per_tCO2e,0.05632000,yuan_per_kgCO2e,internal shadow price / policy expansion / upstream pass-through; not a current legal road-logistics compliance cost
carbon_shadow_price,base,75.02000,yuan_per_tCO2e,0.07502000,yuan_per_kgCO2e,internal shadow price / policy expansion / upstream pass-through; not a current legal road-logistics compliance cost
carbon_shadow_price,observed_high,105.65000,yuan_per_tCO2e,0.10565000,yuan_per_kgCO2e,internal shadow price / policy expansion / upstream pass-through; not a current legal road-logistics compliance cost
diesel_price,official_date_low,6.31,yuan_per_L,6.31000000,yuan_per_L,official Shanghai maximum retail price on the named date; not a fleet bulk-purchase transaction price
diesel_price,base_2025-07-15,6.88,yuan_per_L,6.88000000,yuan_per_L,official Shanghai maximum retail price on the named date; not a fleet bulk-purchase transaction price
diesel_price,official_date_high,7.41,yuan_per_L,7.41000000,yuan_per_L,official Shanghai maximum retail price on the named date; not a fleet bulk-purchase transaction price
public_charging_service_fee,depot_owned,0.00,yuan_per_kWh,0.00000000,yuan_per_kWh,no public charging service fee
public_charging_service_fee,public_typical,0.42,yuan_per_kWh,0.42000000,yuan_per_kWh,2024 Shanghai public-station median
public_charging_service_fee,public_guidance_cap,1.30,yuan_per_kWh,1.30000000,yuan_per_kWh,"government guidance ceiling, not a typical transaction price"
