source,path,bytes,sha256,expected_sha256,hash_match
MEE_national_carbon_market_2025.html,data/Carbon/中国情景/raw_20260717/MEE_national_carbon_market_2025.html,47995,223cb0b47110495b65508c1bbf65a14a788c4d1282897245e81a3d113484039d,223cb0b47110495b65508c1bbf65a14a788c4d1282897245e81a3d113484039d,1
CNEEEX_CEA_2025-06-30.html,data/Carbon/中国情景/raw_20260717/CNEEEX_CEA_2025-06-30.html,31159,e5a2a4ceb23fc9ca98f98ca9f8f70e67545c44d8807552ab1dfe8b0b0415678d,e5a2a4ceb23fc9ca98f98ca9f8f70e67545c44d8807552ab1dfe8b0b0415678d,1
CNEEEX_monthly_2025-12-31.html,data/Carbon/中国情景/raw_20260717/CNEEEX_monthly_2025-12-31.html,31960,3f404020f45f673d1a65468641a92492c884e265e33b8b4fa6c89e61c4620b5a,3f404020f45f673d1a65468641a92492c884e265e33b8b4fa6c89e61c4620b5a,1
MEE_national_carbon_market_report_2025.pdf,data/Carbon/中国情景/raw_20260717/MEE_national_carbon_market_report_2025.pdf,9098879,ba325d41186b700249f631b5e61f05eafe65ef2c607cc2d5c521c1614bc01930,ba325d41186b700249f631b5e61f05eafe65ef2c607cc2d5c521c1614bc01930,1
Shanghai_TOU_policy_2022_50.html,data/Carbon/中国情景/raw_20260717/Shanghai_TOU_policy_2022_50.html,11233,528dc606786a40e9df4ee9dfb5741872f32940f11e20d023bc79497356718937,528dc606786a40e9df4ee9dfb5741872f32940f11e20d023bc79497356718937,1
Shanghai_2025_07_industrial_tou_tariff_10kV.pdf,data/Carbon/中国情景/raw_20260717/Shanghai_2025_07_industrial_tou_tariff_10kV.pdf,138730,e2293dcc5fb15da3eaad204c929447a1a6dfa757248610b38ef1dec674157bf9,e2293dcc5fb15da3eaad204c929447a1a6dfa757248610b38ef1dec674157bf9,1
Shanghai_charging_service_fee_cap_2021_43.html,data/Carbon/中国情景/raw_20260717/Shanghai_charging_service_fee_cap_2021_43.html,8035,9c473443a6fa49e00df3a3311398854377cb6d6d2c62c293d666629f9ad01657,9c473443a6fa49e00df3a3311398854377cb6d6d2c62c293d666629f9ad01657,1
Shanghai_charging_service_fee_median_2024.html,data/Carbon/中国情景/raw_20260717/Shanghai_charging_service_fee_median_2024.html,14121,6df1fc27a1c7a36f36030df7ef18fe5a0ed53d3e90f6ef50d12078f32a63935f,6df1fc27a1c7a36f36030df7ef18fe5a0ed53d3e90f6ef50d12078f32a63935f,1
Shanghai_diesel_2025-07-15.html,data/Carbon/中国情景/raw_20260717/Shanghai_diesel_2025-07-15.html,18367,71e7f59b67eaabb60f3ed42ac8fa73ead072c44dd4f690843d31b6868d66c46b,71e7f59b67eaabb60f3ed42ac8fa73ead072c44dd4f690843d31b6868d66c46b,1
Shanghai_diesel_2025-12-22.html,data/Carbon/中国情景/raw_20260717/Shanghai_diesel_2025-12-22.html,18421,b7d6346fdde6d662094497a3fefac121d69bdb49c1b4d10460e0bc918a4a61c5,b7d6346fdde6d662094497a3fefac121d69bdb49c1b4d10460e0bc918a4a61c5,1
Shanghai_diesel_2025-01-16.html,data/Carbon/中国情景/raw_20260717/Shanghai_diesel_2025-01-16.html,26221,39df5433ea2ecb763668d30f16ea08b4ee2843706687e22d946d3e931bb352f7,39df5433ea2ecb763668d30f16ea08b4ee2843706687e22d946d3e931bb352f7,1
MEE_2023_power_CO2_factors.pdf,data/Carbon/中国情景/raw_20260717/MEE_2023_power_CO2_factors.pdf,121854,d43b60a3eaad9f3fe59ca37c204d3d0e1b6ea52742a092f0d856971a3f018e5a,d43b60a3eaad9f3fe59ca37c204d3d0e1b6ea52742a092f0d856971a3f018e5a,1
NDRC_land_transport_GHG_guideline.pdf,data/Carbon/中国情景/raw_20260717/NDRC_land_transport_GHG_guideline.pdf,686674,84aadb948141b5229f9339254dd305bbf54b435e140827244d9e3c69b289bb31,84aadb948141b5229f9339254dd305bbf54b435e140827244d9e3c69b289bb31,1
