algorithm,n,mean_cost,median_cost,best_cost,worst_cost,std_cost_sample,all_actual_evals_16000,violation_sum,worker_python_executables,worker_numpy_versions,delta_vs_official_mean_gbp,pct_vs_official_mean
alpha_ucb_block,10,4905.2040162095445,4892.718677776476,4837.032376940526,5007.433045753922,50.249432541193315,True,0,/opt/anaconda3/bin/python3.13,2.3.5,26.872220022020883,0.550848551199856
alpha_ucb_env,10,4878.331796187524,4848.619847811227,4779.053444002934,5055.051020529177,95.27954961466529,True,0,/opt/anaconda3/bin/python3.13,2.3.5,0.0,0.0
official_winner_kernel,10,4878.331796187524,4848.619847811227,4779.053444002934,5055.051020529177,95.27954961466529,False,0,/opt/anaconda3/bin/python3.13,2.3.5,0.0,0.0
random_block,10,4789.365362856688,4783.328549266539,4732.715110331017,4858.874719067087,34.365484457196665,True,0,/opt/anaconda3/bin/python3.13,2.3.5,-88.96643333083557,-1.8237060751046892
random_full,10,4781.121850823597,4788.89040673416,4739.8600246707265,4813.441005994648,24.509628861217195,True,0,/opt/anaconda3/bin/python3.13,2.3.5,-97.20994536392664,-1.992688267737291
