algorithm,bundle,seed,eval_budget,best_obj,actual_evals,candidate_scores,repair_delta_count,operator_base_id,control_mode,violation_count,feasible,solution_signature_hash,operator_counts,destroy_counts,repair_counts,q_ratio_counts,worker_python_executable,worker_python_version,worker_numpy_version
random_block,models/data_bundle/generated_instances/E-UK100_01__d2_s3_seed1_24h_20251113,5,16000,4777.567760934302,16000,16000,7802470,winner_kernel_v1,block_ppo,0,1,1399de4d1c7f3629e0a264861c588d4d89332b840b7c9a3f7fc1ef927b540b8a,{},"{""random_customer_removal"":15,""route_segment_removal"":20,""shaw_related_removal"":14,""vehicle_type_swap"":48,""whole_route_removal"":16,""worst_customer_removal"":12}","{""greedy_insert_repair"":61,""regret2_insert_repair"":29,""regret3_insert_repair"":35}","{""0.100000"":27,""0.160000"":28,""0.230000"":31,""0.300000"":18,""0.400000"":21}",/opt/anaconda3/bin/python3.13,"3.13.9 | packaged by Anaconda, Inc. | (main, Oct 21 2025, 19:11:29) [Clang 20.1.8 ]",2.3.5
random_full,models/data_bundle/generated_instances/E-UK100_01__d2_s3_seed1_24h_20251113,5,16000,4772.6828756490295,16000,16000,11726055,winner_kernel_v1,ppo_full,0,1,27915471470a1e226817b58a6741e7bdd50962ab0d66aa2399567cc728c75590,{},"{""random_customer_removal"":2596,""route_segment_removal"":2641,""shaw_related_removal"":2711,""vehicle_type_swap"":2603,""whole_route_removal"":2727,""worst_customer_removal"":2722}","{""greedy_insert_repair"":5318,""regret2_insert_repair"":5391,""regret3_insert_repair"":5291}","{""0.100000"":1562,""0.133333"":1646,""0.166667"":1577,""0.200000"":1537,""0.233333"":1585,""0.266667"":1655,""0.300000"":1614,""0.333333"":1614,""0.366667"":1570,""0.400000"":1640}",/opt/anaconda3/bin/python3.13,"3.13.9 | packaged by Anaconda, Inc. | (main, Oct 21 2025, 19:11:29) [Clang 20.1.8 ]",2.3.5
alpha_ucb_block,models/data_bundle/generated_instances/E-UK100_01__d2_s3_seed1_24h_20251113,6,16000,4837.032376940526,16000,16000,821779,winner_kernel_v1,block_ppo,0,1,759131d6f2f5e685b3622cd521b9d0172302d376c2ef7e351f0eb6ccf71ef24d,{},"{""route_segment_removal"":2,""shaw_related_removal"":7,""vehicle_type_swap"":3,""whole_route_removal"":112,""worst_customer_removal"":1}","{""greedy_insert_repair"":32,""regret2_insert_repair"":86,""regret3_insert_repair"":7}","{""0.160000"":125}",/opt/anaconda3/bin/python3.13,"3.13.9 | packaged by Anaconda, Inc. | (main, Oct 21 2025, 19:11:29) [Clang 20.1.8 ]",2.3.5
alpha_ucb_env,models/data_bundle/generated_instances/E-UK100_01__d2_s3_seed1_24h_20251113,6,16000,4857.299029647395,16000,16000,509917,winner_kernel_v1,kernel_default,0,1,0ccecd905ecab611e75a9c7ba5f7280a3e954de4a985d1aacbe592a0c2e3e13a,{},"{""random_customer_removal"":9,""route_segment_removal"":12713,""shaw_related_removal"":1642,""vehicle_type_swap"":780,""whole_route_removal"":796,""worst_customer_removal"":60}","{""greedy_insert_repair"":14717,""regret2_insert_repair"":1265,""regret3_insert_repair"":18}",{},/opt/anaconda3/bin/python3.13,"3.13.9 | packaged by Anaconda, Inc. | (main, Oct 21 2025, 19:11:29) [Clang 20.1.8 ]",2.3.5
official_winner_kernel,models/data_bundle/generated_instances/E-UK100_01__d2_s3_seed1_24h_20251113,6,16000,4857.299029647395,16000,16000,0,winner_kernel_v1,official_kernel,0,1,e84718c2fc8491f56cf2dbcf3be018aa8b7423e516e888cf4fd5623cb00aae45,{},{},{},{},/opt/anaconda3/bin/python3.13,"3.13.9 | packaged by Anaconda, Inc. | (main, Oct 21 2025, 19:11:29) [Clang 20.1.8 ]",2.3.5
random_block,models/data_bundle/generated_instances/E-UK100_01__d2_s3_seed1_24h_20251113,6,16000,4803.705008276483,16000,16000,10217270,winner_kernel_v1,block_ppo,0,1,bcdd396ccf9ee75833c37dc615905aeaee66ec157b78a5b38ddaad37908ac378,{},"{""random_customer_removal"":24,""route_segment_removal"":12,""shaw_related_removal"":12,""vehicle_type_swap"":36,""whole_route_removal"":23,""worst_customer_removal"":18}","{""greedy_insert_repair"":52,""regret2_insert_repair"":38,""regret3_insert_repair"":35}","{""0.100000"":23,""0.160000"":23,""0.230000"":27,""0.300000"":26,""0.400000"":26}",/opt/anaconda3/bin/python3.13,"3.13.9 | packaged by Anaconda, Inc. | (main, Oct 21 2025, 19:11:29) [Clang 20.1.8 ]",2.3.5
random_full,models/data_bundle/generated_instances/E-UK100_01__d2_s3_seed1_24h_20251113,6,16000,4807.66103780739,16000,16000,11156339,winner_kernel_v1,ppo_full,0,1,f97723ca4a1453e987d6dcf99dd765f63e20f2047fbcd5a47cd1dfeb9155b091,{},"{""random_customer_removal"":2621,""route_segment_removal"":2668,""shaw_related_removal"":2690,""vehicle_type_swap"":2682,""whole_route_removal"":2678,""worst_customer_removal"":2661}","{""greedy_insert_repair"":5390,""regret2_insert_repair"":5323,""regret3_insert_repair"":5287}","{""0.100000"":1620,""0.133333"":1582,""0.166667"":1664,""0.200000"":1556,""0.233333"":1537,""0.266667"":1597,""0.300000"":1627,""0.333333"":1585,""0.366667"":1627,""0.400000"":1605}",/opt/anaconda3/bin/python3.13,"3.13.9 | packaged by Anaconda, Inc. | (main, Oct 21 2025, 19:11:29) [Clang 20.1.8 ]",2.3.5
alpha_ucb_block,models/data_bundle/generated_instances/E-UK100_01__d2_s3_seed1_24h_20251113,7,16000,4901.80200946531,16000,16000,699333,winner_kernel_v1,block_ppo,0,1,cc387ae44202623c4f8e0ab051b7721378ddb609b77520fcbbe8ad3fb3aa63d0,{},"{""route_segment_removal"":77,""shaw_related_removal"":7,""vehicle_type_swap"":9,""whole_route_removal"":31,""worst_customer_removal"":1}","{""greedy_insert_repair"":86,""regret3_insert_repair"":39}","{""0.160000"":125}",/opt/anaconda3/bin/python3.13,"3.13.9 | packaged by Anaconda, Inc. | (main, Oct 21 2025, 19:11:29) [Clang 20.1.8 ]",2.3.5
alpha_ucb_env,models/data_bundle/generated_instances/E-UK100_01__d2_s3_seed1_24h_20251113,7,16000,4839.940665975059,16000,16000,337169,winner_kernel_v1,kernel_default,0,1,6ff9f73e96d5b8553ce51a119d38ea288d3338cb82bff0b8f3809da2184fd892,{},"{""random_customer_removal"":6,""route_segment_removal"":12571,""shaw_related_removal"":582,""vehicle_type_swap"":838,""whole_route_removal"":1727,""worst_customer_removal"":276}","{""greedy_insert_repair"":15734,""regret2_insert_repair"":204,""regret3_insert_repair"":62}",{},/opt/anaconda3/bin/python3.13,"3.13.9 | packaged by Anaconda, Inc. | (main, Oct 21 2025, 19:11:29) [Clang 20.1.8 ]",2.3.5
official_winner_kernel,models/data_bundle/generated_instances/E-UK100_01__d2_s3_seed1_24h_20251113,7,16000,4839.940665975059,16000,16000,0,winner_kernel_v1,official_kernel,0,1,065661f6022ee7fe2ff5bc4a323d14894d7b9e9cc7f64820f4794fca9a560a8b,{},{},{},{},/opt/anaconda3/bin/python3.13,"3.13.9 | packaged by Anaconda, Inc. | (main, Oct 21 2025, 19:11:29) [Clang 20.1.8 ]",2.3.5
