arm,authorized_lineage,condition,network,stream,task_id
full,parent,geographic,N114,1,N114__geographic__stream1__full
no_cooperation,parent,geographic,N114,1,N114__geographic__stream1__no_cooperation
no_participation,parent,geographic,N114,1,N114__geographic__stream1__no_participation
simple_insertion,parent,geographic,N114,1,N114__geographic__stream1__simple_insertion
full,parent,geographic,N114,2,N114__geographic__stream2__full
no_cooperation,parent,geographic,N114,2,N114__geographic__stream2__no_cooperation
no_participation,parent,geographic,N114,2,N114__geographic__stream2__no_participation
simple_insertion,parent,geographic,N114,2,N114__geographic__stream2__simple_insertion
full,parent,geographic,N114,3,N114__geographic__stream3__full
no_cooperation,parent,geographic,N114,3,N114__geographic__stream3__no_cooperation
no_participation,parent,geographic,N114,3,N114__geographic__stream3__no_participation
simple_insertion,parent,geographic,N114,3,N114__geographic__stream3__simple_insertion
full,parent,geographic,N114,4,N114__geographic__stream4__full
no_cooperation,parent,geographic,N114,4,N114__geographic__stream4__no_cooperation
no_participation,parent,geographic,N114,4,N114__geographic__stream4__no_participation
simple_insertion,parent,geographic,N114,4,N114__geographic__stream4__simple_insertion
full,parent,geographic,N114,5,N114__geographic__stream5__full
no_cooperation,parent,geographic,N114,5,N114__geographic__stream5__no_cooperation
no_participation,parent,geographic,N114,5,N114__geographic__stream5__no_participation
simple_insertion,parent,geographic,N114,5,N114__geographic__stream5__simple_insertion
full,parent,historical_mixed,N114,1,N114__historical_mixed__stream1__full
no_cooperation,parent,historical_mixed,N114,1,N114__historical_mixed__stream1__no_cooperation
no_participation,parent,historical_mixed,N114,1,N114__historical_mixed__stream1__no_participation
simple_insertion,parent,historical_mixed,N114,1,N114__historical_mixed__stream1__simple_insertion
full,parent,historical_mixed,N114,2,N114__historical_mixed__stream2__full
no_cooperation,parent,historical_mixed,N114,2,N114__historical_mixed__stream2__no_cooperation
no_participation,parent,historical_mixed,N114,2,N114__historical_mixed__stream2__no_participation
simple_insertion,parent,historical_mixed,N114,2,N114__historical_mixed__stream2__simple_insertion
full,parent,historical_mixed,N114,3,N114__historical_mixed__stream3__full
no_cooperation,parent,historical_mixed,N114,3,N114__historical_mixed__stream3__no_cooperation
no_participation,parent,historical_mixed,N114,3,N114__historical_mixed__stream3__no_participation
simple_insertion,parent,historical_mixed,N114,3,N114__historical_mixed__stream3__simple_insertion
full,parent,historical_mixed,N114,4,N114__historical_mixed__stream4__full
no_cooperation,parent,historical_mixed,N114,4,N114__historical_mixed__stream4__no_cooperation
no_participation,parent,historical_mixed,N114,4,N114__historical_mixed__stream4__no_participation
simple_insertion,parent,historical_mixed,N114,4,N114__historical_mixed__stream4__simple_insertion
full,parent,historical_mixed,N114,5,N114__historical_mixed__stream5__full
no_cooperation,parent,historical_mixed,N114,5,N114__historical_mixed__stream5__no_cooperation
no_participation,parent,historical_mixed,N114,5,N114__historical_mixed__stream5__no_participation
simple_insertion,parent,historical_mixed,N114,5,N114__historical_mixed__stream5__simple_insertion
full,parent,geographic,N221,1,N221__geographic__stream1__full
no_cooperation,parent,geographic,N221,1,N221__geographic__stream1__no_cooperation
