run_id,phase,algorithm,display_algorithm,category,instance,seed,best_cost,common_lift,native_lift,flip_lift,native_best_updates,route_count_unique
B_G3_BASELINE_HEALTH__formal_goeke80__threeshift__e2-threeshift-150c-01__ACO__seed1,B_G3_BASELINE_HEALTH,ACO,ACO,threeshift,e2-threeshift-150c-01,1,4424.757073152895,0.0,1378.7962770459035,0,33,7
B_G3_BASELINE_HEALTH__formal_goeke80__threeshift__e2-threeshift-150c-01__ACO__seed2,B_G3_BASELINE_HEALTH,ACO,ACO,threeshift,e2-threeshift-150c-01,2,4418.480064866537,0.0,1385.0732853322615,0,29,7
B_G3_BASELINE_HEALTH__formal_goeke80__threeshift__e2-threeshift-150c-01__ACO__seed3,B_G3_BASELINE_HEALTH,ACO,ACO,threeshift,e2-threeshift-150c-01,3,4484.532311254756,0.0,1319.0210389440426,0,24,5
B_G3_BASELINE_HEALTH__formal_goeke80__threeshift__e2-threeshift-150c-01__GA-VNS__seed1,B_G3_BASELINE_HEALTH,GA-VNS,GA-VNS,threeshift,e2-threeshift-150c-01,1,4340.170177717131,0.0,1463.3831724816673,571.1652218778772,17,8
B_G3_BASELINE_HEALTH__formal_goeke80__threeshift__e2-threeshift-150c-01__GA-VNS__seed2,B_G3_BASELINE_HEALTH,GA-VNS,GA-VNS,threeshift,e2-threeshift-150c-01,2,4207.018745252732,0.0,1596.5346049460668,364.73796582238083,15,7
B_G3_BASELINE_HEALTH__formal_goeke80__threeshift__e2-threeshift-150c-01__GA-VNS__seed3,B_G3_BASELINE_HEALTH,GA-VNS,GA-VNS,threeshift,e2-threeshift-150c-01,3,4366.53662696742,0.0,1437.0167232313788,441.0992155064914,17,9
B_G3_BASELINE_HEALTH__formal_goeke80__threeshift__e2-threeshift-150c-01__GWO__seed1,B_G3_BASELINE_HEALTH,GWO,GWO,threeshift,e2-threeshift-150c-01,1,4383.244981482858,0.0,1420.3083687159406,0,17,6
B_G3_BASELINE_HEALTH__formal_goeke80__threeshift__e2-threeshift-150c-01__GWO__seed2,B_G3_BASELINE_HEALTH,GWO,GWO,threeshift,e2-threeshift-150c-01,2,4223.137331614264,0.0,1580.416018584534,0,27,9
B_G3_BASELINE_HEALTH__formal_goeke80__threeshift__e2-threeshift-150c-01__GWO__seed3,B_G3_BASELINE_HEALTH,GWO,GWO,threeshift,e2-threeshift-150c-01,3,4441.212896341748,0.0,1362.3404538570503,0,26,9
B_G3_BASELINE_HEALTH__formal_goeke80__threeshift__e2-threeshift-150c-01__IWD__seed1,B_G3_BASELINE_HEALTH,IWD,IWD,threeshift,e2-threeshift-150c-01,1,4977.795494583243,0.0,825.757855615555,0,10,5
B_G3_BASELINE_HEALTH__formal_goeke80__threeshift__e2-threeshift-150c-01__IWD__seed2,B_G3_BASELINE_HEALTH,IWD,IWD,threeshift,e2-threeshift-150c-01,2,4960.062582098234,0.0,843.4907681005643,0,20,5
B_G3_BASELINE_HEALTH__formal_goeke80__threeshift__e2-threeshift-150c-01__IWD__seed3,B_G3_BASELINE_HEALTH,IWD,IWD,threeshift,e2-threeshift-150c-01,3,4881.959554351275,0.0,921.5937958475233,0,15,5
