run_id,phase,algorithm,display_algorithm,category,instance,seed,step,eval,operator,channel,best_cost,route_count,time_seconds
B_G3_BASELINE_HEALTH__formal_goeke80__threeshift__e2-threeshift-150c-01__ACO__seed1,B_G3_BASELINE_HEALTH,ACO,ACO,threeshift,e2-threeshift-150c-01,1,0,0,shared_warm_start,shared_warm_start,5803.553350198798,22,0.0
B_G3_BASELINE_HEALTH__formal_goeke80__threeshift__e2-threeshift-150c-01__ACO__seed1,B_G3_BASELINE_HEALTH,ACO,ACO,threeshift,e2-threeshift-150c-01,1,1,0,reference_flip_closure,reference_flip_closure,5803.553350198798,22,0.04393154100398533
B_G3_BASELINE_HEALTH__formal_goeke80__threeshift__e2-threeshift-150c-01__ACO__seed1,B_G3_BASELINE_HEALTH,ACO,ACO,threeshift,e2-threeshift-150c-01,1,2,1,aco_vnd_relocate,native_aco_vnd_relocate,5707.4007988954,26,0.11214508301054593
B_G3_BASELINE_HEALTH__formal_goeke80__threeshift__e2-threeshift-150c-01__ACO__seed1,B_G3_BASELINE_HEALTH,ACO,ACO,threeshift,e2-threeshift-150c-01,1,3,13,aco_vnd_relocate,native_aco_vnd_relocate,5578.618006845665,25,0.28941179100365844
B_G3_BASELINE_HEALTH__formal_goeke80__threeshift__e2-threeshift-150c-01__ACO__seed1,B_G3_BASELINE_HEALTH,ACO,ACO,threeshift,e2-threeshift-150c-01,1,4,58,aco_vnd_relocate,native_aco_vnd_relocate,5539.725265631833,24,0.9221286660031183
B_G3_BASELINE_HEALTH__formal_goeke80__threeshift__e2-threeshift-150c-01__ACO__seed1,B_G3_BASELINE_HEALTH,ACO,ACO,threeshift,e2-threeshift-150c-01,1,5,63,aco_ant_vnd,native_aco_ant_vnd,5505.605234997981,26,0.9730982500041137
B_G3_BASELINE_HEALTH__formal_goeke80__threeshift__e2-threeshift-150c-01__ACO__seed1,B_G3_BASELINE_HEALTH,ACO,ACO,threeshift,e2-threeshift-150c-01,1,6,89,aco_vnd_swap,native_aco_vnd_swap,5457.535780571429,24,1.3692528329993365
B_G3_BASELINE_HEALTH__formal_goeke80__threeshift__e2-threeshift-150c-01__ACO__seed1,B_G3_BASELINE_HEALTH,ACO,ACO,threeshift,e2-threeshift-150c-01,1,7,90,aco_ant_vnd,native_aco_ant_vnd,5344.226818704881,23,1.3774597910087323
B_G3_BASELINE_HEALTH__formal_goeke80__threeshift__e2-threeshift-150c-01__ACO__seed1,B_G3_BASELINE_HEALTH,ACO,ACO,threeshift,e2-threeshift-150c-01,1,8,173,aco_vnd_swap,native_aco_vnd_swap,5311.355887138611,23,2.5178042909974465
B_G3_BASELINE_HEALTH__formal_goeke80__threeshift__e2-threeshift-150c-01__ACO__seed1,B_G3_BASELINE_HEALTH,ACO,ACO,threeshift,e2-threeshift-150c-01,1,9,181,aco_vnd_relocate,native_aco_vnd_relocate,5310.46038251422,24,2.639481625010376
B_G3_BASELINE_HEALTH__formal_goeke80__threeshift__e2-threeshift-150c-01__ACO__seed1,B_G3_BASELINE_HEALTH,ACO,ACO,threeshift,e2-threeshift-150c-01,1,10,307,aco_vnd_relocate,native_aco_vnd_relocate,5289.080781979482,24,4.2645510000002105
B_G3_BASELINE_HEALTH__formal_goeke80__threeshift__e2-threeshift-150c-01__ACO__seed1,B_G3_BASELINE_HEALTH,ACO,ACO,threeshift,e2-threeshift-150c-01,1,11,309,aco_ant_vnd,native_aco_ant_vnd,5267.582894804343,25,4.2794525000063
B_G3_BASELINE_HEALTH__formal_goeke80__threeshift__e2-threeshift-150c-01__ACO__seed1,B_G3_BASELINE_HEALTH,ACO,ACO,threeshift,e2-threeshift-150c-01,1,12,322,aco_vnd_relocate,native_aco_vnd_relocate,5240.997003431125,27,4.468845082999906
B_G3_BASELINE_HEALTH__formal_goeke80__threeshift__e2-threeshift-150c-01__ACO__seed1,B_G3_BASELINE_HEALTH,ACO,ACO,threeshift,e2-threeshift-150c-01,1,13,354,aco_ant_vnd,native_aco_ant_vnd,5228.573182278336,22,4.8495707499969285
B_G3_BASELINE_HEALTH__formal_goeke80__threeshift__e2-threeshift-150c-01__ACO__seed1,B_G3_BASELINE_HEALTH,ACO,ACO,threeshift,e2-threeshift-150c-01,1,14,361,aco_vnd_relocate,native_aco_vnd_relocate,5152.296684494487,23,4.965984000009485
B_G3_BASELINE_HEALTH__formal_goeke80__threeshift__e2-threeshift-150c-01__ACO__seed1,B_G3_BASELINE_HEALTH,ACO,ACO,threeshift,e2-threeshift-150c-01,1,15,574,aco_vnd_relocate,native_aco_vnd_relocate,5146.379676267615,22,7.38882479100721
B_G3_BASELINE_HEALTH__formal_goeke80__threeshift__e2-threeshift-150c-01__ACO__seed1,B_G3_BASELINE_HEALTH,ACO,ACO,threeshift,e2-threeshift-150c-01,1,16,657,aco_ant_vnd,native_aco_ant_vnd,5063.105473743644,24,8.250961041005212
B_G3_BASELINE_HEALTH__formal_goeke80__threeshift__e2-threeshift-150c-01__ACO__seed1,B_G3_BASELINE_HEALTH,ACO,ACO,threeshift,e2-threeshift-150c-01,1,17,684,aco_ant_vnd,native_aco_ant_vnd,5038.350655362631,23,8.516530041000806
B_G3_BASELINE_HEALTH__formal_goeke80__threeshift__e2-threeshift-150c-01__ACO__seed1,B_G3_BASELINE_HEALTH,ACO,ACO,threeshift,e2-threeshift-150c-01,1,18,723,aco_ant_vnd,native_aco_ant_vnd,5000.600056196558,22,8.928657791009755
B_G3_BASELINE_HEALTH__formal_goeke80__threeshift__e2-threeshift-150c-01__ACO__seed1,B_G3_BASELINE_HEALTH,ACO,ACO,threeshift,e2-threeshift-150c-01,1,19,908,aco_vnd_swap,native_aco_vnd_swap,4902.632690289308,22,10.769648000001325
B_G3_BASELINE_HEALTH__formal_goeke80__threeshift__e2-threeshift-150c-01__ACO__seed1,B_G3_BASELINE_HEALTH,ACO,ACO,threeshift,e2-threeshift-150c-01,1,20,1000,aco_vnd_relocate,native_aco_vnd_relocate,4886.156276269628,21,11.653459375011153
B_G3_BASELINE_HEALTH__formal_goeke80__threeshift__e2-threeshift-150c-01__ACO__seed1,B_G3_BASELINE_HEALTH,ACO,ACO,threeshift,e2-threeshift-150c-01,1,21,1001,aco_vnd_swap,native_aco_vnd_swap,4867.1539912248845,21,11.668592625006568
B_G3_BASELINE_HEALTH__formal_goeke80__threeshift__e2-threeshift-150c-01__ACO__seed1,B_G3_BASELINE_HEALTH,ACO,ACO,threeshift,e2-threeshift-150c-01,1,22,1060,aco_vnd_relocate,native_aco_vnd_relocate,4774.679918680254,22,12.257479833002435
B_G3_BASELINE_HEALTH__formal_goeke80__threeshift__e2-threeshift-150c-01__ACO__seed1,B_G3_BASELINE_HEALTH,ACO,ACO,threeshift,e2-threeshift-150c-01,1,23,1992,aco_ant_vnd,native_aco_ant_vnd,4713.082479184829,22,21.03735237500223
B_G3_BASELINE_HEALTH__formal_goeke80__threeshift__e2-threeshift-150c-01__ACO__seed1,B_G3_BASELINE_HEALTH,ACO,ACO,threeshift,e2-threeshift-150c-01,1,24,2289,aco_ant_vnd,native_aco_ant_vnd,4696.749739671819,22,23.835299458005466
