instance,size,seed,algorithm,battery_kwh,runtime_cap_seconds,eval_budget,checkpoint_path,seed_dir
e2-threeshift-100c-02,100,1,alns_e2_carbon,280.0,900.0,16000,baselines/e2_alns/threeshift_280_stageB_anchor_warmstart_probe_data/checkpoints/wc280_ev_seeded/e2-threeshift-100c-02__alns_e2_carbon__seed1.json,baselines/e2_alns/threeshift_280_stageB_anchor_warmstart_probe_stageA_data
e2-threeshift-100c-02,100,1,alns_e2_carbon_ablation,280.0,900.0,16000,baselines/e2_alns/threeshift_280_stageB_anchor_warmstart_probe_data/checkpoints/wc280_ev_seeded/e2-threeshift-100c-02__alns_e2_carbon_ablation__seed1.json,baselines/e2_alns/threeshift_280_stageB_anchor_warmstart_probe_stageA_data
e2-threeshift-100c-02,100,1,LNS,280.0,900.0,16000,baselines/e2_alns/threeshift_280_stageB_anchor_warmstart_probe_data/checkpoints/wc280_ev_seeded/e2-threeshift-100c-02__LNS__seed1.json,baselines/e2_alns/threeshift_280_stageB_anchor_warmstart_probe_stageA_data
e2-threeshift-100c-02,100,1,GA,280.0,900.0,16000,baselines/e2_alns/threeshift_280_stageB_anchor_warmstart_probe_data/checkpoints/wc280_ev_seeded/e2-threeshift-100c-02__GA__seed1.json,baselines/e2_alns/threeshift_280_stageB_anchor_warmstart_probe_stageA_data
e2-threeshift-100c-02,100,1,PSO,280.0,900.0,16000,baselines/e2_alns/threeshift_280_stageB_anchor_warmstart_probe_data/checkpoints/wc280_ev_seeded/e2-threeshift-100c-02__PSO__seed1.json,baselines/e2_alns/threeshift_280_stageB_anchor_warmstart_probe_stageA_data
e2-threeshift-100c-02,100,1,VNS,280.0,900.0,16000,baselines/e2_alns/threeshift_280_stageB_anchor_warmstart_probe_data/checkpoints/wc280_ev_seeded/e2-threeshift-100c-02__VNS__seed1.json,baselines/e2_alns/threeshift_280_stageB_anchor_warmstart_probe_stageA_data
e2-threeshift-100c-02,100,2,alns_e2_carbon,280.0,900.0,16000,baselines/e2_alns/threeshift_280_stageB_anchor_warmstart_probe_data/checkpoints/wc280_ev_seeded/e2-threeshift-100c-02__alns_e2_carbon__seed2.json,baselines/e2_alns/threeshift_280_stageB_anchor_warmstart_probe_stageA_data
e2-threeshift-100c-02,100,2,alns_e2_carbon_ablation,280.0,900.0,16000,baselines/e2_alns/threeshift_280_stageB_anchor_warmstart_probe_data/checkpoints/wc280_ev_seeded/e2-threeshift-100c-02__alns_e2_carbon_ablation__seed2.json,baselines/e2_alns/threeshift_280_stageB_anchor_warmstart_probe_stageA_data
e2-threeshift-100c-02,100,2,LNS,280.0,900.0,16000,baselines/e2_alns/threeshift_280_stageB_anchor_warmstart_probe_data/checkpoints/wc280_ev_seeded/e2-threeshift-100c-02__LNS__seed2.json,baselines/e2_alns/threeshift_280_stageB_anchor_warmstart_probe_stageA_data
e2-threeshift-100c-02,100,2,GA,280.0,900.0,16000,baselines/e2_alns/threeshift_280_stageB_anchor_warmstart_probe_data/checkpoints/wc280_ev_seeded/e2-threeshift-100c-02__GA__seed2.json,baselines/e2_alns/threeshift_280_stageB_anchor_warmstart_probe_stageA_data
e2-threeshift-100c-02,100,2,PSO,280.0,900.0,16000,baselines/e2_alns/threeshift_280_stageB_anchor_warmstart_probe_data/checkpoints/wc280_ev_seeded/e2-threeshift-100c-02__PSO__seed2.json,baselines/e2_alns/threeshift_280_stageB_anchor_warmstart_probe_stageA_data
e2-threeshift-100c-02,100,2,VNS,280.0,900.0,16000,baselines/e2_alns/threeshift_280_stageB_anchor_warmstart_probe_data/checkpoints/wc280_ev_seeded/e2-threeshift-100c-02__VNS__seed2.json,baselines/e2_alns/threeshift_280_stageB_anchor_warmstart_probe_stageA_data
e2-threeshift-150c-01,150,1,alns_e2_carbon,280.0,1800.0,16000,baselines/e2_alns/threeshift_280_stageB_anchor_warmstart_probe_data/checkpoints/wc280_ev_seeded/e2-threeshift-150c-01__alns_e2_carbon__seed1.json,baselines/e2_alns/threeshift_280_stageB_anchor_warmstart_probe_stageA_data
e2-threeshift-150c-01,150,1,alns_e2_carbon_ablation,280.0,1800.0,16000,baselines/e2_alns/threeshift_280_stageB_anchor_warmstart_probe_data/checkpoints/wc280_ev_seeded/e2-threeshift-150c-01__alns_e2_carbon_ablation__seed1.json,baselines/e2_alns/threeshift_280_stageB_anchor_warmstart_probe_stageA_data
e2-threeshift-150c-01,150,1,LNS,280.0,1800.0,16000,baselines/e2_alns/threeshift_280_stageB_anchor_warmstart_probe_data/checkpoints/wc280_ev_seeded/e2-threeshift-150c-01__LNS__seed1.json,baselines/e2_alns/threeshift_280_stageB_anchor_warmstart_probe_stageA_data
e2-threeshift-150c-01,150,1,GA,280.0,1800.0,16000,baselines/e2_alns/threeshift_280_stageB_anchor_warmstart_probe_data/checkpoints/wc280_ev_seeded/e2-threeshift-150c-01__GA__seed1.json,baselines/e2_alns/threeshift_280_stageB_anchor_warmstart_probe_stageA_data
e2-threeshift-150c-01,150,1,PSO,280.0,1800.0,16000,baselines/e2_alns/threeshift_280_stageB_anchor_warmstart_probe_data/checkpoints/wc280_ev_seeded/e2-threeshift-150c-01__PSO__seed1.json,baselines/e2_alns/threeshift_280_stageB_anchor_warmstart_probe_stageA_data
e2-threeshift-150c-01,150,1,VNS,280.0,1800.0,16000,baselines/e2_alns/threeshift_280_stageB_anchor_warmstart_probe_data/checkpoints/wc280_ev_seeded/e2-threeshift-150c-01__VNS__seed1.json,baselines/e2_alns/threeshift_280_stageB_anchor_warmstart_probe_stageA_data
e2-threeshift-150c-01,150,2,alns_e2_carbon,280.0,1800.0,16000,baselines/e2_alns/threeshift_280_stageB_anchor_warmstart_probe_data/checkpoints/wc280_ev_seeded/e2-threeshift-150c-01__alns_e2_carbon__seed2.json,baselines/e2_alns/threeshift_280_stageB_anchor_warmstart_probe_stageA_data
e2-threeshift-150c-01,150,2,alns_e2_carbon_ablation,280.0,1800.0,16000,baselines/e2_alns/threeshift_280_stageB_anchor_warmstart_probe_data/checkpoints/wc280_ev_seeded/e2-threeshift-150c-01__alns_e2_carbon_ablation__seed2.json,baselines/e2_alns/threeshift_280_stageB_anchor_warmstart_probe_stageA_data
e2-threeshift-150c-01,150,2,LNS,280.0,1800.0,16000,baselines/e2_alns/threeshift_280_stageB_anchor_warmstart_probe_data/checkpoints/wc280_ev_seeded/e2-threeshift-150c-01__LNS__seed2.json,baselines/e2_alns/threeshift_280_stageB_anchor_warmstart_probe_stageA_data
e2-threeshift-150c-01,150,2,GA,280.0,1800.0,16000,baselines/e2_alns/threeshift_280_stageB_anchor_warmstart_probe_data/checkpoints/wc280_ev_seeded/e2-threeshift-150c-01__GA__seed2.json,baselines/e2_alns/threeshift_280_stageB_anchor_warmstart_probe_stageA_data
e2-threeshift-150c-01,150,2,PSO,280.0,1800.0,16000,baselines/e2_alns/threeshift_280_stageB_anchor_warmstart_probe_data/checkpoints/wc280_ev_seeded/e2-threeshift-150c-01__PSO__seed2.json,baselines/e2_alns/threeshift_280_stageB_anchor_warmstart_probe_stageA_data
e2-threeshift-150c-01,150,2,VNS,280.0,1800.0,16000,baselines/e2_alns/threeshift_280_stageB_anchor_warmstart_probe_data/checkpoints/wc280_ev_seeded/e2-threeshift-150c-01__VNS__seed2.json,baselines/e2_alns/threeshift_280_stageB_anchor_warmstart_probe_stageA_data
e2-threeshift-200c-01,200,1,alns_e2_carbon,280.0,2700.0,16000,baselines/e2_alns/threeshift_280_stageB_anchor_warmstart_probe_data/checkpoints/wc280_ev_seeded/e2-threeshift-200c-01__alns_e2_carbon__seed1.json,baselines/e2_alns/threeshift_280_stageB_anchor_warmstart_probe_stageA_data
e2-threeshift-200c-01,200,1,alns_e2_carbon_ablation,280.0,2700.0,16000,baselines/e2_alns/threeshift_280_stageB_anchor_warmstart_probe_data/checkpoints/wc280_ev_seeded/e2-threeshift-200c-01__alns_e2_carbon_ablation__seed1.json,baselines/e2_alns/threeshift_280_stageB_anchor_warmstart_probe_stageA_data
e2-threeshift-200c-01,200,1,LNS,280.0,2700.0,16000,baselines/e2_alns/threeshift_280_stageB_anchor_warmstart_probe_data/checkpoints/wc280_ev_seeded/e2-threeshift-200c-01__LNS__seed1.json,baselines/e2_alns/threeshift_280_stageB_anchor_warmstart_probe_stageA_data
e2-threeshift-200c-01,200,1,GA,280.0,2700.0,16000,baselines/e2_alns/threeshift_280_stageB_anchor_warmstart_probe_data/checkpoints/wc280_ev_seeded/e2-threeshift-200c-01__GA__seed1.json,baselines/e2_alns/threeshift_280_stageB_anchor_warmstart_probe_stageA_data
e2-threeshift-200c-01,200,1,PSO,280.0,2700.0,16000,baselines/e2_alns/threeshift_280_stageB_anchor_warmstart_probe_data/checkpoints/wc280_ev_seeded/e2-threeshift-200c-01__PSO__seed1.json,baselines/e2_alns/threeshift_280_stageB_anchor_warmstart_probe_stageA_data
e2-threeshift-200c-01,200,1,VNS,280.0,2700.0,16000,baselines/e2_alns/threeshift_280_stageB_anchor_warmstart_probe_data/checkpoints/wc280_ev_seeded/e2-threeshift-200c-01__VNS__seed1.json,baselines/e2_alns/threeshift_280_stageB_anchor_warmstart_probe_stageA_data
e2-threeshift-200c-01,200,2,alns_e2_carbon,280.0,2700.0,16000,baselines/e2_alns/threeshift_280_stageB_anchor_warmstart_probe_data/checkpoints/wc280_ev_seeded/e2-threeshift-200c-01__alns_e2_carbon__seed2.json,baselines/e2_alns/threeshift_280_stageB_anchor_warmstart_probe_stageA_data
e2-threeshift-200c-01,200,2,alns_e2_carbon_ablation,280.0,2700.0,16000,baselines/e2_alns/threeshift_280_stageB_anchor_warmstart_probe_data/checkpoints/wc280_ev_seeded/e2-threeshift-200c-01__alns_e2_carbon_ablation__seed2.json,baselines/e2_alns/threeshift_280_stageB_anchor_warmstart_probe_stageA_data
e2-threeshift-200c-01,200,2,LNS,280.0,2700.0,16000,baselines/e2_alns/threeshift_280_stageB_anchor_warmstart_probe_data/checkpoints/wc280_ev_seeded/e2-threeshift-200c-01__LNS__seed2.json,baselines/e2_alns/threeshift_280_stageB_anchor_warmstart_probe_stageA_data
e2-threeshift-200c-01,200,2,GA,280.0,2700.0,16000,baselines/e2_alns/threeshift_280_stageB_anchor_warmstart_probe_data/checkpoints/wc280_ev_seeded/e2-threeshift-200c-01__GA__seed2.json,baselines/e2_alns/threeshift_280_stageB_anchor_warmstart_probe_stageA_data
e2-threeshift-200c-01,200,2,PSO,280.0,2700.0,16000,baselines/e2_alns/threeshift_280_stageB_anchor_warmstart_probe_data/checkpoints/wc280_ev_seeded/e2-threeshift-200c-01__PSO__seed2.json,baselines/e2_alns/threeshift_280_stageB_anchor_warmstart_probe_stageA_data
e2-threeshift-200c-01,200,2,VNS,280.0,2700.0,16000,baselines/e2_alns/threeshift_280_stageB_anchor_warmstart_probe_data/checkpoints/wc280_ev_seeded/e2-threeshift-200c-01__VNS__seed2.json,baselines/e2_alns/threeshift_280_stageB_anchor_warmstart_probe_stageA_data
