instance,seed,left_algorithm,right_algorithm,left_cost,right_cost,gap_pct_left_minus_right,left_ev_route_share,right_ev_route_share,left_charging_action_count,right_charging_action_count
e2-threeshift-100c-02,1,alns_e2_carbon,alns_e2_carbon_ablation,2782.6601845066943,2702.0808372486913,2.9821220056484483,0.6923076923076923,0.7692307692307693,9,10
e2-threeshift-100c-02,2,alns_e2_carbon,alns_e2_carbon_ablation,2552.5759938101637,2543.625884442625,0.3518642195882402,0.7857142857142857,0.7857142857142857,11,11
e2-threeshift-150c-01,1,alns_e2_carbon,alns_e2_carbon_ablation,4040.5552440763445,4040.5552440763445,0.0,0.6666666666666666,0.6666666666666666,14,14
e2-threeshift-150c-01,2,alns_e2_carbon,alns_e2_carbon_ablation,3960.3606663519395,4192.367379311033,-5.53402629034913,0.8636363636363636,0.8695652173913043,19,20
e2-threeshift-200c-01,1,alns_e2_carbon,alns_e2_carbon_ablation,5131.851089168626,5131.851089168626,0.0,0.6551724137931034,0.6551724137931034,19,19
e2-threeshift-200c-01,2,alns_e2_carbon,alns_e2_carbon_ablation,4669.546172328726,4671.7414121768015,-0.04698975509118377,0.75,0.75,21,21
