stage,category,instance,size,seed,algorithm,battery_kwh,status,gate_status,failure_reason,best_cost,actual_evals,elapsed_seconds,runtime_cap_seconds,eval_budget,checkpoint_path,checkpoint_readable,violation_count,route_count,ev_route_count,cv_route_count,ev_route_share,charging_action_count,low_carbon_charging_share,E_total,cost_carbon,seed_source,python,numpy,carbon_best_improvements,operator_counts
stageB,threeshift,e2-threeshift-100c-02,100,1,GA,280.0,OK,OK,,3345.110693759611,16000,261.96299645799445,900.0,16000,baselines/e2_alns/threeshift_280_stageB_anchor_warmstart_probe_data/checkpoints/wc280_ev_seeded/e2-threeshift-100c-02__GA__seed1.json,True,0,14,8,6,0.5714285714285714,8,0.14141117051069838,1346.2426635211684,67.76985568165563,baselines/e2_alns/threeshift_280_stageB_anchor_warmstart_probe_stageA_data/ev_maximal_solutions/e2-threeshift-100c-02__B280.json,/opt/anaconda3/bin/python3.13,2.3.5,0,{}
stageB,threeshift,e2-threeshift-100c-02,100,1,LNS,280.0,OK,OK,,3191.356243708531,16000,850.7098519580031,900.0,16000,baselines/e2_alns/threeshift_280_stageB_anchor_warmstart_probe_data/checkpoints/wc280_ev_seeded/e2-threeshift-100c-02__LNS__seed1.json,True,0,13,8,5,0.6153846153846154,8,0.06606338763108215,1253.3296916227673,63.09261667629011,baselines/e2_alns/threeshift_280_stageB_anchor_warmstart_probe_stageA_data/ev_maximal_solutions/e2-threeshift-100c-02__B280.json,/opt/anaconda3/bin/python3.13,2.3.5,0,{}
stageB,threeshift,e2-threeshift-100c-02,100,1,PSO,280.0,OK,OK,,3345.110693759611,16000,264.8012617090135,900.0,16000,baselines/e2_alns/threeshift_280_stageB_anchor_warmstart_probe_data/checkpoints/wc280_ev_seeded/e2-threeshift-100c-02__PSO__seed1.json,True,0,14,8,6,0.5714285714285714,8,0.14141117051069838,1346.2426635211684,67.76985568165563,baselines/e2_alns/threeshift_280_stageB_anchor_warmstart_probe_stageA_data/ev_maximal_solutions/e2-threeshift-100c-02__B280.json,/opt/anaconda3/bin/python3.13,2.3.5,0,{}
stageB,threeshift,e2-threeshift-100c-02,100,1,VNS,280.0,OK,OK,,3345.110693759611,16000,518.0647858330049,900.0,16000,baselines/e2_alns/threeshift_280_stageB_anchor_warmstart_probe_data/checkpoints/wc280_ev_seeded/e2-threeshift-100c-02__VNS__seed1.json,True,0,14,8,6,0.5714285714285714,8,0.14141117051069838,1346.2426635211684,67.76985568165563,baselines/e2_alns/threeshift_280_stageB_anchor_warmstart_probe_stageA_data/ev_maximal_solutions/e2-threeshift-100c-02__B280.json,/opt/anaconda3/bin/python3.13,2.3.5,0,{}
stageB,threeshift,e2-threeshift-100c-02,100,1,alns_e2_carbon,280.0,OK,OK,,2782.6601845066943,16000,60.98333033299423,900.0,16000,baselines/e2_alns/threeshift_280_stageB_anchor_warmstart_probe_data/checkpoints/wc280_ev_seeded/e2-threeshift-100c-02__alns_e2_carbon__seed1.json,True,0,13,9,4,0.6923076923076923,9,0.14141137106856266,871.2221658266502,43.85732382771357,baselines/e2_alns/threeshift_280_stageB_anchor_warmstart_probe_stageA_data/ev_maximal_solutions/e2-threeshift-100c-02__B280.json,/opt/anaconda3/bin/python3.13,2.3.5,0,"{""destroy"": {""carbon_related_removal"": [0, 0, 0, 16], ""random_customer_removal"": [0, 0, 1, 23], ""route_segment_removal"": [29, 10, 2894, 12664], ""shaw_related_removal"": [0, 0, 0, 16], ""vehicle_type_swap"": [4, 0, 0, 235], ""whole_route_removal"": [0, 0, 0, 16], ""worst_carbon_removal"": [0, 0, 0, 16], ""worst_customer_removal"": [0, 0, 0, 16]}, ""repair"": {""greedy_insert_repair"": [4, 0, 1, 258], ""low_carbon_charging_repair"": [0, 0, 0, 32], ""regret2_insert_repair"": [29, 10, 2891, 12662], ""regret3_insert_repair"": [0, 0, 3, 50]}, ""scan"": {""infeasible"": 60, ""rebuild_accepts"": 0, ""rebuild_attempts"": 59, ""restart_accepts"": 0, ""restart_attempts"": 1}, ""timing"": {""acceptance"": {""count"": 15940.0, ""seconds"": 0.06292936191312037}, ""checkpoint_model_cost"": {""count"": 34.0, ""seconds"": 0.009848006156971678}, ""destroy:carbon_related_removal"": {""count"": 16.0, ""seconds"": 0.010117498983163387}, ""destroy:random_customer_removal"": {""count"": 24.0, ""seconds"": 0.004237999033648521}, ""destroy:route_segment_removal"": {""count"": 15597.0, ""seconds"": 2.7605997278587893}, ""destroy:shaw_related_removal"": {""count"": 16.0, ""seconds"": 0.07871637598145753}, ""destroy:vehicle_type_swap"": {""count"": 239.0, ""seconds"": 0.9534180411428679}, ""destroy:whole_route_removal"": {""count"": 16.0, ""seconds"": 0.002526417054468766}, ""destroy:worst_carbon_removal"": {""count"": 16.0, ""seconds"": 0.009139499918092042}, ""destroy:worst_customer_removal"": {""count"": 16.0, ""seconds"": 0.0030777919164393097}, ""final_check"": {""count"": 1.0, ""seconds"": 0.0009347920131403953}, ""full_candidate_score"": {""count"": 15940.0, ""seconds"": 19.78520444923197}, ""history_model_cost"": {""count"": 34.0, ""seconds"": 0.009990208083763719}, ""initial_reference_score"": {""count"": 1.0, ""seconds"": 0.0011710829858202487}, ""local_search"": {""count"": 13250.0, ""seconds"": 0.017203865078045055}, ""repair:greedy_insert_repair"": {""count"": 263.0, ""seconds"": 1.2722377189493272}, ""repair:low_carbon_charging_repair"": {""count"": 32.0, ""seconds"": 4.857854752015555}, ""repair:regret2_insert_repair"": {""count"": 15592.0, ""seconds"": 46.33815412965487}, ""repair:regret3_insert_repair"": {""count"": 53.0, ""seconds"": 0.9527394189790357}, ""repair_full_check"": {""count"": 15791.0, ""seconds"": 14.861567093001213}, ""repair_solution_score"": {""count"": 1916.0, ""seconds"": 0.5670595458650496}, ""route_model_cost"": {""count"": 8979.0, ""seconds"": 0.27668940377770923}, ""scan_build"": {""count"": 60.0, ""seconds"": 0.0656981650099624}, ""scan_score"": {""count"": 60.0, ""seconds"": 0.04072795802494511}}}"
stageB,threeshift,e2-threeshift-100c-02,100,1,alns_e2_carbon_ablation,280.0,OK,OK,,2702.0808372486913,16000,58.93387300000177,900.0,16000,baselines/e2_alns/threeshift_280_stageB_anchor_warmstart_probe_data/checkpoints/wc280_ev_seeded/e2-threeshift-100c-02__alns_e2_carbon_ablation__seed1.json,True,0,13,10,3,0.7692307692307693,10,0.11665699694976689,742.0294142559717,37.35376071364562,baselines/e2_alns/threeshift_280_stageB_anchor_warmstart_probe_stageA_data/ev_maximal_solutions/e2-threeshift-100c-02__B280.json,/opt/anaconda3/bin/python3.13,2.3.5,2,"{""destroy"": {""carbon_related_removal"": [2, 0, 1, 118], ""random_customer_removal"": [0, 0, 0, 12], ""route_segment_removal"": [34, 10, 3186, 12273], ""shaw_related_removal"": [0, 0, 0, 12], ""vehicle_type_swap"": [5, 0, 0, 253], ""whole_route_removal"": [0, 0, 0, 12], ""worst_carbon_removal"": [0, 0, 0, 12], ""worst_customer_removal"": [0, 0, 0, 12]}, ""repair"": {""greedy_insert_repair"": [5, 0, 0, 265], ""low_carbon_charging_repair"": [0, 0, 0, 24], ""regret2_insert_repair"": [36, 10, 3187, 12391], ""regret3_insert_repair"": [0, 0, 0, 24]}, ""scan"": {""infeasible"": 58, ""rebuild_accepts"": 0, ""rebuild_attempts"": 57, ""restart_accepts"": 0, ""restart_attempts"": 1}, ""timing"": {""acceptance"": {""count"": 15942.0, ""seconds"": 0.06564672870445065}, ""checkpoint_model_cost"": {""count"": 42.0, ""seconds"": 0.012360043940134346}, ""destroy:carbon_related_removal"": {""count"": 121.0, ""seconds"": 0.561557961103972}, ""destroy:random_customer_removal"": {""count"": 12.0, ""seconds"": 0.002344625972909853}, ""destroy:route_segment_removal"": {""count"": 15503.0, ""seconds"": 2.7520352324354462}, ""destroy:shaw_related_removal"": {""count"": 12.0, ""seconds"": 0.056670455989660695}, ""destroy:vehicle_type_swap"": {""count"": 258.0, ""seconds"": 1.01344834183692}, ""destroy:whole_route_removal"": {""count"": 12.0, ""seconds"": 0.0019398749864194542}, ""destroy:worst_carbon_removal"": {""count"": 12.0, ""seconds"": 0.00237624894361943}, ""destroy:worst_customer_removal"": {""count"": 12.0, ""seconds"": 0.0022868750093039125}, ""final_check"": {""count"": 1.0, ""seconds"": 0.0010006249940488487}, ""full_candidate_score"": {""count"": 15942.0, ""seconds"": 20.00705514557194}, ""history_model_cost"": {""count"": 42.0, ""seconds"": 0.012658787076361477}, ""initial_reference_score"": {""count"": 1.0, ""seconds"": 0.0011334580194670707}, ""local_search"": {""count"": 13078.0, ""seconds"": 0.017877212056191638}, ""repair:greedy_insert_repair"": {""count"": 270.0, ""seconds"": 1.2236354642664082}, ""repair:low_carbon_charging_repair"": {""count"": 24.0, ""seconds"": 0.4318345840438269}, ""repair:regret2_insert_repair"": {""count"": 15624.0, ""seconds"": 48.31463314060238}, ""repair:regret3_insert_repair"": {""count"": 24.0, ""seconds"": 0.8438195399357937}, ""repair_full_check"": {""count"": 15869.0, ""seconds"": 15.16633399791317}, ""repair_solution_score"": {""count"": 2069.0, ""seconds"": 0.6054244576371275}, ""route_model_cost"": {""count"": 12222.0, ""seconds"": 0.3690740569436457}, ""scan_build"": {""count"": 58.0, ""seconds"": 0.0632304600731004}, ""scan_score"": {""count"": 58.0, ""seconds"": 0.04011095498572104}}}"
stageB,threeshift,e2-threeshift-100c-02,100,2,GA,280.0,OK,OK,,3345.110693759611,16000,262.456541832973,900.0,16000,baselines/e2_alns/threeshift_280_stageB_anchor_warmstart_probe_data/checkpoints/wc280_ev_seeded/e2-threeshift-100c-02__GA__seed2.json,True,0,14,8,6,0.5714285714285714,8,0.1414111705106984,1346.2426635211684,67.76985568165563,baselines/e2_alns/threeshift_280_stageB_anchor_warmstart_probe_stageA_data/ev_maximal_solutions/e2-threeshift-100c-02__B280.json,/opt/anaconda3/bin/python3.13,2.3.5,0,{}
stageB,threeshift,e2-threeshift-100c-02,100,2,LNS,280.0,OK,OK,,3142.024977547804,16000,847.1946144580143,900.0,16000,baselines/e2_alns/threeshift_280_stageB_anchor_warmstart_probe_data/checkpoints/wc280_ev_seeded/e2-threeshift-100c-02__LNS__seed2.json,True,0,13,8,5,0.6153846153846154,8,0.057412532875471205,1207.5535502940245,60.7882457218012,baselines/e2_alns/threeshift_280_stageB_anchor_warmstart_probe_stageA_data/ev_maximal_solutions/e2-threeshift-100c-02__B280.json,/opt/anaconda3/bin/python3.13,2.3.5,0,{}
stageB,threeshift,e2-threeshift-100c-02,100,2,PSO,280.0,OK,OK,,3345.110693759611,16000,263.8955924580223,900.0,16000,baselines/e2_alns/threeshift_280_stageB_anchor_warmstart_probe_data/checkpoints/wc280_ev_seeded/e2-threeshift-100c-02__PSO__seed2.json,True,0,14,8,6,0.5714285714285714,8,0.1414111705106984,1346.2426635211684,67.76985568165563,baselines/e2_alns/threeshift_280_stageB_anchor_warmstart_probe_stageA_data/ev_maximal_solutions/e2-threeshift-100c-02__B280.json,/opt/anaconda3/bin/python3.13,2.3.5,0,{}
stageB,threeshift,e2-threeshift-100c-02,100,2,VNS,280.0,OK,OK,,3345.110693759611,16000,505.4162251660018,900.0,16000,baselines/e2_alns/threeshift_280_stageB_anchor_warmstart_probe_data/checkpoints/wc280_ev_seeded/e2-threeshift-100c-02__VNS__seed2.json,True,0,14,8,6,0.5714285714285714,8,0.14141117051069838,1346.2426635211684,67.76985568165563,baselines/e2_alns/threeshift_280_stageB_anchor_warmstart_probe_stageA_data/ev_maximal_solutions/e2-threeshift-100c-02__B280.json,/opt/anaconda3/bin/python3.13,2.3.5,0,{}
