batch_count,event_count,event_types,path,scale,sha256,stream_seed
4,12,"{'add': 5, 'cancel': 2, 'demand_change': 5}",baselines/china_e3_e7/mechanism_foundation_20260730/inputs/e7_events/cn-prd-50c-01-V2-LOCATIONS/stream_seed1.json,50c,3687f91b6c8fe049f00f34a4d9f9efe9b01e787abecd854c74e6d888304241f4,1
4,12,"{'add': 5, 'cancel': 2, 'demand_change': 5}",baselines/china_e3_e7/mechanism_foundation_20260730/inputs/e7_events/cn-prd-50c-01-V2-LOCATIONS/stream_seed2.json,50c,eb77f2296ddf7cf0e73b5f5bb8b682f76ba59247bf8ed7074154d1d66221cad6,2
4,12,"{'add': 5, 'cancel': 2, 'demand_change': 5}",baselines/china_e3_e7/mechanism_foundation_20260730/inputs/e7_events/cn-prd-50c-01-V2-LOCATIONS/stream_seed3.json,50c,3738e22146ba73fb26504687cb2a5ca97fa64e8627968f9423e1d378f8a6a434,3
4,12,"{'add': 5, 'cancel': 2, 'demand_change': 5}",baselines/china_e3_e7/mechanism_foundation_20260730/inputs/e7_events/cn-prd-50c-01-V2-LOCATIONS/stream_seed4.json,50c,b55b49de70f9277aff78990dcaa3d7f20632fe2ed996a85e6ad1ae900bf762a3,4
3,12,"{'add': 5, 'cancel': 2, 'demand_change': 5}",baselines/china_e3_e7/mechanism_foundation_20260730/inputs/e7_events/cn-prd-50c-01-V2-LOCATIONS/stream_seed5.json,50c,9e800f4dd22ad25d62b615d58c236676a5d275a82d48fa4cb79c1f352b5fd989,5
4,25,"{'add': 10, 'cancel': 5, 'demand_change': 10}",baselines/china_e3_e7/mechanism_foundation_20260730/inputs/e7_events/cn-prd-100c-02-V2-LOCATIONS/stream_seed1.json,100c,fe3558b31f72dbddbf0d578c36af0391e96c1f756798c638b22e9d2bbf1dd5a9,1
4,25,"{'add': 10, 'cancel': 5, 'demand_change': 10}",baselines/china_e3_e7/mechanism_foundation_20260730/inputs/e7_events/cn-prd-100c-02-V2-LOCATIONS/stream_seed2.json,100c,8aeb0df41e9cbdbab84f10acf062313b4e0318a40468ccc53fe0eb93d2ce4a38,2
5,25,"{'add': 10, 'cancel': 5, 'demand_change': 10}",baselines/china_e3_e7/mechanism_foundation_20260730/inputs/e7_events/cn-prd-100c-02-V2-LOCATIONS/stream_seed3.json,100c,770aa9ea70bb8ffca80c799a5916ee62cef7b4a9dc7aa654505e80b967d3697e,3
5,25,"{'add': 10, 'cancel': 5, 'demand_change': 10}",baselines/china_e3_e7/mechanism_foundation_20260730/inputs/e7_events/cn-prd-100c-02-V2-LOCATIONS/stream_seed4.json,100c,da7993ae9deee4741f2bcb54cefed2c1569c7dc952866bc28b62b454ee3a5dce,4
5,25,"{'add': 10, 'cancel': 5, 'demand_change': 10}",baselines/china_e3_e7/mechanism_foundation_20260730/inputs/e7_events/cn-prd-100c-02-V2-LOCATIONS/stream_seed5.json,100c,783abdf11c4c9ecd554c0fde8ff1ae6399be8ec702c3ea6a4a1811be84b49323,5
5,38,"{'add': 15, 'cancel': 8, 'demand_change': 15}",baselines/china_e3_e7/mechanism_foundation_20260730/inputs/e7_events/cn-prd-150c-01-V2-LOCATIONS/stream_seed1.json,150c,dc026d9da40774f3022b4cff5328b857d195f88be7a52dcc76f21c34d151b47c,1
5,38,"{'add': 15, 'cancel': 8, 'demand_change': 15}",baselines/china_e3_e7/mechanism_foundation_20260730/inputs/e7_events/cn-prd-150c-01-V2-LOCATIONS/stream_seed2.json,150c,19366358190c4516bbfe3466687548af792659927c1d1263825aa126fe72a67e,2
5,38,"{'add': 15, 'cancel': 8, 'demand_change': 15}",baselines/china_e3_e7/mechanism_foundation_20260730/inputs/e7_events/cn-prd-150c-01-V2-LOCATIONS/stream_seed3.json,150c,fc43213ec7aaf3d50cc29d0bf284525f0f4edec1c954b2e26912017b7d89a500,3
5,38,"{'add': 15, 'cancel': 8, 'demand_change': 15}",baselines/china_e3_e7/mechanism_foundation_20260730/inputs/e7_events/cn-prd-150c-01-V2-LOCATIONS/stream_seed4.json,150c,a49066220c5ecf70ca5d520499ea7b33a078c31ef51228ca7f4c9aebde89be70,4
6,38,"{'add': 15, 'cancel': 8, 'demand_change': 15}",baselines/china_e3_e7/mechanism_foundation_20260730/inputs/e7_events/cn-prd-150c-01-V2-LOCATIONS/stream_seed5.json,150c,f3f73bc721665f1cc1535a3d89b2fba7e2ae89b35247dd437dec57c98bb8832c,5
