instance_id,depot_count,exclusion_reason
cn-cy-10c-01-V2-LOCATIONS,1,SINGLE_DEPOT_NO_CROSS_DEPOT_APPLICABILITY
cn-cy-10c-02-V2-LOCATIONS,1,SINGLE_DEPOT_NO_CROSS_DEPOT_APPLICABILITY
cn-cy-10c-03-V2-LOCATIONS,1,SINGLE_DEPOT_NO_CROSS_DEPOT_APPLICABILITY
cn-cy-15c-01-V2-LOCATIONS,1,SINGLE_DEPOT_NO_CROSS_DEPOT_APPLICABILITY
cn-cy-15c-02-V2-LOCATIONS,1,SINGLE_DEPOT_NO_CROSS_DEPOT_APPLICABILITY
cn-cy-15c-03-V2-LOCATIONS,1,SINGLE_DEPOT_NO_CROSS_DEPOT_APPLICABILITY
cn-cy-20c-01-V2-LOCATIONS,1,SINGLE_DEPOT_NO_CROSS_DEPOT_APPLICABILITY
cn-cy-20c-02-V2-LOCATIONS,1,SINGLE_DEPOT_NO_CROSS_DEPOT_APPLICABILITY
cn-cy-20c-03-V2-LOCATIONS,1,SINGLE_DEPOT_NO_CROSS_DEPOT_APPLICABILITY
cn-cy-25c-01-V2-LOCATIONS,1,SINGLE_DEPOT_NO_CROSS_DEPOT_APPLICABILITY
cn-cy-25c-02-V2-LOCATIONS,1,SINGLE_DEPOT_NO_CROSS_DEPOT_APPLICABILITY
cn-cy-25c-03-V2-LOCATIONS,1,SINGLE_DEPOT_NO_CROSS_DEPOT_APPLICABILITY
cn-jjj-10c-01-V2-LOCATIONS,1,SINGLE_DEPOT_NO_CROSS_DEPOT_APPLICABILITY
cn-jjj-10c-02-V2-LOCATIONS,1,SINGLE_DEPOT_NO_CROSS_DEPOT_APPLICABILITY
cn-jjj-10c-03-V2-LOCATIONS,1,SINGLE_DEPOT_NO_CROSS_DEPOT_APPLICABILITY
cn-jjj-15c-01-V2-LOCATIONS,1,SINGLE_DEPOT_NO_CROSS_DEPOT_APPLICABILITY
cn-jjj-15c-02-V2-LOCATIONS,1,SINGLE_DEPOT_NO_CROSS_DEPOT_APPLICABILITY
cn-jjj-15c-03-V2-LOCATIONS,1,SINGLE_DEPOT_NO_CROSS_DEPOT_APPLICABILITY
cn-jjj-20c-01-V2-LOCATIONS,1,SINGLE_DEPOT_NO_CROSS_DEPOT_APPLICABILITY
cn-jjj-20c-02-V2-LOCATIONS,1,SINGLE_DEPOT_NO_CROSS_DEPOT_APPLICABILITY
cn-jjj-20c-03-V2-LOCATIONS,1,SINGLE_DEPOT_NO_CROSS_DEPOT_APPLICABILITY
cn-jjj-25c-01-V2-LOCATIONS,1,SINGLE_DEPOT_NO_CROSS_DEPOT_APPLICABILITY
cn-jjj-25c-02-V2-LOCATIONS,1,SINGLE_DEPOT_NO_CROSS_DEPOT_APPLICABILITY
cn-jjj-25c-03-V2-LOCATIONS,1,SINGLE_DEPOT_NO_CROSS_DEPOT_APPLICABILITY
cn-prd-10c-01-V2-LOCATIONS,1,SINGLE_DEPOT_NO_CROSS_DEPOT_APPLICABILITY
cn-prd-10c-02-V2-LOCATIONS,1,SINGLE_DEPOT_NO_CROSS_DEPOT_APPLICABILITY
cn-prd-10c-03-V2-LOCATIONS,1,SINGLE_DEPOT_NO_CROSS_DEPOT_APPLICABILITY
cn-prd-15c-01-V2-LOCATIONS,1,SINGLE_DEPOT_NO_CROSS_DEPOT_APPLICABILITY
cn-prd-15c-02-V2-LOCATIONS,1,SINGLE_DEPOT_NO_CROSS_DEPOT_APPLICABILITY
cn-prd-15c-03-V2-LOCATIONS,1,SINGLE_DEPOT_NO_CROSS_DEPOT_APPLICABILITY
cn-prd-20c-01-V2-LOCATIONS,1,SINGLE_DEPOT_NO_CROSS_DEPOT_APPLICABILITY
cn-prd-20c-02-V2-LOCATIONS,1,SINGLE_DEPOT_NO_CROSS_DEPOT_APPLICABILITY
cn-prd-20c-03-V2-LOCATIONS,1,SINGLE_DEPOT_NO_CROSS_DEPOT_APPLICABILITY
cn-prd-25c-01-V2-LOCATIONS,1,SINGLE_DEPOT_NO_CROSS_DEPOT_APPLICABILITY
cn-prd-25c-02-V2-LOCATIONS,1,SINGLE_DEPOT_NO_CROSS_DEPOT_APPLICABILITY
cn-prd-25c-03-V2-LOCATIONS,1,SINGLE_DEPOT_NO_CROSS_DEPOT_APPLICABILITY
