record_id,experiment,instance_id,seed,variant,source_path,source_sha256,formal_result,status,failure,original_route_count,original_physical_vehicle_count,packed_physical_vehicle_count,saved_physical_vehicle_count,original_counts_by_depot_type,packed_counts_by_depot_type,certificate_status,certificate_valid,current_checker_violation_count,experiment_checker_violation_count,legacy_static_checker_violation_count,depot_fleet_violation_count,saved_terminal_charge_count,saved_terminal_charge_kwh,depot_charge_ledger_count,depot_charge_ledger_kwh,depot_charge_ledger_entrywise_bitwise_equal,interface_directly_usable,interface_note,single_trip_regression_selected,single_trip_objective_bitwise_equal,single_trip_component_count,single_trip_components_bitwise_equal,single_trip_mismatch_fields,certificate_record_sha256,prepared_solution_sha256
E4/cn-prd-50c-01-V2-LOCATIONS/seed_10/COST_ONLY,E4,cn-prd-50c-01-V2-LOCATIONS,10,COST_ONLY,baselines/china_e3_e7/e4_joint_routing_20260801/formal_panel_20260801/cn-prd-50c-01-V2-LOCATIONS/solutions/seed10_cost_only.json,315184ae23a89b3e4fe6362144da74f66694cfb840970de04cf623de5bfdce0a,False,PASS_E4_MULTITRIP_SOC_INTERFACE,,9,9,9,0,D_guangzhou:cv:3|D_guangzhou:ev:1|D_shenzhen:cv:3|D_shenzhen:ev:2,D_guangzhou:cv:3|D_guangzhou:ev:1|D_shenzhen:cv:3|D_shenzhen:ev:2,PASS,True,0,0,0,0,3,65.69585096267184,3,65.69585096267184,True,True,E4 terminal_charges are bound to the 60-20-80-next-day-60 continuous-SOC depot ledger,False,,0,,,5ff13503e8736950cf34bfef6f835f1ff527196d501c39336892f9481d0ead9c,49dc1f88ae6f22e2a79f0cd61053bf30d25f012e074d6f6dfafbfe13171887bc
E4/cn-prd-50c-01-V2-LOCATIONS/seed_10/COST_PLUS_CARBON,E4,cn-prd-50c-01-V2-LOCATIONS,10,COST_PLUS_CARBON,baselines/china_e3_e7/e4_joint_routing_20260801/formal_panel_20260801/cn-prd-50c-01-V2-LOCATIONS/solutions/seed10_cost_plus_carbon.json,c3664664d95e678367997f174d90bd9206b737d8b437bee70b432a0d5f47c7d1,False,PASS_E4_MULTITRIP_SOC_INTERFACE,,9,9,9,0,D_guangzhou:cv:3|D_guangzhou:ev:1|D_shenzhen:cv:3|D_shenzhen:ev:2,D_guangzhou:cv:3|D_guangzhou:ev:1|D_shenzhen:cv:3|D_shenzhen:ev:2,PASS,True,0,0,0,0,3,65.69585096267184,3,65.69585096267184,True,True,E4 terminal_charges are bound to the 60-20-80-next-day-60 continuous-SOC depot ledger,False,,0,,,8c35921c6d82e9f737657f6dd7bae0a90b893a69cca80e27a1ebb866b983e8c6,49dc1f88ae6f22e2a79f0cd61053bf30d25f012e074d6f6dfafbfe13171887bc
E4/cn-prd-50c-01-V2-LOCATIONS/seed_10/PURE_CARBON,E4,cn-prd-50c-01-V2-LOCATIONS,10,PURE_CARBON,baselines/china_e3_e7/e4_joint_routing_20260801/formal_panel_20260801/cn-prd-50c-01-V2-LOCATIONS/solutions/seed10_pure_carbon.json,ae19a10f4b03061203ed79de91699736a945a4f031a334bd146995eb5d5a31e8,False,PASS_E4_MULTITRIP_SOC_INTERFACE,,9,9,9,0,D_guangzhou:cv:3|D_guangzhou:ev:1|D_shenzhen:cv:3|D_shenzhen:ev:2,D_guangzhou:cv:3|D_guangzhou:ev:1|D_shenzhen:cv:3|D_shenzhen:ev:2,PASS,True,0,0,0,0,3,67.98825917489341,3,67.98825917489341,True,True,E4 terminal_charges are bound to the 60-20-80-next-day-60 continuous-SOC depot ledger,False,,0,,,af630ee96a49c4115e4680b8b753f4202b6719abef475fec09c56a19fc140fab,6a010eb13fe8b65d618d3515ec56b1b4bdd0251342fe9e8a2b06ec74cb946f06
E4/cn-prd-50c-01-V2-LOCATIONS/seed_01/COST_ONLY,E4,cn-prd-50c-01-V2-LOCATIONS,1,COST_ONLY,baselines/china_e3_e7/e4_joint_routing_20260801/formal_panel_20260801/cn-prd-50c-01-V2-LOCATIONS/solutions/seed1_cost_only.json,059725ba60ef2e042e78793392efbc65d60affe784eb57d32a1b8c13e0d1609d,False,PASS_E4_MULTITRIP_SOC_INTERFACE,,9,9,9,0,D_guangzhou:cv:3|D_guangzhou:ev:1|D_shenzhen:cv:3|D_shenzhen:ev:2,D_guangzhou:cv:3|D_guangzhou:ev:1|D_shenzhen:cv:3|D_shenzhen:ev:2,PASS,True,0,0,0,0,3,67.18256267074923,3,67.18256267074923,True,True,E4 terminal_charges are bound to the 60-20-80-next-day-60 continuous-SOC depot ledger,True,True,13,True,,cdd74b165ac7e27e27b95dd29dcf8fa1de88f3b89ffc60eb54c35302ace639e1,ba824159badb281d0221c8b1ca6973182e81551b1d37eac8c14c29aaab632f80
E4/cn-prd-50c-01-V2-LOCATIONS/seed_01/COST_PLUS_CARBON,E4,cn-prd-50c-01-V2-LOCATIONS,1,COST_PLUS_CARBON,baselines/china_e3_e7/e4_joint_routing_20260801/formal_panel_20260801/cn-prd-50c-01-V2-LOCATIONS/solutions/seed1_cost_plus_carbon.json,76788a370cb484e997ce3313ba8a03e715dd7de4295887a912b6a5511d79d005,False,PASS_E4_MULTITRIP_SOC_INTERFACE,,9,9,9,0,D_guangzhou:cv:3|D_guangzhou:ev:1|D_shenzhen:cv:3|D_shenzhen:ev:2,D_guangzhou:cv:3|D_guangzhou:ev:1|D_shenzhen:cv:3|D_shenzhen:ev:2,PASS,True,0,0,0,0,3,67.18256267074923,3,67.18256267074923,True,True,E4 terminal_charges are bound to the 60-20-80-next-day-60 continuous-SOC depot ledger,True,True,13,True,,078e07885880d350ff67d527a32582c9700670c1504f8fa70e688ef5bc76a40a,ba824159badb281d0221c8b1ca6973182e81551b1d37eac8c14c29aaab632f80
E4/cn-prd-50c-01-V2-LOCATIONS/seed_01/PURE_CARBON,E4,cn-prd-50c-01-V2-LOCATIONS,1,PURE_CARBON,baselines/china_e3_e7/e4_joint_routing_20260801/formal_panel_20260801/cn-prd-50c-01-V2-LOCATIONS/solutions/seed1_pure_carbon.json,4ec7148d1860832dec9bb0da8aaa02a6e6c958a5e253ea7eea91a9b489f63ee1,False,PASS_E4_MULTITRIP_SOC_INTERFACE,,9,9,9,0,D_guangzhou:cv:3|D_guangzhou:ev:1|D_shenzhen:cv:3|D_shenzhen:ev:2,D_guangzhou:cv:3|D_guangzhou:ev:1|D_shenzhen:cv:3|D_shenzhen:ev:2,PASS,True,0,0,0,0,3,68.14270122555497,3,68.14270122555497,True,True,E4 terminal_charges are bound to the 60-20-80-next-day-60 continuous-SOC depot ledger,True,True,13,True,,b9e7114a038f80100c44a0dfcb28ee72e8917ab4c5502239d392236a567a39e3,3e32e1b8f80e0ffc3a23fb7f7f5d4e0a79161eb40c9b1cd81285d4644cabc81a
E4/cn-prd-50c-01-V2-LOCATIONS/seed_02/COST_ONLY,E4,cn-prd-50c-01-V2-LOCATIONS,2,COST_ONLY,baselines/china_e3_e7/e4_joint_routing_20260801/formal_panel_20260801/cn-prd-50c-01-V2-LOCATIONS/solutions/seed2_cost_only.json,5e66567570d8b3ca577ee6c68737b98fd8cc8f2037bda67e65c2ccb0ed589567,False,PASS_E4_MULTITRIP_SOC_INTERFACE,,9,9,9,0,D_guangzhou:cv:3|D_guangzhou:ev:1|D_shenzhen:cv:3|D_shenzhen:ev:2,D_guangzhou:cv:3|D_guangzhou:ev:1|D_shenzhen:cv:3|D_shenzhen:ev:2,PASS,True,0,0,0,0,3,66.13524463456159,3,66.13524463456159,True,True,E4 terminal_charges are bound to the 60-20-80-next-day-60 continuous-SOC depot ledger,True,True,13,True,,f3424c4fa58be65e531745cd4d31255a957321fe73f56261bf9bff13b6808357,4fc6a758adb81655bd4d949ee2bf061426b3f7344284fc94fdf3a86fdc696bea
E4/cn-prd-50c-01-V2-LOCATIONS/seed_02/COST_PLUS_CARBON,E4,cn-prd-50c-01-V2-LOCATIONS,2,COST_PLUS_CARBON,baselines/china_e3_e7/e4_joint_routing_20260801/formal_panel_20260801/cn-prd-50c-01-V2-LOCATIONS/solutions/seed2_cost_plus_carbon.json,f78dd027e4585a5c55019e6426e8ecad69b0c2c3018ff9cf0a0e9551b7cc4f4a,False,PASS_E4_MULTITRIP_SOC_INTERFACE,,9,9,9,0,D_guangzhou:cv:3|D_guangzhou:ev:1|D_shenzhen:cv:3|D_shenzhen:ev:2,D_guangzhou:cv:3|D_guangzhou:ev:1|D_shenzhen:cv:3|D_shenzhen:ev:2,PASS,True,0,0,0,0,3,66.13524463456159,3,66.13524463456159,True,True,E4 terminal_charges are bound to the 60-20-80-next-day-60 continuous-SOC depot ledger,True,True,13,True,,be13525010b2b6b204767e4bf201d3365fbb1c55a26ba72257296d8a4866f830,4fc6a758adb81655bd4d949ee2bf061426b3f7344284fc94fdf3a86fdc696bea
E4/cn-prd-50c-01-V2-LOCATIONS/seed_02/PURE_CARBON,E4,cn-prd-50c-01-V2-LOCATIONS,2,PURE_CARBON,baselines/china_e3_e7/e4_joint_routing_20260801/formal_panel_20260801/cn-prd-50c-01-V2-LOCATIONS/solutions/seed2_pure_carbon.json,04b2a819f91ae6eca8bfb7235172a1a57200cdb2edff870801f9d2ecb4eebad7,False,PASS_E4_MULTITRIP_SOC_INTERFACE,,9,9,9,0,D_guangzhou:cv:3|D_guangzhou:ev:1|D_shenzhen:cv:3|D_shenzhen:ev:2,D_guangzhou:cv:3|D_guangzhou:ev:1|D_shenzhen:cv:3|D_shenzhen:ev:2,PASS,True,0,0,0,0,3,68.36725594684329,3,68.36725594684329,True,True,E4 terminal_charges are bound to the 60-20-80-next-day-60 continuous-SOC depot ledger,True,True,13,True,,e84474a2228dc412af0d779391c259543aa699c96b06fd74e616a64547696e2c,21eb620f4a5dbdcbaf2ad07eff14c0c0e0ced6a81fb8d2e2d2163b6c9124f210
E4/cn-prd-50c-01-V2-LOCATIONS/seed_03/COST_ONLY,E4,cn-prd-50c-01-V2-LOCATIONS,3,COST_ONLY,baselines/china_e3_e7/e4_joint_routing_20260801/formal_panel_20260801/cn-prd-50c-01-V2-LOCATIONS/solutions/seed3_cost_only.json,7f6227e28b0c916c964c027a2372261f96b736851a15bea62d9a40df396616f9,False,PASS_E4_MULTITRIP_SOC_INTERFACE,,9,9,9,0,D_guangzhou:cv:3|D_guangzhou:ev:1|D_shenzhen:cv:3|D_shenzhen:ev:2,D_guangzhou:cv:3|D_guangzhou:ev:1|D_shenzhen:cv:3|D_shenzhen:ev:2,PASS,True,0,0,0,0,3,65.2346039852356,3,65.2346039852356,True,True,E4 terminal_charges are bound to the 60-20-80-next-day-60 continuous-SOC depot ledger,True,True,13,True,,7589520c5f2dcaf27f220da1353a97812776c19f6f057fb580c33e4cb7a121f4,08a9e46be7ca31970dc424848179d7972d3e911bd64f0ebc5c95db9fb3555acf
