run_id,instance,size,seed,algorithm,scenario_type,battery_kwh,execution_commit,eval_budget,actual_evals,recorded_cost,recomputed_cost,cost_abs_diff,recorded_signature,recomputed_signature,recorded_route_structure_signature,recomputed_route_structure_signature,recomputed_violation_count,solution_file,structural_ev_status,mechanism_signal,cost_fix,cost_km,cost_fuel,cost_elec,cost_occ,cost_transship,cost_carbon,E_total,E_cv_direct,E_ev_indirect,distance_total,distance_cv,distance_ev,fuel_liters,electricity_kwh,depot_charging_kwh,station_charging_kwh,route_count_audit,cv_route_count_audit,ev_route_count_audit,ev_route_share,cv_physical_vehicle_count,ev_physical_vehicle_count,total_physical_vehicle_count,max_trips_per_physical_vehicle,reused_physical_vehicle_count,cv_customer_count,ev_customer_count,ev_customer_share,cv_demand,ev_demand,ev_demand_share,cv_distance_m,ev_distance_m,ev_distance_share,charging_action_count_audit,charging_energy_kwh_audit,depot_charging_energy_kwh_audit,public_charging_energy_kwh_audit,verification_status,verification_failures
E2_80K_FORMAL__formal_goeke80__threeshift__L-main-threeshift-100c-01__LNS__seed1,L-main-threeshift-100c-01,100,1,LNS,formal_goeke80,80.0,40bd28835dff1a4287486e720351e531fc7a38d0,4000,4000,5752.200433557843,5752.200433557843,0.0,cec15323587a52ef73e20af9e5ae982a1fa3373955419f4c4257e4cab5bdf821,cec15323587a52ef73e20af9e5ae982a1fa3373955419f4c4257e4cab5bdf821,909ffec6ed976e9593d4e6331fb05931a2b9f4a704ec6c68f105c9e4a2e5538d,909ffec6ed976e9593d4e6331fb05931a2b9f4a704ec6c68f105c9e4a2e5538d,0,solutions/E2_80K_FORMAL__formal_goeke80__threeshift__L-main-threeshift-100c-01__LNS__seed1.json,EV_AVAILABLE,True,2480.0,1848.1177114196605,1156.8466585610927,150.96520193954285,8.215247884644512,0.0,108.05561375290301,2146.5159664859557,2075.2526179345673,71.26334855138828,5280336.318341888,4135346.577571431,1144989.740770456,807.2337300684479,758.4283123301409,741.9978165608519,16.430495769289024,31,19,12,0.3870967741935484,7,7,14,3,12,145,76,0.3438914027149321,60679.0,37242.0,0.3803269982945436,4135346.5775714316,1144989.740770456,0.21684030556788503,13,758.4283123301409,741.9978165608519,16.430495769288996,OK,
E2_80K_FORMAL__formal_goeke80__threeshift__L-main-threeshift-100c-01__LNS__seed2,L-main-threeshift-100c-01,100,2,LNS,formal_goeke80,80.0,40bd28835dff1a4287486e720351e531fc7a38d0,4000,4000,5673.785224970613,5673.785224970613,0.0,3670b097b20bf053596991100e61f0bff262e42c9da3595b219992144ae42298,3670b097b20bf053596991100e61f0bff262e42c9da3595b219992144ae42298,1b78eb2807e1f45b4130a7d6fe155a4ea7b25af2fa5960613e1af44b535bf686,1b78eb2807e1f45b4130a7d6fe155a4ea7b25af2fa5960613e1af44b535bf686,0,solutions/E2_80K_FORMAL__formal_goeke80__threeshift__L-main-threeshift-100c-01__LNS__seed2.json,EV_AVAILABLE,True,2320.0,1831.8807425061739,1322.9547114946165,73.20807196053494,4.252028112782717,0.0,121.48967089650533,2413.3824174911665,2373.2317573125324,40.1506601786343,5233944.978589068,4682229.930208851,551715.0483802177,923.1419381024468,365.9500673187725,357.44601109320706,8.504056225565435,29,23,6,0.20689655172413793,7,6,13,4,7,185,36,0.16289592760180996,80009.0,17912.0,0.1829229685154359,4682229.930208851,551715.0483802177,0.10541093776055425,7,365.9500673187725,357.44601109320706,8.50405622556542,OK,
E2_80K_FORMAL__formal_goeke80__threeshift__L-main-threeshift-100c-01__LNS__seed3,L-main-threeshift-100c-01,100,3,LNS,formal_goeke80,80.0,40bd28835dff1a4287486e720351e531fc7a38d0,4000,4000,5657.358469275045,5657.358469275045,0.0,09511f4240795bac268d15becce94880e18e61c8f047d04802769e28671a7cbd,09511f4240795bac268d15becce94880e18e61c8f047d04802769e28671a7cbd,5b9e28854e646d0d340cc7606b08c8db0941b3bf531e6184c87f79e2d005fa0d,5b9e28854e646d0d340cc7606b08c8db0941b3bf531e6184c87f79e2d005fa0d,0,solutions/E2_80K_FORMAL__formal_goeke80__threeshift__L-main-threeshift-100c-01__LNS__seed3.json,EV_AVAILABLE,True,2480.0,1812.000066425647,1071.373481452644,182.18015836457477,10.407339710655306,0.0,101.39742332152419,2014.2515558506989,1921.9233644463654,92.32819140433352,5177143.04693042,3795450.7193199852,1381692.3276104345,747.5915717344526,911.8676812513162,891.0530018300055,20.814679421310615,31,17,14,0.45161290322580644,7,7,14,3,14,137,84,0.38009049773755654,58373.0,39548.0,0.40387659439752455,3795450.719319986,1381692.3276104345,0.2668831660793405,15,911.8676812513162,891.0530018300055,20.814679421310643,OK,
E2_80K_FORMAL__formal_goeke80__threeshift__L-main-threeshift-100c-01__staged_hybrid_carbon_aware__seed1,L-main-threeshift-100c-01,100,1,staged_hybrid_carbon_aware,formal_goeke80,80.0,40bd28835dff1a4287486e720351e531fc7a38d0,4000,4000,5299.410088203287,5299.410088203287,0.0,b12fbacee5acd3c800c955830b074e951ba295c0809b3a71fe488c1ee317f557,b12fbacee5acd3c800c955830b074e951ba295c0809b3a71fe488c1ee317f557,8798eb8bc64b8d5772a2dcc7aa7fea8b3f0a19e9bf6c64460f1e21b128e6b11d,8798eb8bc64b8d5772a2dcc7aa7fea8b3f0a19e9bf6c64460f1e21b128e6b11d,0,solutions/E2_80K_FORMAL__formal_goeke80__threeshift__L-main-threeshift-100c-01__staged_hybrid_carbon_aware__seed1.json,EV_AVAILABLE,True,2480.0,1640.203628404891,921.1072263809411,170.54197044569136,0.0,0.0,87.55726297176314,1739.3178977306939,1652.3626262819419,86.95527144875194,4686296.081156832,3276966.541139576,1409329.540017256,642.7375803369905,920.3560196745352,920.3560196745352,0,31,16,15,0.4838709677419355,7,7,14,3,14,128,93,0.42081447963800905,54923.0,42998.0,0.4391090777259219,3276966.541139576,1409329.5400172558,0.3007342079140157,15,920.3560196745352,920.3560196745352,0.0,OK,
E2_80K_FORMAL__formal_goeke80__threeshift__L-main-threeshift-100c-01__staged_hybrid_carbon_aware__seed2,L-main-threeshift-100c-01,100,2,staged_hybrid_carbon_aware,formal_goeke80,80.0,40bd28835dff1a4287486e720351e531fc7a38d0,4000,4000,5610.248007437557,5610.248007437557,0.0,bcf6169b92e56ba6df2febb2d8b2ed76b18bc87df93895f2706547ada3cc4666,bcf6169b92e56ba6df2febb2d8b2ed76b18bc87df93895f2706547ada3cc4666,d3734b2adbb88ea955266fe6ab8a735d40526cb149e611d8a217d90d410aac12,d3734b2adbb88ea955266fe6ab8a735d40526cb149e611d8a217d90d410aac12,0,solutions/E2_80K_FORMAL__formal_goeke80__threeshift__L-main-threeshift-100c-01__staged_hybrid_carbon_aware__seed2.json,EV_AVAILABLE,True,2400.0,1775.4809526072108,1135.8358086123787,163.48230307180614,29.86224786675285,0.0,105.58669527940754,2097.471102093912,2037.5615194312159,59.90958266269621,5072802.721734888,4039178.908404435,1033623.813330453,792.5726108522634,677.6857292485165,617.9612335150108,59.7244957335057,30,20,10,0.3333333333333333,7,7,14,3,10,157,64,0.2895927601809955,68867.0,29054.0,0.2967085711951471,4039178.9084044346,1033623.813330453,0.20375793620000185,11,677.6857292485165,617.9612335150108,59.724495733505705,OK,
E2_80K_FORMAL__formal_goeke80__threeshift__L-main-threeshift-100c-01__staged_hybrid_carbon_aware__seed3,L-main-threeshift-100c-01,100,3,staged_hybrid_carbon_aware,formal_goeke80,80.0,40bd28835dff1a4287486e720351e531fc7a38d0,4000,4000,5537.001043620819,5537.001043620819,0.0,44540e388c95845916ab237251176bb00dbf406a436b403d728708d55ed0f430,44540e388c95845916ab237251176bb00dbf406a436b403d728708d55ed0f430,de8290af6678a91f02b814c528a84863b01c42ce1241f65f8b7e2db49dbc9ca5,de8290af6678a91f02b814c528a84863b01c42ce1241f65f8b7e2db49dbc9ca5,0,solutions/E2_80K_FORMAL__formal_goeke80__threeshift__L-main-threeshift-100c-01__staged_hybrid_carbon_aware__seed3.json,EV_AVAILABLE,True,2400.0,1753.688645536182,1087.7673891713002,169.4917310793916,24.477294709660487,0.0,101.57598312428414,2017.7986317895138,1951.3321885628093,66.46644322670456,5010538.987246235,3870153.9314107075,1140385.0558355271,759.0310440103972,747.0062232862849,698.0516338669639,48.954589419320975,30,18,12,0.4,7,7,14,3,12,148,73,0.33031674208144796,62909.0,35012.0,0.35755353805618817,3870153.931410708,1140385.0558355271,0.22759728219623665,13,747.0062232862849,698.0516338669639,48.954589419320996,OK,
E2_80K_FORMAL__formal_goeke80__threeshift__L-main-threeshift-100c-01__staged_hybrid_carbon_naive__seed1,L-main-threeshift-100c-01,100,1,staged_hybrid_carbon_naive,formal_goeke80,80.0,40bd28835dff1a4287486e720351e531fc7a38d0,4000,4000,5300.650338380212,5300.650338380212,0.0,86cef8dd7c01fe1b755c83d81d20561253106929b675913225b66eb1261a3dfa,86cef8dd7c01fe1b755c83d81d20561253106929b675913225b66eb1261a3dfa,8798eb8bc64b8d5772a2dcc7aa7fea8b3f0a19e9bf6c64460f1e21b128e6b11d,8798eb8bc64b8d5772a2dcc7aa7fea8b3f0a19e9bf6c64460f1e21b128e6b11d,0,solutions/E2_80K_FORMAL__formal_goeke80__threeshift__L-main-threeshift-100c-01__staged_hybrid_carbon_naive__seed1.json,EV_AVAILABLE,True,2480.0,1640.203628404891,921.1072263809411,170.54197044569136,0.0,0.0,88.79751314868848,1763.955366481694,1652.3626262819419,111.59274019975226,4686296.081156832,3276966.541139576,1409329.540017256,642.7375803369905,920.3560196745352,920.3560196745352,0,31,16,15,0.4838709677419355,7,7,14,3,14,128,93,0.42081447963800905,54923.0,42998.0,0.4391090777259219,3276966.541139576,1409329.5400172558,0.3007342079140157,15,920.3560196745352,920.3560196745352,0.0,OK,
E2_80K_FORMAL__formal_goeke80__threeshift__L-main-threeshift-100c-01__staged_hybrid_carbon_naive__seed2,L-main-threeshift-100c-01,100,2,staged_hybrid_carbon_naive,formal_goeke80,80.0,40bd28835dff1a4287486e720351e531fc7a38d0,4000,4000,5611.128852778883,5611.128852778883,0.0,4895d95be79303d07a8d60605ed952695dcd7663af26f7d6a75b67ca75550a42,4895d95be79303d07a8d60605ed952695dcd7663af26f7d6a75b67ca75550a42,d3734b2adbb88ea955266fe6ab8a735d40526cb149e611d8a217d90d410aac12,d3734b2adbb88ea955266fe6ab8a735d40526cb149e611d8a217d90d410aac12,0,solutions/E2_80K_FORMAL__formal_goeke80__threeshift__L-main-threeshift-100c-01__staged_hybrid_carbon_naive__seed2.json,EV_AVAILABLE,True,2400.0,1775.4809526072108,1135.8358086123787,163.48230307180614,29.86224786675285,0.0,106.46754062073384,2114.969023057883,2037.5615194312159,77.40750362666708,5072802.721734888,4039178.908404435,1033623.813330453,792.5726108522634,677.6857292485165,617.9612335150108,59.7244957335057,30,20,10,0.3333333333333333,7,7,14,3,10,157,64,0.2895927601809955,68867.0,29054.0,0.2967085711951471,4039178.9084044346,1033623.813330453,0.20375793620000185,11,677.6857292485165,617.9612335150108,59.724495733505705,OK,
E2_80K_FORMAL__formal_goeke80__threeshift__L-main-threeshift-100c-01__staged_hybrid_carbon_naive__seed3,L-main-threeshift-100c-01,100,3,staged_hybrid_carbon_naive,formal_goeke80,80.0,40bd28835dff1a4287486e720351e531fc7a38d0,4000,4000,5538.152656664285,5538.152656664285,0.0,d125cdaaab838cb87f079e263a84455e9efff4cc0225f892e03f9cf508aec6d8,d125cdaaab838cb87f079e263a84455e9efff4cc0225f892e03f9cf508aec6d8,de8290af6678a91f02b814c528a84863b01c42ce1241f65f8b7e2db49dbc9ca5,de8290af6678a91f02b814c528a84863b01c42ce1241f65f8b7e2db49dbc9ca5,0,solutions/E2_80K_FORMAL__formal_goeke80__threeshift__L-main-threeshift-100c-01__staged_hybrid_carbon_naive__seed3.json,EV_AVAILABLE,True,2400.0,1753.688645536182,1087.7673891713002,169.4917310793916,24.477294709660487,0.0,102.72759616775093,2040.6753311035147,1951.3321885628093,89.34314254070546,5010538.987246235,3870153.9314107075,1140385.0558355271,759.0310440103972,747.0062232862849,698.0516338669639,48.954589419320975,30,18,12,0.4,7,7,14,3,12,148,73,0.33031674208144796,62909.0,35012.0,0.35755353805618817,3870153.931410708,1140385.0558355271,0.22759728219623665,13,747.0062232862849,698.0516338669639,48.954589419320996,OK,
E2_80K_FORMAL__formal_goeke80__threeshift__L-main-threeshift-15c-01__LNS__seed1,L-main-threeshift-15c-01,15,1,LNS,formal_goeke80,80.0,40bd28835dff1a4287486e720351e531fc7a38d0,4000,4000,1050.8542669302199,1050.8542669302199,0.0,ab3b02af6888b53e307c53f2f928283c2fe2a866af4db800e6b0c53e3ef55edc,ab3b02af6888b53e307c53f2f928283c2fe2a866af4db800e6b0c53e3ef55edc,a09f1e2f60dc87b70239d62165c150403e510bb6355f6aa34540c131cf260cfe,a09f1e2f60dc87b70239d62165c150403e510bb6355f6aa34540c131cf260cfe,0,solutions/E2_80K_FORMAL__formal_goeke80__threeshift__L-main-threeshift-15c-01__LNS__seed1.json,STRUCTURAL_NO_EV_AVAILABLE,False,320.0,389.20377818724165,313.35333787216075,0.0,0.0,0.0,28.297150870817603,562.1205973543425,562.1205973543425,0.0,1112010.7948206905,1112010.7948206905,0,218.65420268799159,0,0,0,4,4,0,0.0,2,0,2,2,2,34,0,0.0,13776.0,0.0,0.0,1112010.7948206905,0.0,0.0,0,0,0,0,OK,
