instance,seed,left_algorithm,right_algorithm,left_cost,right_cost,left_gain_pct,left_E_ev_indirect,right_E_ev_indirect,left_elapsed_seconds,right_elapsed_seconds
L-main-threeshift-100c-01,1,staged_hybrid_carbon_aware,staged_hybrid_carbon_naive,5299.410088203287,5300.650338380212,0.023398075665254044,86.95527144875194,111.59274019975226,120.45746766700177,120.45746766700177
L-main-threeshift-100c-01,1,staged_hybrid_carbon_aware,LNS,5299.410088203287,5752.200433557843,7.871602364775329,86.95527144875194,71.26334855138828,120.45746766700177,340.2184472079971
L-main-threeshift-100c-01,2,staged_hybrid_carbon_aware,staged_hybrid_carbon_naive,5610.248007437557,5611.128852778883,0.015698184170009434,59.90958266269621,77.40750362666708,121.57034225000825,121.57034225000825
L-main-threeshift-100c-01,2,staged_hybrid_carbon_aware,LNS,5610.248007437557,5673.785224970613,1.1198382563623546,59.90958266269621,40.1506601786343,121.57034225000825,285.0369999579998
L-main-threeshift-100c-01,3,staged_hybrid_carbon_aware,staged_hybrid_carbon_naive,5537.001043620819,5538.152656664285,0.020794172982588073,66.46644322670456,89.34314254070546,67.49789679099922,67.49789679099922
L-main-threeshift-100c-01,3,staged_hybrid_carbon_aware,LNS,5537.001043620819,5657.358469275045,2.127449167449506,66.46644322670456,92.32819140433352,67.49789679099922,291.55366379198676
L-main-threeshift-15c-01,1,staged_hybrid_carbon_aware,staged_hybrid_carbon_naive,1047.7297588653091,1047.7297588653091,0.0,0.0,0.0,14.384073000008357,14.384073000008357
L-main-threeshift-15c-01,1,staged_hybrid_carbon_aware,LNS,1047.7297588653091,1050.8542669302199,0.29733029243323417,0.0,0.0,14.384073000008357,34.724810166997486
L-main-threeshift-15c-01,2,staged_hybrid_carbon_aware,staged_hybrid_carbon_naive,1047.7297588653091,1047.7297588653091,0.0,0.0,0.0,13.09473541699117,13.09473541699117
L-main-threeshift-15c-01,2,staged_hybrid_carbon_aware,LNS,1047.7297588653091,1021.8545301087881,-2.532183201631084,0.0,0.0,13.09473541699117,32.78385158300807
L-main-threeshift-15c-01,3,staged_hybrid_carbon_aware,staged_hybrid_carbon_naive,1047.7297588653091,1047.7297588653091,0.0,0.0,0.0,13.314221250009723,13.314221250009723
L-main-threeshift-15c-01,3,staged_hybrid_carbon_aware,LNS,1047.7297588653091,1045.5068138400104,-0.2126188940973159,0.0,0.0,13.314221250009723,32.459425458000624
L-main-threeshift-200c-01,1,staged_hybrid_carbon_aware,staged_hybrid_carbon_naive,10079.038405713334,10083.693526264064,0.0461648357182281,180.75550295337317,273.2290935518723,429.07616466599575,429.07616466599575
L-main-threeshift-200c-01,1,staged_hybrid_carbon_aware,LNS,10079.038405713334,13046.944663217633,22.747902548184452,180.75550295337317,136.33845641538008,429.07616466599575,888.9753782500047
L-main-threeshift-200c-01,2,staged_hybrid_carbon_aware,staged_hybrid_carbon_naive,10283.306517761252,10287.45826230018,0.040357340297979105,188.4860060540731,270.96007317621,231.89366854199034,231.89366854199034
L-main-threeshift-200c-01,2,staged_hybrid_carbon_aware,LNS,10283.306517761252,12364.902418149883,16.834713530234986,188.4860060540731,125.23212213453533,231.89366854199034,958.8756173750007
L-main-threeshift-200c-01,3,staged_hybrid_carbon_aware,staged_hybrid_carbon_naive,10395.024012736312,10399.825889652453,0.046172666418565385,200.33121692846439,295.7201107731299,219.74199441699602,219.74199441699602
L-main-threeshift-200c-01,3,staged_hybrid_carbon_aware,LNS,10395.024012736312,11572.133681700814,10.171932863391328,200.33121692846439,156.0344308117139,219.74199441699602,988.6928374999989
L-main-threeshift-50c-01,1,staged_hybrid_carbon_aware,staged_hybrid_carbon_naive,2693.672718519543,2694.228121510745,0.02061454955382218,40.230201452180765,51.263236636962176,32.94641299999785,32.94641299999785
L-main-threeshift-50c-01,1,staged_hybrid_carbon_aware,LNS,2693.672718519543,2693.933016724359,0.009662385931634316,40.230201452180765,32.73562888739964,32.94641299999785,168.98568850000447
L-main-threeshift-50c-01,2,staged_hybrid_carbon_aware,staged_hybrid_carbon_naive,2728.7122761933833,2729.2800731572793,0.02080390977387331,41.83220289343742,53.11144333634281,33.11663754199981,33.11663754199981
L-main-threeshift-50c-01,2,staged_hybrid_carbon_aware,LNS,2728.7122761933833,2772.7944448522394,1.589810190968021,41.83220289343742,22.90392753201605,33.11663754199981,166.71514795799158
L-main-threeshift-50c-01,3,staged_hybrid_carbon_aware,staged_hybrid_carbon_naive,2807.6546350181793,2808.5928574084674,0.03340542534718825,42.17598946859299,60.813700837047264,36.420520083003794,36.420520083003794
L-main-threeshift-50c-01,3,staged_hybrid_carbon_aware,LNS,2807.6546350181793,2702.2299577637127,-3.901395473452341,42.17598946859299,34.12171409971504,36.420520083003794,197.19055933300115
