actual_evaluations,algorithm,best_cost,best_ev_routes,best_routes,dominant_pair_share,elapsed_seconds,eval_budget,feasible,hidden_local_search_scores,instance,scale,seed,selected_pair_count,vehicle_type_attempts,violation_count
400,LNS,12741.280537075436,41,61,0.0,72.26581437500136,400,True,0,L-main-threeshift-200c-01,hardest,1,0,0,0
400,LNS,12693.614578180708,43,61,0.0,70.4475879160018,400,True,0,L-main-threeshift-200c-01,hardest,2,0,0,0
