instance,seed,algorithm,time_limit_seconds,elapsed_seconds,route_count,distance_double,lexicographic_score,evaluations,feasible,independent_recompute_pass,violation_count,solution_sha256,education,status
C1_2_4,1,pyvrp_hgs_short,2.0,2.0572094580275007,23,9597.263574326937,1099291.2635743269,,True,True,0,4f4a088a80161e7d6602a036ab9c2832650d10923fc9e469a223161f9a654b51,{},OK
C1_2_4,1,pyvrp_hgs_long,10.0,10.063998791971244,23,9597.263574326937,1099291.2635743269,,True,True,0,4f4a088a80161e7d6602a036ab9c2832650d10923fc9e469a223161f9a654b51,{},OK
C2_2_4,1,pyvrp_hgs_short,2.0,2.2653521670144983,9,9782.97428367921,425546.9742836792,,True,True,0,a23064e32b5d91e4bd60177f26d0c14b7c23ac4ff68c667091de0e9d418fcce4,{},OK
C2_2_4,1,pyvrp_hgs_long,10.0,10.047979875002056,9,9782.97428367921,425546.9742836792,,True,True,0,a23064e32b5d91e4bd60177f26d0c14b7c23ac4ff68c667091de0e9d418fcce4,{},OK
R1_2_3,1,pyvrp_hgs_short,2.0,2.0877200000104494,24,10343.85649442367,1113479.8564944237,,True,True,0,4500ce563567b84889396d1579a4d4ec92e376f8eda23da527d61fafa7f49243,{},OK
R1_2_3,1,pyvrp_hgs_long,10.0,10.114047583017964,24,10343.85649442367,1113479.8564944237,,True,True,0,4500ce563567b84889396d1579a4d4ec92e376f8eda23da527d61fafa7f49243,{},OK
R2_2_6,1,pyvrp_hgs_short,2.0,2.074162000033539,6,10000.960769255864,285784.9607692559,,True,True,0,4593834e01967dd29cc000ffeb2d05ecfc392b76833635671192902559346751,{},OK
R2_2_6,1,pyvrp_hgs_long,10.0,10.058631666004658,4,3234.851283397659,187090.85128339767,,True,True,0,d6a843d8f6e8ff7aec7398d782e424025d1eba5d14b3dd39b6157ee53fd64b07,{},OK
RC1_2_7,1,pyvrp_hgs_short,2.0,2.087053792027291,23,7583.061339983092,1064755.061339983,,True,True,0,b17e2f68c7907628b835cf257b46d29ac912dd5d6d37a95308facf796a208e72,{},OK
RC1_2_7,1,pyvrp_hgs_long,10.0,10.067476040974725,23,7583.061339983092,1064755.061339983,,True,True,0,b17e2f68c7907628b835cf257b46d29ac912dd5d6d37a95308facf796a208e72,{},OK
RC2_2_4,1,pyvrp_hgs_short,2.0,2.0566215419676155,6,9788.232241080723,285572.2322410807,,True,True,0,0f70c5e1ed884c794352e6b05ccef7c122727973a50efd41da0ee0c840a753f0,{},OK
RC2_2_4,1,pyvrp_hgs_long,10.0,10.094041917007416,4,2504.1749888398285,186360.17498883983,,True,True,0,ef97b20028fd7d5ef9f60e68f0b5f6c124e3665be00b3b8673011b52dcb0038d,{},OK
