absolute_improvement,any_nonadjacent_parent_pair_headroom,baseline_objective,best_from_nonadjacent_parent_pair,best_pair_json,best_parent_objective,best_source,customer_count,decoder_cache_json,error,exact_candidate_evaluations,final_objective,instance_id,local_improvement_signals,no_loss,old_pool_columns,old_pool_mip_gap,old_pool_mip_seconds,old_pool_mip_status,old_pool_objective,pair_attempts,parent_objectives_json,peak_rss_bytes,relative_improvement_pct,status,strict_improvement,trace_path,wall_seconds,witness_path
0.0,False,7638.209325678354,False,null,7641.242341145809,old_pool,150,"{""entries"": 255056, ""hits"": 1407888, ""misses"": 255056, ""requests"": 1662944, ""hit_rate"": 0.8466238189620336}",,0,7638.209325678354,cn-cy-150c-02-V2-LOCATIONS,0,True,92,0.0,0.0043681670213118196,OPTIMAL,7638.209325678354,1950,"[7662.37514566992, 7661.954057114155, 7641.242341145809, 7657.525124874005, 7661.730668200064]",342179840,0.0,OK,False,baselines/algorithm_prototypes/unordered_route_pair_mip_20260725/direct_gate_v1/traces/cn-cy-150c-02-V2-LOCATIONS.csv,423.2015033339849,baselines/algorithm_prototypes/unordered_route_pair_mip_20260725/direct_gate_v1/witnesses/cn-cy-150c-02-V2-LOCATIONS.json
0.0,False,2902.8621872585445,False,null,2902.8621872585445,old_pool,50,"{""entries"": 9144, ""hits"": 174648, ""misses"": 9144, ""requests"": 183792, ""hit_rate"": 0.9502481065552364}",,0,2902.8621872585445,cn-jjj-50c-03-V2-LOCATIONS,0,True,10,0.0,0.00999891699757427,OPTIMAL,2902.8621872585445,270,"[2902.8621872585445, 2902.8621872585445, 2902.8621872585445, 2902.8621872585445, 2902.8621872585445]",104808448,0.0,OK,False,baselines/algorithm_prototypes/unordered_route_pair_mip_20260725/direct_gate_v1/traces/cn-jjj-50c-03-V2-LOCATIONS.csv,25.399503500026185,baselines/algorithm_prototypes/unordered_route_pair_mip_20260725/direct_gate_v1/witnesses/cn-jjj-50c-03-V2-LOCATIONS.json
0.0,False,4312.448489640502,False,null,4312.448489640502,old_pool,100,"{""entries"": 33848, ""hits"": 677272, ""misses"": 33848, ""requests"": 711120, ""hit_rate"": 0.9524018449769378}",,0,4312.448489640502,cn-prd-100c-01-V2-LOCATIONS,0,True,16,0.0,0.009457166015636176,OPTIMAL,4312.448489640502,630,"[4312.448489640502, 4312.448489640502, 4312.448489640502, 4312.448489640502, 4312.448489640502]",147390464,0.0,OK,False,baselines/algorithm_prototypes/unordered_route_pair_mip_20260725/direct_gate_v1/traces/cn-prd-100c-01-V2-LOCATIONS.csv,86.03064929199172,baselines/algorithm_prototypes/unordered_route_pair_mip_20260725/direct_gate_v1/witnesses/cn-prd-100c-01-V2-LOCATIONS.json
