check,status,observed,expected,detail
taper_slot_split,PASS,true,true,dynamic legacy hits are reported for NL3 and are not counted as an NL2 pass condition
valid_cost_checker_agree,PASS,true,true,dynamic legacy hits are reported for NL3 and are not counted as an NL2 pass condition
shortened_action_fails_closed,PASS,true,true,dynamic legacy hits are reported for NL3 and are not counted as an NL2 pass condition
missing_metadata_fails_closed,PASS,true,true,dynamic legacy hits are reported for NL3 and are not counted as an NL2 pass condition
carbon_timing_strictly_improves,PASS,true,true,dynamic legacy hits are reported for NL3 and are not counted as an NL2 pass condition
l100_exact_regression,PASS,true,true,dynamic legacy hits are reported for NL3 and are not counted as an NL2 pass condition
repair_emits_bound_actions,PASS,true,true,dynamic legacy hits are reported for NL3 and are not counted as an NL2 pass condition
static_legacy_formula_removed,PASS,true,true,dynamic legacy hits are reported for NL3 and are not counted as an NL2 pass condition
target_tests,PASS,true,true,dynamic legacy hits are reported for NL3 and are not counted as an NL2 pass condition
ruff,PASS,true,true,dynamic legacy hits are reported for NL3 and are not counted as an NL2 pass condition
change_boundary,PASS,true,true,dynamic legacy hits are reported for NL3 and are not counted as an NL2 pass condition
