phase,scale,instance_id,seed,stream_seed,arm,status,search_evaluations,error_type,error_message,evidence_path
source_contract,50c,cn-prd-50c-01-V2-LOCATIONS,1,1,FULL_ROLLING,PASS_ZERO_SEARCH_SOURCE_CONTRACT,0,,,source_contract_check.json
startup_validation,50c,cn-prd-50c-01-V2-LOCATIONS,1,1,FULL_ROLLING,HALT_PROBE_STARTUP_CURVE_CALENDAR_CONTRACT,0,ValueError,E3_STRICT_MULTITRIP_V3_NL certificate curve id disagrees with prices,startup_validation/stdout.log
