action_id,focus_customer_ids,focus_direct_roundtrip_advantage_km,status,evaluated,complete_model_feasible,violation_count,violations_json,cross_site_service_count,after_cost_cny,cost_change_cny,after_emissions_kg,minimum_participation_margin_cny,penalized_change_cny,improves_initial_penalized,maximum_charge_end_soc,charging_actions_entering_taper_region,wall_seconds,error_type,error
swap:CV_D_guangzhou_2#T1:C066<->EV_D_dongguan_1#T1:C020,C020,C020:6.58529035627,REJECTED_CHARGING,False,,,[],,,,,,,,,,0.00011037499643862247,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_dongguan_1#T1 misses C066's time window
swap:CV_D_guangzhou_2#T1:C077<->EV_D_dongguan_1#T1:C020,C020,C020:6.58529035627,REJECTED_CHARGING,False,,,[],,,,,,,,,,0.00010695797391235828,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_dongguan_1#T1 misses C077's time window
swap:CV_D_guangzhou_2#T1:C082<->EV_D_dongguan_1#T1:C020,C020,C020:6.58529035627,REJECTED_CHARGING,False,,,[],,,,,,,,,,0.00010795801063068211,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_dongguan_1#T1 misses C082's time window
swap:CV_D_guangzhou_2#T2:C058<->EV_D_dongguan_1#T1:C020,C020,C020:6.58529035627,REJECTED_INTERFACE,False,,,[],,,,,,,,,,0.04000458400696516,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_guangzhou_2#T2 misses C020's time window
swap:CV_D_guangzhou_2#T2:C084<->EV_D_dongguan_1#T1:C020,C020,C020:6.58529035627,REJECTED_INTERFACE,False,,,[],,,,,,,,,,0.04035887500504032,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_guangzhou_2#T2 misses C020's time window
swap:CV_D_guangzhou_2#T2:C088<->EV_D_dongguan_1#T1:C020,C020,C020:6.58529035627,EVALUATED,True,False,2,"[{""detail"": ""profit Pi=7080.184126 below theta*Pi0=7165.676154 (theta=1.000000, Pi0=7165.676154)"", ""location"": ""D_dongguan"", ""severity"": ""hard"", ""type"": ""PROFIT_FAIRNESS"", ""vehicle_id"": """"}, {""detail"": ""profit Pi=18630.073229 below theta*Pi0=18714.448447 (theta=1.000000, Pi0=18714.448447)"", ""location"": ""D_guangzhou"", ""severity"": ""hard"", ""type"": ""PROFIT_FAIRNESS"", ""vehicle_id"": """"}]",2,6687.480233281541,169.86724574361233,691.2194862417022,-85.49202775193226,17156.59182010457,False,0.8307534938529181,0,0.05323637500987388,,
swap:CV_D_guangzhou_3#T1:C051<->EV_D_dongguan_1#T1:C020,C020,C020:6.58529035627,REJECTED_CHARGING,False,,,[],,,,,,,,,,0.0001552079920656979,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_dongguan_1#T1 misses C051's time window
swap:CV_D_guangzhou_3#T1:C060<->EV_D_dongguan_1#T1:C020,C020,C020:6.58529035627,REJECTED_CHARGING,False,,,[],,,,,,,,,,0.00011512500350363553,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_dongguan_1#T1 misses C060's time window
swap:CV_D_guangzhou_3#T1:C061<->EV_D_dongguan_1#T1:C020,C020,C020:6.58529035627,REJECTED_CHARGING,False,,,[],,,,,,,,,,0.0001084580144379288,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_dongguan_1#T1 misses C061's time window
swap:CV_D_guangzhou_3#T1:C067<->EV_D_dongguan_1#T1:C020,C020,C020:6.58529035627,REJECTED_CHARGING,False,,,[],,,,,,,,,,0.00010237499373033643,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_dongguan_1#T1 misses C067's time window
swap:CV_D_guangzhou_3#T1:C072<->EV_D_dongguan_1#T1:C020,C020,C020:6.58529035627,REJECTED_CHARGING,False,,,[],,,,,,,,,,0.0001012090069707483,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_dongguan_1#T1 misses C072's time window
swap:CV_D_guangzhou_3#T1:C076<->EV_D_dongguan_1#T1:C020,C020,C020:6.58529035627,REJECTED_CHARGING,False,,,[],,,,,,,,,,0.00010191599722020328,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_dongguan_1#T1 misses C076's time window
swap:CV_D_guangzhou_4#T1:C043<->CV_D_shenzhen_1#T1:C113,C043,C043:1.03288723259,REJECTED_INTERFACE,False,,,[],,,,,,,,,,0.0012862500152550638,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_guangzhou_4#T1 misses C113's time window
swap:CV_D_guangzhou_4#T1:C043<->CV_D_shenzhen_1#T1:C115,C043,C043:1.03288723259,REJECTED_INTERFACE,False,,,[],,,,,,,,,,0.0012454160023480654,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_guangzhou_4#T1 misses C115's time window
