evidence_dir,status,old_hash_contaminated,old_hash_backup,clean_entry_count,contains_appledouble_after
baselines/e2_alns/ev_heavy_findability_gate_long_same_instance_v2_data,REFRESHED,True,baselines/e2_alns/ev_heavy_findability_gate_long_same_instance_v2_data/artifact_hashes.contaminated_appledouble_20260702.json,48,False
baselines/e2_alns/e2_g0_same_value_platform_audit_data,REFRESHED,False,,8,False
baselines/e2_alns/native_channel_autopsy_data,REFRESHED,False,,9,False
baselines/e2_alns/decoder_fix_validation_data,REFRESHED,False,,11,False
baselines/e2_alns/bridge_fix_validation_data,REFRESHED,False,,10,False
