task_id,instance_id,region,arm,charge_timing_policy,seed,view,improvement_sequence,iteration,global_iteration,objective_before,objective_after,improvement_absolute,improvement_relative,objective_type
T24_SMOKE__JJJ__ASAP__S2026080201,cn-jjj-100c-01-V2-LOCATIONS,JJJ,ASAP,asap,2026080201,cv_only,1,5,5,9223372036854775807,2547950,9223372036852227857,0.9999999999997238,PyVRP integer proxy objective
T24_SMOKE__JJJ__ASAP__S2026080201,cn-jjj-100c-01-V2-LOCATIONS,JJJ,ASAP,asap,2026080201,cv_only,2,16,16,2547950,2264091,283859,0.11140681724523636,PyVRP integer proxy objective
T24_SMOKE__JJJ__ASAP__S2026080201,cn-jjj-100c-01-V2-LOCATIONS,JJJ,ASAP,asap,2026080201,cv_only,3,28,28,2264091,2210149,53942,0.023825014100581646,PyVRP integer proxy objective
T24_SMOKE__JJJ__ASAP__S2026080201,cn-jjj-100c-01-V2-LOCATIONS,JJJ,ASAP,asap,2026080201,cv_only,4,57,57,2210149,2201602,8547,0.0038671600873968225,PyVRP integer proxy objective
T24_SMOKE__JJJ__ASAP__S2026080201,cn-jjj-100c-01-V2-LOCATIONS,JJJ,ASAP,asap,2026080201,naive_ev,1,4,64,9223372036854775807,2106579,9223372036852669228,0.9999999999997716,PyVRP integer proxy objective
T24_SMOKE__JJJ__ASAP__S2026080201,cn-jjj-100c-01-V2-LOCATIONS,JJJ,ASAP,asap,2026080201,naive_ev,2,11,71,2106579,1958324,148255,0.07037713752961555,PyVRP integer proxy objective
T24_SMOKE__JJJ__ASAP__S2026080201,cn-jjj-100c-01-V2-LOCATIONS,JJJ,ASAP,asap,2026080201,naive_ev,3,22,82,1958324,1732409,225915,0.11536140087135735,PyVRP integer proxy objective
T24_SMOKE__JJJ__ASAP__S2026080201,cn-jjj-100c-01-V2-LOCATIONS,JJJ,ASAP,asap,2026080201,naive_ev,4,48,108,1732409,1708331,24078,0.013898565523499358,PyVRP integer proxy objective
T24_SMOKE__JJJ__ASAP__S2026080201,cn-jjj-100c-01-V2-LOCATIONS,JJJ,ASAP,asap,2026080201,mechanism_ev,1,7,127,9223372036854775807,1734510,9223372036853041297,0.9999999999998119,PyVRP integer proxy objective
T24_SMOKE__JJJ__ASAP__S2026080201,cn-jjj-100c-01-V2-LOCATIONS,JJJ,ASAP,asap,2026080201,mechanism_ev,2,22,142,1734510,1703431,31079,0.017918028722809325,PyVRP integer proxy objective
T24_SMOKE__JJJ__COST_CARBON__S2026080201,cn-jjj-100c-01-V2-LOCATIONS,JJJ,COST_CARBON,cost_plus_carbon,2026080201,cv_only,1,5,5,9223372036854775807,2547950,9223372036852227857,0.9999999999997238,PyVRP integer proxy objective
T24_SMOKE__JJJ__COST_CARBON__S2026080201,cn-jjj-100c-01-V2-LOCATIONS,JJJ,COST_CARBON,cost_plus_carbon,2026080201,cv_only,2,16,16,2547950,2264091,283859,0.11140681724523636,PyVRP integer proxy objective
T24_SMOKE__JJJ__COST_CARBON__S2026080201,cn-jjj-100c-01-V2-LOCATIONS,JJJ,COST_CARBON,cost_plus_carbon,2026080201,cv_only,3,28,28,2264091,2210149,53942,0.023825014100581646,PyVRP integer proxy objective
T24_SMOKE__JJJ__COST_CARBON__S2026080201,cn-jjj-100c-01-V2-LOCATIONS,JJJ,COST_CARBON,cost_plus_carbon,2026080201,cv_only,4,57,57,2210149,2201602,8547,0.0038671600873968225,PyVRP integer proxy objective
T24_SMOKE__JJJ__COST_CARBON__S2026080201,cn-jjj-100c-01-V2-LOCATIONS,JJJ,COST_CARBON,cost_plus_carbon,2026080201,naive_ev,1,4,64,9223372036854775807,2106579,9223372036852669228,0.9999999999997716,PyVRP integer proxy objective
T24_SMOKE__JJJ__COST_CARBON__S2026080201,cn-jjj-100c-01-V2-LOCATIONS,JJJ,COST_CARBON,cost_plus_carbon,2026080201,naive_ev,2,11,71,2106579,1958324,148255,0.07037713752961555,PyVRP integer proxy objective
T24_SMOKE__JJJ__COST_CARBON__S2026080201,cn-jjj-100c-01-V2-LOCATIONS,JJJ,COST_CARBON,cost_plus_carbon,2026080201,naive_ev,3,22,82,1958324,1732409,225915,0.11536140087135735,PyVRP integer proxy objective
T24_SMOKE__JJJ__COST_CARBON__S2026080201,cn-jjj-100c-01-V2-LOCATIONS,JJJ,COST_CARBON,cost_plus_carbon,2026080201,naive_ev,4,48,108,1732409,1708331,24078,0.013898565523499358,PyVRP integer proxy objective
T24_SMOKE__JJJ__COST_CARBON__S2026080201,cn-jjj-100c-01-V2-LOCATIONS,JJJ,COST_CARBON,cost_plus_carbon,2026080201,mechanism_ev,1,7,127,9223372036854775807,1734510,9223372036853041297,0.9999999999998119,PyVRP integer proxy objective
T24_SMOKE__JJJ__COST_CARBON__S2026080201,cn-jjj-100c-01-V2-LOCATIONS,JJJ,COST_CARBON,cost_plus_carbon,2026080201,mechanism_ev,2,22,142,1734510,1703431,31079,0.017918028722809325,PyVRP integer proxy objective
T24_SMOKE__JJJ__COST__S2026080201,cn-jjj-100c-01-V2-LOCATIONS,JJJ,COST,cost_min,2026080201,cv_only,1,5,5,9223372036854775807,2547950,9223372036852227857,0.9999999999997238,PyVRP integer proxy objective
T24_SMOKE__JJJ__COST__S2026080201,cn-jjj-100c-01-V2-LOCATIONS,JJJ,COST,cost_min,2026080201,cv_only,2,16,16,2547950,2264091,283859,0.11140681724523636,PyVRP integer proxy objective
T24_SMOKE__JJJ__COST__S2026080201,cn-jjj-100c-01-V2-LOCATIONS,JJJ,COST,cost_min,2026080201,cv_only,3,28,28,2264091,2210149,53942,0.023825014100581646,PyVRP integer proxy objective
T24_SMOKE__JJJ__COST__S2026080201,cn-jjj-100c-01-V2-LOCATIONS,JJJ,COST,cost_min,2026080201,cv_only,4,57,57,2210149,2201602,8547,0.0038671600873968225,PyVRP integer proxy objective
T24_SMOKE__JJJ__COST__S2026080201,cn-jjj-100c-01-V2-LOCATIONS,JJJ,COST,cost_min,2026080201,naive_ev,1,4,64,9223372036854775807,2106579,9223372036852669228,0.9999999999997716,PyVRP integer proxy objective
T24_SMOKE__JJJ__COST__S2026080201,cn-jjj-100c-01-V2-LOCATIONS,JJJ,COST,cost_min,2026080201,naive_ev,2,11,71,2106579,1958324,148255,0.07037713752961555,PyVRP integer proxy objective
T24_SMOKE__JJJ__COST__S2026080201,cn-jjj-100c-01-V2-LOCATIONS,JJJ,COST,cost_min,2026080201,naive_ev,3,22,82,1958324,1732409,225915,0.11536140087135735,PyVRP integer proxy objective
T24_SMOKE__JJJ__COST__S2026080201,cn-jjj-100c-01-V2-LOCATIONS,JJJ,COST,cost_min,2026080201,naive_ev,4,48,108,1732409,1708331,24078,0.013898565523499358,PyVRP integer proxy objective
T24_SMOKE__JJJ__COST__S2026080201,cn-jjj-100c-01-V2-LOCATIONS,JJJ,COST,cost_min,2026080201,mechanism_ev,1,7,127,9223372036854775807,1734510,9223372036853041297,0.9999999999998119,PyVRP integer proxy objective
T24_SMOKE__JJJ__COST__S2026080201,cn-jjj-100c-01-V2-LOCATIONS,JJJ,COST,cost_min,2026080201,mechanism_ev,2,22,142,1734510,1703431,31079,0.017918028722809325,PyVRP integer proxy objective
