task_id,instance_id,region,arm,charge_timing_policy,seed,depot_id,slot_index,slot_start_second,slot_end_second,charging_energy_kwh,electricity_cost_cny,charging_emissions_kgco2e
T24_SMOKE__JJJ__ASAP__S2026080201,cn-jjj-100c-01-V2-LOCATIONS,JJJ,ASAP,asap,2026080201,D_beijing,0,0,1800,33.0,18.588429750000003,21.228899999999996
T24_SMOKE__JJJ__ASAP__S2026080201,cn-jjj-100c-01-V2-LOCATIONS,JJJ,ASAP,asap,2026080201,D_beijing,1,1800,3600,33.0,18.588429750000003,21.228899999999996
T24_SMOKE__JJJ__ASAP__S2026080201,cn-jjj-100c-01-V2-LOCATIONS,JJJ,ASAP,asap,2026080201,D_beijing,2,3600,5400,21.357814798799893,12.030552727303098,13.75229694894725
T24_SMOKE__JJJ__ASAP__S2026080201,cn-jjj-100c-01-V2-LOCATIONS,JJJ,ASAP,asap,2026080201,D_beijing,3,5400,7200,1.4478975737656719,0.8155800707617769,0.932301247747716
T24_SMOKE__JJJ__ASAP__S2026080201,cn-jjj-100c-01-V2-LOCATIONS,JJJ,ASAP,asap,2026080201,D_beijing,4,7200,9000,0.0,0.0,0.0
T24_SMOKE__JJJ__ASAP__S2026080201,cn-jjj-100c-01-V2-LOCATIONS,JJJ,ASAP,asap,2026080201,D_beijing,5,9000,10800,0.0,0.0,0.0
T24_SMOKE__JJJ__ASAP__S2026080201,cn-jjj-100c-01-V2-LOCATIONS,JJJ,ASAP,asap,2026080201,D_beijing,6,10800,12600,0.0,0.0,0.0
T24_SMOKE__JJJ__ASAP__S2026080201,cn-jjj-100c-01-V2-LOCATIONS,JJJ,ASAP,asap,2026080201,D_beijing,7,12600,14400,0.0,0.0,0.0
T24_SMOKE__JJJ__ASAP__S2026080201,cn-jjj-100c-01-V2-LOCATIONS,JJJ,ASAP,asap,2026080201,D_beijing,8,14400,16200,0.0,0.0,0.0
T24_SMOKE__JJJ__ASAP__S2026080201,cn-jjj-100c-01-V2-LOCATIONS,JJJ,ASAP,asap,2026080201,D_beijing,9,16200,18000,0.0,0.0,0.0
T24_SMOKE__JJJ__ASAP__S2026080201,cn-jjj-100c-01-V2-LOCATIONS,JJJ,ASAP,asap,2026080201,D_beijing,10,18000,19800,0.0,0.0,0.0
T24_SMOKE__JJJ__ASAP__S2026080201,cn-jjj-100c-01-V2-LOCATIONS,JJJ,ASAP,asap,2026080201,D_beijing,11,19800,21600,0.0,0.0,0.0
T24_SMOKE__JJJ__ASAP__S2026080201,cn-jjj-100c-01-V2-LOCATIONS,JJJ,ASAP,asap,2026080201,D_beijing,12,21600,23400,0.0,0.0,0.0
T24_SMOKE__JJJ__ASAP__S2026080201,cn-jjj-100c-01-V2-LOCATIONS,JJJ,ASAP,asap,2026080201,D_beijing,13,23400,25200,0.0,0.0,0.0
T24_SMOKE__JJJ__ASAP__S2026080201,cn-jjj-100c-01-V2-LOCATIONS,JJJ,ASAP,asap,2026080201,D_beijing,14,25200,27000,0.0,0.0,0.0
T24_SMOKE__JJJ__ASAP__S2026080201,cn-jjj-100c-01-V2-LOCATIONS,JJJ,ASAP,asap,2026080201,D_beijing,15,27000,28800,0.0,0.0,0.0
T24_SMOKE__JJJ__ASAP__S2026080201,cn-jjj-100c-01-V2-LOCATIONS,JJJ,ASAP,asap,2026080201,D_beijing,16,28800,30600,0.0,0.0,0.0
T24_SMOKE__JJJ__ASAP__S2026080201,cn-jjj-100c-01-V2-LOCATIONS,JJJ,ASAP,asap,2026080201,D_beijing,17,30600,32400,0.0,0.0,0.0
T24_SMOKE__JJJ__ASAP__S2026080201,cn-jjj-100c-01-V2-LOCATIONS,JJJ,ASAP,asap,2026080201,D_beijing,18,32400,34200,0.0,0.0,0.0
T24_SMOKE__JJJ__ASAP__S2026080201,cn-jjj-100c-01-V2-LOCATIONS,JJJ,ASAP,asap,2026080201,D_beijing,19,34200,36000,0.0,0.0,0.0
T24_SMOKE__JJJ__ASAP__S2026080201,cn-jjj-100c-01-V2-LOCATIONS,JJJ,ASAP,asap,2026080201,D_beijing,20,36000,37800,0.0,0.0,0.0
T24_SMOKE__JJJ__ASAP__S2026080201,cn-jjj-100c-01-V2-LOCATIONS,JJJ,ASAP,asap,2026080201,D_beijing,21,37800,39600,0.0,0.0,0.0
T24_SMOKE__JJJ__ASAP__S2026080201,cn-jjj-100c-01-V2-LOCATIONS,JJJ,ASAP,asap,2026080201,D_beijing,22,39600,41400,0.0,0.0,0.0
T24_SMOKE__JJJ__ASAP__S2026080201,cn-jjj-100c-01-V2-LOCATIONS,JJJ,ASAP,asap,2026080201,D_beijing,23,41400,43200,0.0,0.0,0.0
T24_SMOKE__JJJ__ASAP__S2026080201,cn-jjj-100c-01-V2-LOCATIONS,JJJ,ASAP,asap,2026080201,D_beijing,24,43200,45000,0.0,0.0,0.0
T24_SMOKE__JJJ__ASAP__S2026080201,cn-jjj-100c-01-V2-LOCATIONS,JJJ,ASAP,asap,2026080201,D_beijing,25,45000,46800,0.0,0.0,0.0
T24_SMOKE__JJJ__ASAP__S2026080201,cn-jjj-100c-01-V2-LOCATIONS,JJJ,ASAP,asap,2026080201,D_beijing,26,46800,48600,0.0,0.0,0.0
T24_SMOKE__JJJ__ASAP__S2026080201,cn-jjj-100c-01-V2-LOCATIONS,JJJ,ASAP,asap,2026080201,D_beijing,27,48600,50400,0.0,0.0,0.0
T24_SMOKE__JJJ__ASAP__S2026080201,cn-jjj-100c-01-V2-LOCATIONS,JJJ,ASAP,asap,2026080201,D_beijing,28,50400,52200,0.0,0.0,0.0
T24_SMOKE__JJJ__ASAP__S2026080201,cn-jjj-100c-01-V2-LOCATIONS,JJJ,ASAP,asap,2026080201,D_beijing,29,52200,54000,5.529053743244456,4.624736917897187,0.8586620463258641
T24_SMOKE__JJJ__ASAP__S2026080201,cn-jjj-100c-01-V2-LOCATIONS,JJJ,ASAP,asap,2026080201,D_beijing,30,54000,55800,11.0,9.20087025,2.0075
T24_SMOKE__JJJ__ASAP__S2026080201,cn-jjj-100c-01-V2-LOCATIONS,JJJ,ASAP,asap,2026080201,D_beijing,31,55800,57600,6.675052388888859,5.583299176556267,1.2181970609722168
T24_SMOKE__JJJ__ASAP__S2026080201,cn-jjj-100c-01-V2-LOCATIONS,JJJ,ASAP,asap,2026080201,D_beijing,32,57600,59400,0.0,0.0,0.0
T24_SMOKE__JJJ__ASAP__S2026080201,cn-jjj-100c-01-V2-LOCATIONS,JJJ,ASAP,asap,2026080201,D_beijing,33,59400,61200,0.0,0.0,0.0
T24_SMOKE__JJJ__ASAP__S2026080201,cn-jjj-100c-01-V2-LOCATIONS,JJJ,ASAP,asap,2026080201,D_beijing,34,61200,63000,0.0,0.0,0.0
T24_SMOKE__JJJ__ASAP__S2026080201,cn-jjj-100c-01-V2-LOCATIONS,JJJ,ASAP,asap,2026080201,D_beijing,35,63000,64800,0.0,0.0,0.0
T24_SMOKE__JJJ__ASAP__S2026080201,cn-jjj-100c-01-V2-LOCATIONS,JJJ,ASAP,asap,2026080201,D_beijing,36,64800,66600,0.0,0.0,0.0
T24_SMOKE__JJJ__ASAP__S2026080201,cn-jjj-100c-01-V2-LOCATIONS,JJJ,ASAP,asap,2026080201,D_beijing,37,66600,68400,0.0,0.0,0.0
T24_SMOKE__JJJ__ASAP__S2026080201,cn-jjj-100c-01-V2-LOCATIONS,JJJ,ASAP,asap,2026080201,D_beijing,38,68400,70200,0.0,0.0,0.0
T24_SMOKE__JJJ__ASAP__S2026080201,cn-jjj-100c-01-V2-LOCATIONS,JJJ,ASAP,asap,2026080201,D_beijing,39,70200,72000,0.0,0.0,0.0
T24_SMOKE__JJJ__ASAP__S2026080201,cn-jjj-100c-01-V2-LOCATIONS,JJJ,ASAP,asap,2026080201,D_beijing,40,72000,73800,0.0,0.0,0.0
T24_SMOKE__JJJ__ASAP__S2026080201,cn-jjj-100c-01-V2-LOCATIONS,JJJ,ASAP,asap,2026080201,D_beijing,41,73800,75600,0.0,0.0,0.0
T24_SMOKE__JJJ__ASAP__S2026080201,cn-jjj-100c-01-V2-LOCATIONS,JJJ,ASAP,asap,2026080201,D_beijing,42,75600,77400,0.0,0.0,0.0
T24_SMOKE__JJJ__ASAP__S2026080201,cn-jjj-100c-01-V2-LOCATIONS,JJJ,ASAP,asap,2026080201,D_beijing,43,77400,79200,0.0,0.0,0.0
T24_SMOKE__JJJ__ASAP__S2026080201,cn-jjj-100c-01-V2-LOCATIONS,JJJ,ASAP,asap,2026080201,D_beijing,44,79200,81000,0.0,0.0,0.0
T24_SMOKE__JJJ__ASAP__S2026080201,cn-jjj-100c-01-V2-LOCATIONS,JJJ,ASAP,asap,2026080201,D_beijing,45,81000,82800,0.0,0.0,0.0
T24_SMOKE__JJJ__ASAP__S2026080201,cn-jjj-100c-01-V2-LOCATIONS,JJJ,ASAP,asap,2026080201,D_beijing,46,82800,84600,0.0,0.0,0.0
T24_SMOKE__JJJ__ASAP__S2026080201,cn-jjj-100c-01-V2-LOCATIONS,JJJ,ASAP,asap,2026080201,D_beijing,47,84600,86400,0.0,0.0,0.0
T24_SMOKE__JJJ__ASAP__S2026080201,cn-jjj-100c-01-V2-LOCATIONS,JJJ,ASAP,asap,2026080201,D_tianjin,0,0,1800,11.0,4.83965625,8.657
T24_SMOKE__JJJ__ASAP__S2026080201,cn-jjj-100c-01-V2-LOCATIONS,JJJ,ASAP,asap,2026080201,D_tianjin,1,1800,3600,8.518901457236751,3.748050425513632,6.704375446845323
