case,recharge_mode,status,route_count,customer_count,physical_cv,physical_ev,depot_charge_power_kw,charge_energy_kwh,max_trips_per_vehicle,wall_seconds,route_violation_count
solo_business,partial,PASS_14_14_WITNESS,59,449,14,14,22.0,1592.4067376167736,3,29.825927540980047,0
shared_business,partial,PASS_14_14_WITNESS,59,449,14,14,22.0,1592.4067376167736,3,76.99255741597153,0
