baseline,paired_count,wilcoxon_statistic,p_value_alns_less,note
GA,69,120.5,3.8917514063582495e-10,neutral material only; user writes paper claim
LNS,69,1203.0,0.9678131356593876,neutral material only; user writes paper claim
PSO,69,18.0,1.257265032156498e-12,neutral material only; user writes paper claim
VNS,69,203.0,7.960895070623442e-08,neutral material only; user writes paper claim
ACO,69,25.0,1.7161557108226314e-12,neutral material only; user writes paper claim
GA-VNS,69,200.0,2.6019565693151563e-08,neutral material only; user writes paper claim
GWO,69,141.0,1.5828978050557946e-08,neutral material only; user writes paper claim
IWD,69,37.0,2.91341598557184e-12,neutral material only; user writes paper claim
