run_id,phase,algorithm,display_algorithm,category,instance,seed,best_cost,common_lift,native_lift,flip_lift,native_best_updates,route_count_unique
D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-100c-01__t3_main_alns__seed1,D_G5_TIER1,t3_main_alns,alns_e2_throughput+LOCAL_SEARCH,multidepot,e2-multidepot-100c-01,1,2483.1514638588815,0.0,1477.7627625735859,0,70,1
D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-100c-01__t3_main_alns__seed2,D_G5_TIER1,t3_main_alns,alns_e2_throughput+LOCAL_SEARCH,multidepot,e2-multidepot-100c-01,2,2519.202563257162,0.0,1441.7116631753051,0,95,1
D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-100c-01__t3_main_alns__seed3,D_G5_TIER1,t3_main_alns,alns_e2_throughput+LOCAL_SEARCH,multidepot,e2-multidepot-100c-01,3,2515.9644958493736,0.0,1444.9497305830937,0,60,1
D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-10c-01__ACO__seed1,D_G5_TIER1,ACO,ACO,multidepot,e2-multidepot-10c-01,1,392.77403749331353,0.0,83.37007587527762,0,14,2
D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-10c-01__ACO__seed2,D_G5_TIER1,ACO,ACO,multidepot,e2-multidepot-10c-01,2,392.71251477303423,0.0,83.43159859555692,0,8,2
D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-10c-01__ACO__seed3,D_G5_TIER1,ACO,ACO,multidepot,e2-multidepot-10c-01,3,393.71415209634927,0.0,82.42996127224188,0,10,2
D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-10c-01__GA__seed1,D_G5_TIER1,GA,GA,multidepot,e2-multidepot-10c-01,1,387.9007343319535,0.0,88.24337903663763,2.5075099107027086,7,2
D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-10c-01__GA__seed2,D_G5_TIER1,GA,GA,multidepot,e2-multidepot-10c-01,2,371.9993673208387,0.0,104.14474604775245,2.5075099107027086,7,2
D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-10c-01__GA__seed3,D_G5_TIER1,GA,GA,multidepot,e2-multidepot-10c-01,3,387.9007343319535,0.0,88.24337903663763,19.01294622746235,8,2
D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-10c-01__GA-VNS__seed1,D_G5_TIER1,GA-VNS,GA-VNS,multidepot,e2-multidepot-10c-01,1,371.9993673208387,0.0,104.14474604775245,22.66935801810058,4,2
D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-10c-01__GA-VNS__seed2,D_G5_TIER1,GA-VNS,GA-VNS,multidepot,e2-multidepot-10c-01,2,371.9993673208387,0.0,104.14474604775245,11.557023790840617,9,2
