category,instance,display_algorithm,rows,ok_rows,mean_best_cost,std_best_cost,min_best_cost,mean_actual_evals,mean_elapsed_seconds,mean_evals_per_second,mean_E_total,mean_cost_carbon,mean_low_carbon_charging_share,exception_status,exception_note,mechanism_explanation,evidence_source
multidepot,e2-multidepot-100c-01,ACO,3,3,2886.4688380784546,59.363797474328294,2818.2380480742686,16000.0,56.71210823599055,282.14560042512767,1355.8931553928708,68.25566144247712,0.0,NONE,,,
multidepot,e2-multidepot-100c-01,GA,3,3,2891.0520517251475,20.718707013242664,2868.9686997805334,16000.0,50.77393533335029,315.5631222937869,1232.6229808920648,62.05024085810655,0.14979203004043268,NONE,,,
multidepot,e2-multidepot-100c-01,GA-VNS,3,3,2900.183979654359,8.614795769404456,2894.1244745663066,16000.0,170.56779318033173,93.87009712765942,1239.3255984116474,62.38765062404233,0.14979203004043268,NONE,,,
multidepot,e2-multidepot-100c-01,GWO,2,2,2879.847989100512,121.88072930823867,2793.6652989106947,16000.0,693.9667060830106,23.05643974783512,1346.7797161337726,67.79689091017411,0.5,NONE,,,
multidepot,e2-multidepot-100c-01,IWD,3,3,2966.6305571320877,48.92411823360153,2915.2266101452287,16000.0,120.42673220866709,132.90644902037528,1402.5399835242054,70.6038627706085,0.09598632320649803,NONE,,,
multidepot,e2-multidepot-100c-01,LNS,3,3,2475.004622325828,10.173612454705209,2467.994869985334,16000.0,816.4798295136716,19.650089446817677,791.7203342902479,39.85520162817108,0.18626575292826505,NONE,,,
multidepot,e2-multidepot-100c-01,PSO,3,3,2894.5556342577875,32.70527569621478,2862.068069998477,16000.0,111.70886098600265,143.35894915670335,1295.9688833086125,65.23907358575556,0.17239912332778765,NONE,,,
multidepot,e2-multidepot-100c-01,VNS,3,3,2834.896611929959,59.450495634795885,2787.006409755006,16000.0,206.4713751389936,77.59652050549232,1185.0346560530456,59.65464458571032,0.22642328215063132,NONE,,,
multidepot,e2-multidepot-100c-01,alns_e2_throughput+LOCAL_SEARCH,3,3,2506.1061743218056,19.945182863585384,2483.1514638588815,16000.0,830.8469030273263,19.579219781097912,868.1185902634137,43.70108983386025,0.26491293333686067,NONE,,,
multidepot,e2-multidepot-10c-01,ACO,3,3,393.0669014542323,0.5613789331353825,392.71251477303423,16000.0,2.3261519723261395,6881.976670556308,177.27681362911747,8.924114798089773,0.0,NONE,,,
multidepot,e2-multidepot-10c-01,GA,3,3,382.6002786615819,9.180658524350173,371.9993673208387,16000.0,6.570046639002006,2443.5080636554408,134.63871370596826,6.777712847958442,0.32970356405598183,NONE,,,
multidepot,e2-multidepot-10c-01,GA-VNS,3,3,371.9993673208387,0.0,371.9993673208387,16000.0,10.95709459699962,1460.4234069474207,119.16000823688682,5.998514814644883,0.2886898034448707,NONE,,,
multidepot,e2-multidepot-10c-01,GWO,3,3,387.9007343319535,0.0,387.9007343319535,16000.0,38.038300777669065,420.86718258762005,142.37806644050897,7.167311864615222,0.35021044436153737,NONE,,,
multidepot,e2-multidepot-10c-01,IWD,3,3,395.46666775183945,0.11564459804366896,395.39551257369,16000.0,3.488480999668051,4588.872780829072,178.69559162336938,8.995536082320415,0.0,NONE,,,
multidepot,e2-multidepot-10c-01,LNS,3,3,371.9993673208387,0.0,371.9993673208387,16000.0,27.593118222343037,581.5438480626727,119.16000823688682,5.998514814644883,0.2886898034448707,NONE,,,
multidepot,e2-multidepot-10c-01,PSO,3,3,388.80949685728353,1.5740228658861588,387.9007343319535,16000.0,4.14392506966639,3861.3446723976977,143.11194345050455,7.2042552332984,0.35021044436153737,NONE,,,
multidepot,e2-multidepot-10c-01,VNS,3,3,371.9993673208387,0.0,371.9993673208387,16000.0,10.777390333658937,1484.9050889526798,119.16000823688682,5.998514814644883,0.2886898034448707,NONE,,,
multidepot,e2-multidepot-10c-01,alns_e2_throughput+LOCAL_SEARCH,3,3,382.6002786615819,9.180658524350173,371.9993673208387,16000.0,48.747802055663975,380.5739022848302,134.63871370596826,6.777712847958442,0.32970356405598183,NONE,,,
multidepot,e2-multidepot-150c-01,GA,1,1,3686.1097292793215,0.0,3686.1097292793215,16000.0,107.80567666699062,148.4151898471222,1334.437468001023,67.17558213917151,0.252050381551047,NONE,,,
