run_id,phase,algorithm,display_algorithm,category,instance,seed,step,eval,operator,channel,best_cost,route_count,time_seconds
D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-100c-01__ACO__seed1,D_G5_TIER1,ACO,ACO,multidepot,e2-multidepot-100c-01,1,0,0,shared_warm_start,shared_warm_start,3960.9142264324673,15,0.0
D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-100c-01__ACO__seed1,D_G5_TIER1,ACO,ACO,multidepot,e2-multidepot-100c-01,1,1,0,reference_flip_closure,reference_flip_closure,3960.9142264324673,15,0.014883625000948086
D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-100c-01__ACO__seed1,D_G5_TIER1,ACO,ACO,multidepot,e2-multidepot-100c-01,1,2,1,aco_vnd_relocate,native_aco_vnd_relocate,3838.637712757327,14,0.03856916699442081
D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-100c-01__ACO__seed1,D_G5_TIER1,ACO,ACO,multidepot,e2-multidepot-100c-01,1,3,3,aco_ant_vnd,native_aco_ant_vnd,3781.061739211349,14,0.05398020800203085
D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-100c-01__ACO__seed1,D_G5_TIER1,ACO,ACO,multidepot,e2-multidepot-100c-01,1,4,16,aco_vnd_relocate,native_aco_vnd_relocate,3724.448101463921,14,0.1224985419830773
D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-100c-01__ACO__seed1,D_G5_TIER1,ACO,ACO,multidepot,e2-multidepot-100c-01,1,5,18,aco_ant_vnd,native_aco_ant_vnd,3499.2921554804566,14,0.13402308299555443
D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-100c-01__ACO__seed1,D_G5_TIER1,ACO,ACO,multidepot,e2-multidepot-100c-01,1,6,24,aco_ant_vnd,native_aco_ant_vnd,3446.0025314867225,14,0.16571379199740477
D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-100c-01__ACO__seed1,D_G5_TIER1,ACO,ACO,multidepot,e2-multidepot-100c-01,1,7,78,aco_ant_vnd,native_aco_ant_vnd,3373.4995776626893,14,0.36946516699390486
D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-100c-01__ACO__seed1,D_G5_TIER1,ACO,ACO,multidepot,e2-multidepot-100c-01,1,8,252,aco_ant_vnd,native_aco_ant_vnd,3340.775520725992,14,1.0531493329908699
D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-100c-01__ACO__seed1,D_G5_TIER1,ACO,ACO,multidepot,e2-multidepot-100c-01,1,9,282,aco_ant_vnd,native_aco_ant_vnd,3265.6935509621867,14,1.1801498330023605
D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-100c-01__ACO__seed1,D_G5_TIER1,ACO,ACO,multidepot,e2-multidepot-100c-01,1,10,339,aco_ant_vnd,native_aco_ant_vnd,3214.5256317528374,14,1.4017587499984074
D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-100c-01__ACO__seed1,D_G5_TIER1,ACO,ACO,multidepot,e2-multidepot-100c-01,1,11,405,aco_ant_vnd,native_aco_ant_vnd,3146.506202619004,14,1.6528532079828437
D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-100c-01__ACO__seed1,D_G5_TIER1,ACO,ACO,multidepot,e2-multidepot-100c-01,1,12,448,aco_vnd_relocate,native_aco_vnd_relocate,3133.1456246473354,14,1.8147729169868398
D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-100c-01__ACO__seed1,D_G5_TIER1,ACO,ACO,multidepot,e2-multidepot-100c-01,1,13,480,aco_ant_vnd,native_aco_ant_vnd,3125.5766961682357,14,1.9310031250061002
D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-100c-01__ACO__seed1,D_G5_TIER1,ACO,ACO,multidepot,e2-multidepot-100c-01,1,14,609,aco_ant_vnd,native_aco_ant_vnd,3044.527629439509,14,2.3640671669854783
D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-100c-01__ACO__seed1,D_G5_TIER1,ACO,ACO,multidepot,e2-multidepot-100c-01,1,15,3183,aco_ant_vnd,native_aco_ant_vnd,3042.9049887458386,14,11.235955082986038
D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-100c-01__ACO__seed1,D_G5_TIER1,ACO,ACO,multidepot,e2-multidepot-100c-01,1,16,3408,aco_ant_vnd,native_aco_ant_vnd,3040.9611901736566,14,12.028137332992628
D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-100c-01__ACO__seed1,D_G5_TIER1,ACO,ACO,multidepot,e2-multidepot-100c-01,1,17,3426,aco_ant_vnd,native_aco_ant_vnd,3028.4872601936777,14,12.096519749989966
D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-100c-01__ACO__seed1,D_G5_TIER1,ACO,ACO,multidepot,e2-multidepot-100c-01,1,18,3627,aco_ant_vnd,native_aco_ant_vnd,2951.15086782838,14,12.787557792005828
D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-100c-01__ACO__seed1,D_G5_TIER1,ACO,ACO,multidepot,e2-multidepot-100c-01,1,19,8625,aco_ant_vnd,native_aco_ant_vnd,2942.7803497667624,14,30.034187582990853
D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-100c-01__ACO__seed1,D_G5_TIER1,ACO,ACO,multidepot,e2-multidepot-100c-01,1,20,10866,aco_ant_vnd,native_aco_ant_vnd,2914.8851171730944,14,37.793892582994886
D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-100c-01__ACO__seed2,D_G5_TIER1,ACO,ACO,multidepot,e2-multidepot-100c-01,2,0,0,shared_warm_start,shared_warm_start,3960.9142264324673,15,0.0
D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-100c-01__ACO__seed2,D_G5_TIER1,ACO,ACO,multidepot,e2-multidepot-100c-01,2,1,0,reference_flip_closure,reference_flip_closure,3960.9142264324673,15,0.014576041023246944
D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-100c-01__ACO__seed2,D_G5_TIER1,ACO,ACO,multidepot,e2-multidepot-100c-01,2,2,4,aco_vnd_relocate,native_aco_vnd_relocate,3841.74057121917,14,0.048476875002961606
D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-100c-01__ACO__seed2,D_G5_TIER1,ACO,ACO,multidepot,e2-multidepot-100c-01,2,3,5,aco_vnd_swap,native_aco_vnd_swap,3751.727539924737,14,0.07940325001254678
D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-100c-01__ACO__seed2,D_G5_TIER1,ACO,ACO,multidepot,e2-multidepot-100c-01,2,4,6,aco_ant_vnd,native_aco_ant_vnd,3566.0898465187684,14,0.08496583299711347
D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-100c-01__ACO__seed2,D_G5_TIER1,ACO,ACO,multidepot,e2-multidepot-100c-01,2,5,84,aco_ant_vnd,native_aco_ant_vnd,3494.364583291667,14,0.38950445799855515
D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-100c-01__ACO__seed2,D_G5_TIER1,ACO,ACO,multidepot,e2-multidepot-100c-01,2,6,132,aco_ant_vnd,native_aco_ant_vnd,3459.4741181012087,14,0.5832016660133377
D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-100c-01__ACO__seed2,D_G5_TIER1,ACO,ACO,multidepot,e2-multidepot-100c-01,2,7,159,aco_ant_vnd,native_aco_ant_vnd,3370.729563150173,14,0.6944580000126734
D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-100c-01__ACO__seed2,D_G5_TIER1,ACO,ACO,multidepot,e2-multidepot-100c-01,2,8,246,aco_ant_vnd,native_aco_ant_vnd,3251.0571834728717,14,1.033436249999795
