baseline,paired_count,alns_lower,tie,alns_higher
GA,69,55,5,9
LNS,69,22,8,39
PSO,69,66,2,1
VNS,69,45,9,15
ACO,69,65,2,2
GA-VNS,69,49,7,13
GWO,69,46,11,12
IWD,69,63,2,4
