alns_cost,alns_evals,alns_status,battery_kwh,category,comparison_mode,gap_pct_alns_minus_lns,instance,lns_cost,lns_evals,lns_status,paired_winner,replicate,scenario,seed,size,winner_algorithm_for_composition,winner_all_cv,winner_all_ev,winner_cv_physical,winner_ev_physical,winner_ev_route_share,winner_max_trips_per_vehicle
5488.782859056312,8000,OK,80.0,multidepot,fixed_budget,0.0,e2-multidepot-150c-01,5488.782859056312,8000,OK,tie,1,budget8k80,1,150,alns_e2_throughput,False,False,10,1,0.045454545454545456,3
621.371321439464,8000,OK,80.0,multidepot,fixed_budget,0.0,e2-multidepot-15c-01,621.371321439464,8000,OK,tie,1,budget8k80,1,15,alns_e2_throughput,True,False,2,0,0.0,1
6608.239546640648,8000,OK,80.0,multidepot,fixed_budget,0.0,e2-multidepot-200c-01,6608.239546640648,8000,OK,tie,1,budget8k80,1,200,alns_e2_throughput,False,False,14,1,0.034482758620689655,2
1130.7005298293218,8000,OK,80.0,multidepot,fixed_budget,0.0,e2-multidepot-20c-01,1130.7005298293218,8000,OK,tie,1,budget8k80,1,20,alns_e2_throughput,False,False,2,1,0.2,2
828.678306576153,8000,OK,80.0,multidepot,fixed_budget,0.0,e2-multidepot-25c-01,828.678306576153,8000,OK,tie,1,budget8k80,1,25,alns_e2_throughput,False,False,2,1,0.2,2
2020.688951370618,8000,OK,80.0,multidepot,fixed_budget,0.0,e2-multidepot-50c-01,2020.688951370618,8000,OK,tie,1,budget8k80,1,50,alns_e2_throughput,False,False,4,1,0.1111111111111111,2
3062.7977925322516,8000,OK,80.0,multidepot,fixed_budget,0.0,e2-multidepot-75c-01,3062.7977925322516,8000,OK,tie,1,budget8k80,1,75,alns_e2_throughput,False,False,6,1,0.07692307692307693,2
4086.253616024695,8000,OK,80.0,threeshift,fixed_budget,0.0,e2-threeshift-100c-01,4086.253616024695,8000,OK,tie,1,budget8k80,1,100,alns_e2_throughput,False,False,7,1,0.06666666666666667,2
5803.553350198798,8000,OK,80.0,threeshift,fixed_budget,0.0,e2-threeshift-150c-01,5803.553350198798,8000,OK,tie,1,budget8k80,1,150,alns_e2_throughput,False,False,10,1,0.045454545454545456,3
6633.4344963179965,8000,OK,80.0,threeshift,fixed_budget,0.0,e2-threeshift-200c-01,6633.4344963179965,8000,OK,tie,1,budget8k80,1,200,alns_e2_throughput,False,False,14,1,0.037037037037037035,2
1783.6949728422799,8000,OK,80.0,threeshift,fixed_budget,0.0,e2-threeshift-50c-01,1783.6949728422799,8000,OK,tie,1,budget8k80,1,50,alns_e2_throughput,False,False,4,1,0.125,2
