active_flags,actual_evals,algorithm,battery_kwh,best_cost,category,checkpoint_path,checkpoint_readable,commit_hash,comparison_mode,cv_physical_vehicle_count,cv_route_count,elapsed_seconds,ev_physical_vehicle_count,ev_route_count,eval_budget_backstop,evals_per_second,failure_reason,feasible,gate_status,instance,max_trips_per_physical_vehicle,numpy,python,replicate,route_count,runtime_cap_seconds,scenario,scenario_label,seed,size,status,timings,violation_count,winner_all_cv,winner_all_ev,winner_ev_route_share,worker_stderr_tail,worker_stdout_tail
{},8000,LNS,100.0,3960.9142264324673,multidepot,/Volumes/移动硬盘（512G）/ReSETP/baselines/e2_alns/wallclock_battery_preflight_stagea_data/checkpoints/budget8k100/e2-multidepot-100c-01__LNS__seed1.json,True,c03ef202d3f60b6dee583a9dc1ae5c63025f2886,fixed_budget,7,14,268.9149937500042,1,1,8000,29.74917794073308,,True,OK,e2-multidepot-100c-01,2,2.3.5,/opt/anaconda3/bin/python3.13,1,15,900.0,budget8k100,100kWh lowered fixed budget,1,100,OK,{},0,False,False,0.06666666666666667,,
"{""SETP_ALNS_CRUSH_ADAPTIVE_Q"": ""1"", ""SETP_ALNS_CRUSH_LOCAL_SEARCH"": ""0"", ""SETP_ALNS_CRUSH_REPAIR_STRUCTURE_CACHE"": ""1"", ""SETP_ALNS_CRUSH_ROUTE_COST_CACHE"": ""1"", ""SETP_ALNS_CRUSH_ROUTE_ELIMINATION"": ""0"", ""SETP_ALNS_CRUSH_SA_ACCEPTANCE"": ""1"", ""SETP_ALNS_CRUSH_SA_MODE"": ""lns_cooling"", ""SETP_ALNS_CRUSH_SCAN_REBUILD"": ""1"", ""SETP_ALNS_CRUSH_SCAN_RESTART"": ""1"", ""SETP_ALNS_CRUSH_TIMING_LEDGER"": ""1"", ""SETP_ALNS_CRUSH_TRUE_ACCEPTANCE"": ""0"", ""SETP_ALNS_CRUSH_TRUE_REPAIR"": ""1""}",8000,alns_e2_throughput,100.0,3960.9142264324673,multidepot,/Volumes/移动硬盘（512G）/ReSETP/baselines/e2_alns/wallclock_battery_preflight_stagea_data/checkpoints/budget8k100/e2-multidepot-100c-01__alns_e2_throughput__seed1.json,True,c03ef202d3f60b6dee583a9dc1ae5c63025f2886,fixed_budget,7,14,140.03244574999553,1,1,8000,57.12961704805656,,True,OK,e2-multidepot-100c-01,2,2.3.5,/opt/anaconda3/bin/python3.13,1,15,900.0,budget8k100,100kWh lowered fixed budget,1,100,OK,"{""acceptance"": {""count"": 7968.0, ""seconds"": 0.0019701386045198888}, ""checkpoint_model_cost"": {""count"": 1.0, ""seconds"": 0.0002470839972374961}, ""destroy:random_customer_removal"": {""count"": 1329.0, ""seconds"": 0.20384066691622138}, ""destroy:route_segment_removal"": {""count"": 1326.0, ""seconds"": 0.22518240043427795}, ""destroy:shaw_related_removal"": {""count"": 1329.0, ""seconds"": 6.937392715961323}, ""destroy:vehicle_type_swap"": {""count"": 1326.0, ""seconds"": 3.8495963728491915}, ""destroy:whole_route_removal"": {""count"": 1329.0, ""seconds"": 0.2008429611014435}, ""destroy:worst_customer_removal"": {""count"": 1329.0, ""seconds"": 0.23231875099008903}, ""final_check"": {""count"": 1.0, ""seconds"": 0.00031895800202619284}, ""full_candidate_score"": {""count"": 7968.0, ""seconds"": 4.441993381362408}, ""history_model_cost"": {""count"": 1.0, ""seconds"": 0.00030658299510832876}, ""initial_reference_score"": {""count"": 1.0, ""seconds"": 0.0006002500012982637}, ""repair:greedy_insert_repair"": {""count"": 2656.0, ""seconds"": 41.75913234130712}, ""repair:regret2_insert_repair"": {""count"": 2656.0, ""seconds"": 41.846507040114375}, ""repair:regret3_insert_repair"": {""count"": 2656.0, ""seconds"": 41.987341410131194}, ""repair_full_check"": {""count"": 15936.0, ""seconds"": 5.278388261736836}, ""repair_solution_score"": {""count"": 3618.0, ""seconds"": 0.877599091239972}, ""route_model_cost"": {""count"": 324891.0, ""seconds"": 7.712866144414875}, ""scan_build"": {""count"": 32.0, ""seconds"": 0.03177879394206684}, ""scan_score"": {""count"": 32.0, ""seconds"": 0.01607454303302802}}",0,False,False,0.06666666666666667,,
{},8000,LNS,100.0,476.14411336859115,multidepot,/Volumes/移动硬盘（512G）/ReSETP/baselines/e2_alns/wallclock_battery_preflight_stagea_data/checkpoints/budget8k100/e2-multidepot-10c-01__LNS__seed1.json,True,c03ef202d3f60b6dee583a9dc1ae5c63025f2886,fixed_budget,1,2,16.859945666990825,1,1,8000,474.49737727582163,,True,OK,e2-multidepot-10c-01,2,2.3.5,/opt/anaconda3/bin/python3.13,1,3,300.0,budget8k100,100kWh lowered fixed budget,1,10,OK,{},0,False,False,0.3333333333333333,,
"{""SETP_ALNS_CRUSH_ADAPTIVE_Q"": ""1"", ""SETP_ALNS_CRUSH_LOCAL_SEARCH"": ""0"", ""SETP_ALNS_CRUSH_REPAIR_STRUCTURE_CACHE"": ""1"", ""SETP_ALNS_CRUSH_ROUTE_COST_CACHE"": ""1"", ""SETP_ALNS_CRUSH_ROUTE_ELIMINATION"": ""0"", ""SETP_ALNS_CRUSH_SA_ACCEPTANCE"": ""1"", ""SETP_ALNS_CRUSH_SA_MODE"": ""lns_cooling"", ""SETP_ALNS_CRUSH_SCAN_REBUILD"": ""1"", ""SETP_ALNS_CRUSH_SCAN_RESTART"": ""1"", ""SETP_ALNS_CRUSH_TIMING_LEDGER"": ""1"", ""SETP_ALNS_CRUSH_TRUE_ACCEPTANCE"": ""0"", ""SETP_ALNS_CRUSH_TRUE_REPAIR"": ""1""}",8000,alns_e2_throughput,100.0,387.9007343319535,multidepot,/Volumes/移动硬盘（512G）/ReSETP/baselines/e2_alns/wallclock_battery_preflight_stagea_data/checkpoints/budget8k100/e2-multidepot-10c-01__alns_e2_throughput__seed1.json,True,c03ef202d3f60b6dee583a9dc1ae5c63025f2886,fixed_budget,1,1,6.215704917005496,1,1,8000,1287.062385814498,,True,OK,e2-multidepot-10c-01,1,2.3.5,/opt/anaconda3/bin/python3.13,1,2,300.0,budget8k100,100kWh lowered fixed budget,1,10,OK,"{""acceptance"": {""count"": 7968.0, ""seconds"": 0.005967639968730509}, ""checkpoint_model_cost"": {""count"": 4.0, ""seconds"": 0.00023312399571295828}, ""destroy:random_customer_removal"": {""count"": 420.0, ""seconds"": 0.017753623105818406}, ""destroy:route_segment_removal"": {""count"": 5397.0, ""seconds"": 0.14201559983484913}, ""destroy:shaw_related_removal"": {""count"": 420.0, ""seconds"": 0.027535496003110893}, ""destroy:vehicle_type_swap"": {""count"": 420.0, ""seconds"": 0.06112158304313198}, ""destroy:whole_route_removal"": {""count"": 891.0, ""seconds"": 0.01670628201100044}, ""destroy:worst_customer_removal"": {""count"": 420.0, ""seconds"": 0.01123841290245764}, ""final_check"": {""count"": 1.0, ""seconds"": 8.145900210365653e-05}, ""full_candidate_score"": {""count"": 7968.0, ""seconds"": 0.9509480248671025}, ""history_model_cost"": {""count"": 4.0, ""seconds"": 0.0001965830015251413}, ""initial_reference_score"": {""count"": 1.0, ""seconds"": 0.0004108749999431893}, ""local_search"": {""count"": 899.0, ""seconds"": 0.001110543220420368}, ""repair:greedy_insert_repair"": {""count"": 840.0, ""seconds"": 0.45036035595694557}, ""repair:regret2_insert_repair"": {""count"": 6237.0, ""seconds"": 2.797378230796312}, ""repair:regret3_insert_repair"": {""count"": 891.0, ""seconds"": 0.4989519688533619}, ""repair_full_check"": {""count"": 8508.0, ""seconds"": 0.7287255606352119}, ""repair_solution_score"": {""count"": 423.0, ""seconds"": 0.014499996163067408}, ""route_model_cost"": {""count"": 747.0, ""seconds"": 0.015693752910010517}, ""scan_build"": {""count"": 32.0, ""seconds"": 0.0028954159788554534}, ""scan_score"": {""count"": 32.0, ""seconds"": 0.0024092070088954642}}",0,False,False,0.5,,
{},8000,LNS,100.0,5488.782859056312,multidepot,/Volumes/移动硬盘（512G）/ReSETP/baselines/e2_alns/wallclock_battery_preflight_stagea_data/checkpoints/budget8k100/e2-multidepot-150c-01__LNS__seed1.json,True,c03ef202d3f60b6dee583a9dc1ae5c63025f2886,fixed_budget,10,21,442.1149603329977,1,1,8000,18.09484120142521,,True,OK,e2-multidepot-150c-01,3,2.3.5,/opt/anaconda3/bin/python3.13,1,22,900.0,budget8k100,100kWh lowered fixed budget,1,150,OK,{},0,False,False,0.045454545454545456,,
"{""SETP_ALNS_CRUSH_ADAPTIVE_Q"": ""1"", ""SETP_ALNS_CRUSH_LOCAL_SEARCH"": ""0"", ""SETP_ALNS_CRUSH_REPAIR_STRUCTURE_CACHE"": ""1"", ""SETP_ALNS_CRUSH_ROUTE_COST_CACHE"": ""1"", ""SETP_ALNS_CRUSH_ROUTE_ELIMINATION"": ""0"", ""SETP_ALNS_CRUSH_SA_ACCEPTANCE"": ""1"", ""SETP_ALNS_CRUSH_SA_MODE"": ""lns_cooling"", ""SETP_ALNS_CRUSH_SCAN_REBUILD"": ""1"", ""SETP_ALNS_CRUSH_SCAN_RESTART"": ""1"", ""SETP_ALNS_CRUSH_TIMING_LEDGER"": ""1"", ""SETP_ALNS_CRUSH_TRUE_ACCEPTANCE"": ""0"", ""SETP_ALNS_CRUSH_TRUE_REPAIR"": ""1""}",8000,alns_e2_throughput,100.0,5488.782859056312,multidepot,/Volumes/移动硬盘（512G）/ReSETP/baselines/e2_alns/wallclock_battery_preflight_stagea_data/checkpoints/budget8k100/e2-multidepot-150c-01__alns_e2_throughput__seed1.json,True,c03ef202d3f60b6dee583a9dc1ae5c63025f2886,fixed_budget,10,21,335.9672750829923,1,1,8000,23.811842977932304,,True,OK,e2-multidepot-150c-01,3,2.3.5,/opt/anaconda3/bin/python3.13,1,22,900.0,budget8k100,100kWh lowered fixed budget,1,150,OK,"{""acceptance"": {""count"": 7968.0, ""seconds"": 0.002021081672864966}, ""checkpoint_model_cost"": {""count"": 1.0, ""seconds"": 0.0003608330007409677}, ""destroy:random_customer_removal"": {""count"": 1329.0, ""seconds"": 0.3200897194474237}, ""destroy:route_segment_removal"": {""count"": 1326.0, ""seconds"": 0.3802130182593828}, ""destroy:shaw_related_removal"": {""count"": 1329.0, ""seconds"": 19.30730310792569}, ""destroy:vehicle_type_swap"": {""count"": 1326.0, ""seconds"": 4.211966261893394}, ""destroy:whole_route_removal"": {""count"": 1329.0, ""seconds"": 0.34579540994309355}, ""destroy:worst_customer_removal"": {""count"": 1329.0, ""seconds"": 0.3836606576369377}, ""final_check"": {""count"": 1.0, ""seconds"": 0.00055233298917301}, ""full_candidate_score"": {""count"": 7968.0, ""seconds"": 6.772444396425271}, ""history_model_cost"": {""count"": 1.0, ""seconds"": 0.0004394590068841353}, ""initial_reference_score"": {""count"": 1.0, ""seconds"": 0.0009007909975480288}, ""repair:greedy_insert_repair"": {""count"": 2656.0, ""seconds"": 103.45860894609359}, ""repair:regret2_insert_repair"": {""count"": 2656.0, ""seconds"": 100.55280965051497}, ""repair:regret3_insert_repair"": {""count"": 2656.0, ""seconds"": 102.58704217201739}, ""repair_full_check"": {""count"": 15936.0, ""seconds"": 8.758707955712453}, ""repair_solution_score"": {""count"": 2838.0, ""seconds"": 1.027207715305849}, ""route_model_cost"": {""count"": 670170.0, ""seconds"": 16.79167525981029}, ""scan_build"": {""count"": 32.0, ""seconds"": 0.052283001961768605}, ""scan_score"": {""count"": 32.0, ""seconds"": 0.024611830071080476}}",0,False,False,0.045454545454545456,,
{},8000,LNS,100.0,621.371321439464,multidepot,/Volumes/移动硬盘（512G）/ReSETP/baselines/e2_alns/wallclock_battery_preflight_stagea_data/checkpoints/budget8k100/e2-multidepot-15c-01__LNS__seed1.json,True,c03ef202d3f60b6dee583a9dc1ae5c63025f2886,fixed_budget,2,2,16.469683667004574,0,0,8000,485.7409627136452,,True,OK,e2-multidepot-15c-01,1,2.3.5,/opt/anaconda3/bin/python3.13,1,2,300.0,budget8k100,100kWh lowered fixed budget,1,15,OK,{},0,True,False,0.0,,
"{""SETP_ALNS_CRUSH_ADAPTIVE_Q"": ""1"", ""SETP_ALNS_CRUSH_LOCAL_SEARCH"": ""0"", ""SETP_ALNS_CRUSH_REPAIR_STRUCTURE_CACHE"": ""1"", ""SETP_ALNS_CRUSH_ROUTE_COST_CACHE"": ""1"", ""SETP_ALNS_CRUSH_ROUTE_ELIMINATION"": ""0"", ""SETP_ALNS_CRUSH_SA_ACCEPTANCE"": ""1"", ""SETP_ALNS_CRUSH_SA_MODE"": ""lns_cooling"", ""SETP_ALNS_CRUSH_SCAN_REBUILD"": ""1"", ""SETP_ALNS_CRUSH_SCAN_RESTART"": ""1"", ""SETP_ALNS_CRUSH_TIMING_LEDGER"": ""1"", ""SETP_ALNS_CRUSH_TRUE_ACCEPTANCE"": ""0"", ""SETP_ALNS_CRUSH_TRUE_REPAIR"": ""1""}",8000,alns_e2_throughput,100.0,621.371321439464,multidepot,/Volumes/移动硬盘（512G）/ReSETP/baselines/e2_alns/wallclock_battery_preflight_stagea_data/checkpoints/budget8k100/e2-multidepot-15c-01__alns_e2_throughput__seed1.json,True,c03ef202d3f60b6dee583a9dc1ae5c63025f2886,fixed_budget,2,2,7.957812624998041,0,0,8000,1005.3013782794326,,True,OK,e2-multidepot-15c-01,1,2.3.5,/opt/anaconda3/bin/python3.13,1,2,300.0,budget8k100,100kWh lowered fixed budget,1,15,OK,"{""acceptance"": {""count"": 7968.0, ""seconds"": 0.0032397427858086303}, ""checkpoint_model_cost"": {""count"": 2.0, ""seconds"": 8.879098459146917e-05}, ""destroy:random_customer_removal"": {""count"": 1028.0, ""seconds"": 0.04101040991372429}, ""destroy:route_segment_removal"": {""count"": 1114.0, ""seconds"": 0.03250988708168734}, ""destroy:shaw_related_removal"": {""count"": 3599.0, ""seconds"": 0.3301276999700349}, ""destroy:vehicle_type_swap"": {""count"": 576.0, ""seconds"": 0.1472434159804834}, ""destroy:whole_route_removal"": {""count"": 1075.0, ""seconds"": 0.021751116059022024}, ""destroy:worst_customer_removal"": {""count"": 576.0, ""seconds"": 0.01735365107015241}, ""final_check"": {""count"": 1.0, ""seconds"": 4.458299372345209e-05}, ""full_candidate_score"": {""count"": 7968.0, ""seconds"": 0.6961497264128411}, ""history_model_cost"": {""count"": 2.0, ""seconds"": 0.00013137501082383096}, ""initial_reference_score"": {""count"": 1.0, ""seconds"": 0.00014120800187811255}, ""local_search"": {""count"": 194.0, ""seconds"": 0.00029262807220220566}, ""repair:greedy_insert_repair"": {""count"": 1604.0, ""seconds"": 1.1439292771392502}, ""repair:regret2_insert_repair"": {""count"": 1690.0, ""seconds"": 0.9848551451577805}, ""repair:regret3_insert_repair"": {""count"": 4674.0, ""seconds"": 3.594253450486576}, ""repair_full_check"": {""count"": 9803.0, ""seconds"": 0.6297059740609257}, ""route_model_cost"": {""count"": 2705.0, ""seconds"": 0.05605726226349361}, ""scan_build"": {""count"": 32.0, ""seconds"": 0.004249250967404805}, ""scan_score"": {""count"": 32.0, ""seconds"": 0.0033582940523047}}",0,True,False,0.0,,
{},8000,LNS,100.0,6608.239546640648,multidepot,/Volumes/移动硬盘（512G）/ReSETP/baselines/e2_alns/wallclock_battery_preflight_stagea_data/checkpoints/budget8k100/e2-multidepot-200c-01__LNS__seed1.json,True,c03ef202d3f60b6dee583a9dc1ae5c63025f2886,fixed_budget,14,28,660.3157456670015,1,1,8000,12.115416075560942,,True,OK,e2-multidepot-200c-01,2,2.3.5,/opt/anaconda3/bin/python3.13,1,29,900.0,budget8k100,100kWh lowered fixed budget,1,200,OK,{},0,False,False,0.034482758620689655,,
"{""SETP_ALNS_CRUSH_ADAPTIVE_Q"": ""1"", ""SETP_ALNS_CRUSH_LOCAL_SEARCH"": ""0"", ""SETP_ALNS_CRUSH_REPAIR_STRUCTURE_CACHE"": ""1"", ""SETP_ALNS_CRUSH_ROUTE_COST_CACHE"": ""1"", ""SETP_ALNS_CRUSH_ROUTE_ELIMINATION"": ""0"", ""SETP_ALNS_CRUSH_SA_ACCEPTANCE"": ""1"", ""SETP_ALNS_CRUSH_SA_MODE"": ""lns_cooling"", ""SETP_ALNS_CRUSH_SCAN_REBUILD"": ""1"", ""SETP_ALNS_CRUSH_SCAN_RESTART"": ""1"", ""SETP_ALNS_CRUSH_TIMING_LEDGER"": ""1"", ""SETP_ALNS_CRUSH_TRUE_ACCEPTANCE"": ""0"", ""SETP_ALNS_CRUSH_TRUE_REPAIR"": ""1""}",8000,alns_e2_throughput,100.0,6608.239546640648,multidepot,/Volumes/移动硬盘（512G）/ReSETP/baselines/e2_alns/wallclock_battery_preflight_stagea_data/checkpoints/budget8k100/e2-multidepot-200c-01__alns_e2_throughput__seed1.json,True,c03ef202d3f60b6dee583a9dc1ae5c63025f2886,fixed_budget,14,28,634.6918825410103,1,1,8000,12.604541227109651,,True,OK,e2-multidepot-200c-01,2,2.3.5,/opt/anaconda3/bin/python3.13,1,29,900.0,budget8k100,100kWh lowered fixed budget,1,200,OK,"{""acceptance"": {""count"": 7968.0, ""seconds"": 0.0020970344048691913}, ""checkpoint_model_cost"": {""count"": 1.0, ""seconds"": 0.0004718340060207993}, ""destroy:random_customer_removal"": {""count"": 1329.0, ""seconds"": 0.4659441619151039}, ""destroy:route_segment_removal"": {""count"": 1326.0, ""seconds"": 0.599958031787537}, ""destroy:shaw_related_removal"": {""count"": 1329.0, ""seconds"": 44.432732478220714}, ""destroy:vehicle_type_swap"": {""count"": 1326.0, ""seconds"": 11.712754050939111}, ""destroy:whole_route_removal"": {""count"": 1329.0, ""seconds"": 0.5575443717971211}, ""destroy:worst_customer_removal"": {""count"": 1329.0, ""seconds"": 0.561543951072963}, ""final_check"": {""count"": 1.0, ""seconds"": 0.0006639159983024001}, ""full_candidate_score"": {""count"": 7968.0, ""seconds"": 9.239182726538274}, ""history_model_cost"": {""count"": 1.0, ""seconds"": 0.0006007920019328594}, ""initial_reference_score"": {""count"": 1.0, ""seconds"": 0.0012135830038459972}, ""repair:greedy_insert_repair"": {""count"": 2656.0, ""seconds"": 190.63569253664173}, ""repair:regret2_insert_repair"": {""count"": 2656.0, ""seconds"": 193.53320300586347}, ""repair:regret3_insert_repair"": {""count"": 2656.0, ""seconds"": 184.07379328140814}, ""repair_full_check"": {""count"": 15936.0, ""seconds"": 12.46570553604397}, ""repair_solution_score"": {""count"": 5490.0, ""seconds"": 2.6311245821561897}, ""route_model_cost"": {""count"": 1033155.0, ""seconds"": 27.175755727366777}, ""scan_build"": {""count"": 32.0, ""seconds"": 0.079811043018708}, ""scan_score"": {""count"": 32.0, ""seconds"": 0.03494012101145927}}",0,False,False,0.034482758620689655,,
