pair_id,instance,condition,seed,customer_count,total_demand_kg,cross_site_customer_count,cross_site_customer_share,cross_site_demand_kg,cross_site_demand_share,cross_site_demand_weighted_depot_distance_change_pct,original_owner_demand_weighted_distance,serving_depot_demand_weighted_distance,fixed_solution_legal_under_open_rule,fixed_solution_sha256,shared_solution_sha256
L-main-threeshift-100c-01__geographic__seed1,L-main-threeshift-100c-01,geographic,1,221,97921.0,6,0.027149321266968326,2774.0,0.02832895905883314,9.335985361518132,117924036.37052849,128933407.14379235,True,9b7ba5b1a0291595295050af46fb4e1494bb98d21466b305138d7ca9b87341b5,466549fc26a93526793bcaca80c843240f846ce2919af884756f83cc4790fed1
L-main-threeshift-100c-01__geographic__seed2,L-main-threeshift-100c-01,geographic,2,221,97921.0,13,0.058823529411764705,5359.0,0.0547277907701106,49.156616425983245,184641653.10149136,275405242.27918607,True,f36147105ab3be3cb60c0ac288215ff062b136c8afc0c587eaf564edc4c8c40a,fbcf75081bce6edb77153abe0268acadb15b30d8d522654bb536883238eb654f
L-main-threeshift-100c-01__geographic__seed3,L-main-threeshift-100c-01,geographic,3,221,97921.0,6,0.027149321266968326,1705.0,0.017411995384034068,6.162460066610793,93605761.25805803,99374178.91563289,True,4127badbe969affff6b2f2890a58c35b797cc39b54925e3d4455ae360ed122fb,ec377d2a1c6fb01a073d1c9e2d71df5fe31f9882a93609d03d1ff05f01b55565
L-main-threeshift-100c-01__mixed__seed1,L-main-threeshift-100c-01,mixed,1,221,97921.0,77,0.34841628959276016,35632.0,0.36388517274129145,-30.519158561159248,2822458886.071158,1961068183.3075721,True,ec522d721727f3ecdb5af69def5496cdd4406a59bd73cfc28bb79fe6e5eb7a94,3387e1f9bf9feadac6ba16c08b0fb529174eaf0df0c3e989513e3e87e09d3d5d
L-main-threeshift-100c-01__mixed__seed2,L-main-threeshift-100c-01,mixed,2,221,97921.0,77,0.34841628959276016,33642.0,0.3435626678649115,-36.98432773317403,2823374235.954095,1779168255.3948343,True,ec522d721727f3ecdb5af69def5496cdd4406a59bd73cfc28bb79fe6e5eb7a94,696c3b384bd802708234fe87106e7b3e278d8d282c4ac1b4ee10b367698c9cca
L-main-threeshift-100c-01__mixed__seed3,L-main-threeshift-100c-01,mixed,3,221,97921.0,83,0.3755656108597285,36553.0,0.37329071394287233,-35.39593771352122,2972113107.8173304,1920105803.3989084,True,ec522d721727f3ecdb5af69def5496cdd4406a59bd73cfc28bb79fe6e5eb7a94,d5acb25e7cd5ebb04fc1d9b945047a7096a7187b1f5fc33c47590735060fa5c7
L-main-threeshift-10c-01__geographic__seed1,L-main-threeshift-10c-01,geographic,1,22,11625.0,5,0.22727272727272727,2568.0,0.2209032258064516,31.914362431149275,120381621.85072462,158800648.94866046,True,4e7dd4ef59e3123ea9b84d440f3d2474d3ea521d3075b915cc1490a86731475b,4b9c5b9d8941317db84a4ec78d83a42c3ccca23e03c7fe622cbb61ce9609c0ea
L-main-threeshift-10c-01__geographic__seed2,L-main-threeshift-10c-01,geographic,2,22,11625.0,5,0.22727272727272727,2568.0,0.2209032258064516,31.914362431149275,120381621.85072462,158800648.94866046,True,5f155e033016e80cf7bf9782b85e5cd8060a92947ad65ea524744fa1bb4141f2,d5dfb65fb6f7a196b5eaf87d5b81b41a4580331afac025738e56204d1bca3dff
L-main-threeshift-10c-01__geographic__seed3,L-main-threeshift-10c-01,geographic,3,22,11625.0,3,0.13636363636363635,1312.0,0.11286021505376344,42.39970583801849,57073406.54918168,81272363.03777109,True,2e4e52ea4869f74cf9dc02da30fe520bf0d2d57ef41a5e894b10ce7118655ca1,3fdcace35b9a55fc2536db972a2007c1fa0309d166baa31361eead28c75ed3ee
L-main-threeshift-10c-01__mixed__seed1,L-main-threeshift-10c-01,mixed,1,22,11625.0,7,0.3181818181818182,3145.0,0.2705376344086021,-17.887681806757765,196976828.21345618,161742239.94958928,True,1f7afe5bd6a226487a5b509698caa9fe2acb87bcce7534ca32bf0562a5e00660,d5f4f0aaacf12d8270e56c2cc358885bcd32d9f2ebd69b6536089df3f441e35f
L-main-threeshift-10c-01__mixed__seed2,L-main-threeshift-10c-01,mixed,2,22,11625.0,8,0.36363636363636365,3339.0,0.2872258064516129,-13.885070480074482,190929207.7953772,164418552.7259412,True,e33bd718b9c35af8722fe7b9b8777faac9642971d7bcea4c2204cf0061cca571,2de6335c507c38a30fe57e19daac93db7b32e48fedc857b8ba3a5a90ce0a5a2a
L-main-threeshift-10c-01__mixed__seed3,L-main-threeshift-10c-01,mixed,3,22,11625.0,7,0.3181818181818182,3145.0,0.2705376344086021,-17.887681806757765,196976828.21345618,161742239.94958928,True,80b892e84ece79ae2f862f24b0342d3ece1b6b443edd6b2838616eda7970d27a,8523d9ce02711cb32909f9e6cb854bbcc103fd31996cb1cd14fe4c596e0de426
L-main-threeshift-150c-01__geographic__seed1,L-main-threeshift-150c-01,geographic,1,322,147468.0,7,0.021739130434782608,4287.0,0.029070713646350395,1.1886446288152563,304054243.30562514,307668367.7373623,True,d85407c93a6afff1a28820a76d85384ea403854fddaecfc96a3b802da6738999,8a6abf54dbb5783c5c7f55fda4b7f053b5a9ffb324cfc98d58f5cc6fa0edfe8e
L-main-threeshift-150c-01__geographic__seed2,L-main-threeshift-150c-01,geographic,2,322,147468.0,1,0.003105590062111801,713.0,0.004834947242791657,0.2678658132292289,34420846.75258357,34513048.433657765,True,33e60172dd2bf17c00b5c8f5bda98c62e6135c689a524d89a9d374a3446040a5,d6d463397af7092052b3d24874cd8d6abe26b3d51692313c857efd094fa8362a
L-main-threeshift-150c-01__geographic__seed3,L-main-threeshift-150c-01,geographic,3,322,147468.0,5,0.015527950310559006,2093.0,0.014192909648194862,3.3596573706947983,89989371.25309177,93012705.79723817,True,af4e9ae9312070d4b72f6b41c890fb2463325fba9608002b29e66f9880faa7a2,328471da8d2ca62bb55c65276fa532b075ad48c066af81bd0b368be1fd8d26ef
L-main-threeshift-150c-01__mixed__seed1,L-main-threeshift-150c-01,mixed,1,322,147468.0,105,0.32608695652173914,48471.0,0.3286882577915209,-7.779445050281347,2556814768.59454,2357908768.6342497,True,0c53e3029d148a5c14306ecb41e97ee362ffebd4346eb734cf1bb2592a5c6a73,76d718b7d18adf115b4d4385f760f42053c8d4d6faa4f09159ec99d19564ed38
L-main-threeshift-150c-01__mixed__seed2,L-main-threeshift-150c-01,mixed,2,322,147468.0,82,0.2546583850931677,34784.0,0.2358749016735834,-4.456811969282101,1801421586.6669672,1721135613.7751622,True,0c53e3029d148a5c14306ecb41e97ee362ffebd4346eb734cf1bb2592a5c6a73,43d298a71095ad04a4def885273b4da47853cfa97d85fe477252237b693f9e94
L-main-threeshift-150c-01__mixed__seed3,L-main-threeshift-150c-01,mixed,3,322,147468.0,103,0.3198757763975155,41456.0,0.2811186155640546,-3.276881876256546,2235905622.1482863,2162637636.045908,True,0056057552ca643daa1ddcdd6b3a1341c57bb995535efb21b00e7e4c32672007,227c4d0eea9f18ad3b2786687c36e17966d2b03feb597088dea5bab4c21f3cbb
L-main-threeshift-15c-01__geographic__seed1,L-main-threeshift-15c-01,geographic,1,34,13776.0,2,0.058823529411764705,916.0,0.0664924506387921,6.550628795088334,42323609.26742515,45096071.803217776,True,a5afc7013e9ac77f078a2a605db74b592d7f764a0acc616f319e6551ba95d68c,b9891389f365d8e47d5e64c379e43fbdf9ea5e3c9f20c13d99398315bbbe1e5c
L-main-threeshift-15c-01__geographic__seed2,L-main-threeshift-15c-01,geographic,2,34,13776.0,2,0.058823529411764705,1390.0,0.10090011614401859,25.636521836063576,57060376.94069937,71688672.93484195,True,bea2e3eaa74ab84a7b353770e824528edb945b3fdb8c213c8dbc48c88a0b3076,111581250571ce4ee6fe739935f8a62a529a2628bc25d69bfe6caf54e63909eb
L-main-threeshift-15c-01__geographic__seed3,L-main-threeshift-15c-01,geographic,3,34,13776.0,3,0.08823529411764706,1283.0,0.09313298490127758,22.993391552469227,54733534.54393332,67318630.4521259,True,b60a65292610ace5cafa1e08cb92ebb63e6293c640aded3dbce67a81ed535d0d,1af738cecfdcdeb6eb1856035a0923e2771d84c63ad755d6cbcb535557e4975b
L-main-threeshift-15c-01__mixed__seed1,L-main-threeshift-15c-01,mixed,1,34,13776.0,13,0.38235294117647056,5620.0,0.4079558652729384,-23.274569785734876,348732339.8431918,267566388.040962,True,b61ed8ae79275e08d47be5b93f85f4f0c8686b468657ca8c151521ed51b0f630,13f19ffa9c33b3dedb8887b115bd36bd414fc760e9bf9c41921b6559551183ba
L-main-threeshift-15c-01__mixed__seed2,L-main-threeshift-15c-01,mixed,2,34,13776.0,13,0.38235294117647056,5620.0,0.4079558652729384,-23.274569785734876,348732339.8431918,267566388.040962,True,37fb83560e5bf4fb23f77267fa0df1dbec12ae914075239d3eb48bb2ee956a40,f1ed0886a84a5c7f540a3ef560e6f5ae3d121640f6c2ecec7fd9fbd23f22d7a9
L-main-threeshift-15c-01__mixed__seed3,L-main-threeshift-15c-01,mixed,3,34,13776.0,13,0.38235294117647056,5546.0,0.4025842044134727,-24.11008566718718,365427013.8909459,277322247.79079485,True,e9d985a6ada7fb1ea3b95621737ac14c7561ad685d33ccdae3453360d63029be,32912d2528b93beddf24936fbbd26c50c64e5b78645bef29e5e260e345c1fa9f
L-main-threeshift-200c-01__geographic__seed1,L-main-threeshift-200c-01,geographic,1,449,201632.0,1,0.0022271714922048997,641.0,0.0031790588795429296,1.7188016991039834,17346203.47123028,17644350.31122382,True,041868a445f755b656f5225318618dac527c43e15a9fc5e130d25f8800a34b5d,5afb4955d3f9aac2ffd1527279f6de5a4b366e47c486d490c1aa0a839e97503e
L-main-threeshift-200c-01__geographic__seed2,L-main-threeshift-200c-01,geographic,2,449,201632.0,1,0.0022271714922048997,641.0,0.0031790588795429296,1.7188016991039834,17346203.47123028,17644350.31122382,True,041868a445f755b656f5225318618dac527c43e15a9fc5e130d25f8800a34b5d,5afb4955d3f9aac2ffd1527279f6de5a4b366e47c486d490c1aa0a839e97503e
L-main-threeshift-200c-01__geographic__seed3,L-main-threeshift-200c-01,geographic,3,449,201632.0,2,0.004454342984409799,1057.0,0.005242223456594191,4.603681777099141,26957188.673553027,28198211.85613562,True,041868a445f755b656f5225318618dac527c43e15a9fc5e130d25f8800a34b5d,cb2dd9e822516cdea2a4817120586c0b08274b5c5f1c6bfec25e44f62a8fde9e
L-main-threeshift-200c-01__mixed__seed1,L-main-threeshift-200c-01,mixed,1,449,201632.0,123,0.2739420935412027,52026.0,0.25802451991747344,-31.23935143863827,3328971859.88024,2289022641.278879,True,5ff08604f29ed277a389ba2bcc19819b7ac0b6d4dd5a2fd1af7146081da8cc3d,d0a9a6a6be1054ea8e6df81a444dc304e739434717ed7b97deda1f8953f1a13f
L-main-threeshift-200c-01__mixed__seed2,L-main-threeshift-200c-01,mixed,2,449,201632.0,146,0.32516703786191536,64135.0,0.31807947151245836,-29.73965806098981,4293119697.642012,3016360579.414278,True,5ff08604f29ed277a389ba2bcc19819b7ac0b6d4dd5a2fd1af7146081da8cc3d,cd2f4c1b6ed48dca74ef14fe72aa6e15d0c2c3c628f734c7664f5d891e14dbfb
