instance,customer_count,condition,responsibility_mismatch_index,mismatch_numerator_demand_distance,geographic_denominator_demand_distance,changed_customer_count,changed_customer_share,max_owner_demand_relative_drift,map_sha256,mixed_index,target_half_mixed_index,medium_minus_target,restored_pair_count,available_pair_count
L-main-threeshift-25c-01,55,geographic,0.0,0.0,799474924.9328359,0,0.0,0.0,0e591a32964515bf03077d198c09e47378502a971e083a5215b7cbcf84725033,,,,,
L-main-threeshift-25c-01,55,medium,0.2578473691637976,206142506.10635632,799474924.9328359,12,0.21818181818181817,0.008143463570995409,a7ecdd24974d1862588b9da193d0fbf46638e0d82d986ffbc8063ef1d06ae6e5,,,,,
L-main-threeshift-25c-01,55,mixed,0.5137905029436279,410762623.77206093,799474924.9328359,22,0.4,0.00025989777354240665,fd6a1430820f0959fd1f7f5d3652187960fcda116aa3ab7d01fcd5be8701d280,,,,,
L-main-threeshift-25c-01,55,medium_generation_check,0.2578473691637976,206142506.10635632,799474924.9328359,12,0.21818181818181817,0.008143463570995409,a7ecdd24974d1862588b9da193d0fbf46638e0d82d986ffbc8063ef1d06ae6e5,0.5137905029436279,0.25689525147181397,0.0009521176919836116,5,11
L-main-threeshift-50c-01,114,geographic,0.0,0.0,2224900170.6379194,0,0.0,0.0,e790d640c56a748775f5991974780b786885d89638b7e244f40d0825b022f883,,,,,
L-main-threeshift-50c-01,114,medium,0.19397895644733412,431583813.29983926,2224900170.6379194,24,0.21052631578947367,0.012570627655380842,e0e408536c2d976073bec5547948f65ade993b2a76d1c8958d6f79d99a8dd7be,,,,,
L-main-threeshift-50c-01,114,mixed,0.3830483338550511,852244303.356674,2224900170.6379194,50,0.43859649122807015,0.0,d15449a19f1a46ac21c97ce70fd04ee8d7eef61a1a991d4e34ee722829eb7b02,,,,,
L-main-threeshift-50c-01,114,medium_generation_check,0.19397895644733412,431583813.29983926,2224900170.6379194,24,0.21052631578947367,0.012570627655380842,e0e408536c2d976073bec5547948f65ade993b2a76d1c8958d6f79d99a8dd7be,0.3830483338550511,0.19152416692752555,0.00245478951980857,13,25
L-main-threeshift-75c-01,163,geographic,0.0,0.0,3214185333.260486,0,0.0,0.0,78e60955353d9bbbf746fd3844a4b8efe8ff566b1748fdd74fdae0e6f96d042a,,,,,
L-main-threeshift-75c-01,163,medium,0.25734930357281127,827168357.0685304,3214185333.260486,38,0.2331288343558282,0.0006249186303866685,05dcd10d32208a9bf711f0d804a39dab5e8c22406dbbe67201509ddce6ef5d7c,,,,,
L-main-threeshift-75c-01,163,mixed,0.5117427967999671,1644836191.8761556,3214185333.260486,76,0.4662576687116564,0.0,85fc0ecea0cf52193c70864683578c54a2f2b66bc39f0bf3dc9fed924c899509,,,,,
L-main-threeshift-75c-01,163,medium_generation_check,0.25734930357281127,827168357.0685304,3214185333.260486,38,0.2331288343558282,0.0006249186303866685,05dcd10d32208a9bf711f0d804a39dab5e8c22406dbbe67201509ddce6ef5d7c,0.5117427967999671,0.2558713983999836,0.0014779051728276982,19,38
L-main-threeshift-100c-01,221,geographic,0.0,0.0,4498489457.102518,0,0.0,0.0,224661a81d2e79b34a649b124596af0764894bea836f05327e1ce99dd66d2202,,,,,
L-main-threeshift-100c-01,221,medium,0.2132363988484546,959241692.0902805,4498489457.102518,56,0.25339366515837103,0.004100198603369851,e94a2b231f52bd7c9eccef154cfa4ee75f2876aa30bc2786fadcdc1e70d41812,,,,,
L-main-threeshift-100c-01,221,mixed,0.42813870094146395,1925977432.3627436,4498489457.102518,112,0.5067873303167421,0.0,c2028d75bb370121c2616e70ead87c1b7765b278bc6b5b723b07196682177edc,,,,,
L-main-threeshift-100c-01,221,medium_generation_check,0.2132363988484546,959241692.0902805,4498489457.102518,56,0.25339366515837103,0.004100198603369851,e94a2b231f52bd7c9eccef154cfa4ee75f2876aa30bc2786fadcdc1e70d41812,0.42813870094146395,0.21406935047073197,-0.000832951622277367,28,56
L-main-threeshift-150c-01,322,geographic,0.0,0.0,7400320764.665052,0,0.0,0.0,e4ce0243614129af51b1d94139fe673f33aab3aa2a8f02d30e0b35f16dd0b2a5,,,,,
L-main-threeshift-150c-01,322,medium,0.030949687637581408,229037616.08429095,7400320764.665052,76,0.2360248447204969,0.0013980129214398176,ba6c8c2b90522dd79372f9e8dde56083a868d95fa49613f78461efe0434fcb0d,,,,,
L-main-threeshift-150c-01,322,mixed,0.062115484213306885,459674507.6309592,7400320764.665052,150,0.4658385093167702,0.0,55dccbeaddf6f18ff4d50d774e7839393b7c22361155e0769905e441abfb7543,,,,,
L-main-threeshift-150c-01,322,medium_generation_check,0.030949687637581408,229037616.08429095,7400320764.665052,76,0.2360248447204969,0.0013980129214398176,ba6c8c2b90522dd79372f9e8dde56083a868d95fa49613f78461efe0434fcb0d,0.062115484213306885,0.031057742106653442,-0.00010805446907203448,37,75
L-main-threeshift-200c-01,449,geographic,0.0,0.0,8587893605.626306,0,0.0,0.0,724f8b09ee458f161d7c5860ada72c7096c46ecdb9c1560d418494709c201c74,,,,,
L-main-threeshift-200c-01,449,medium,0.17473984067382536,1500647160.3709042,8587893605.626306,116,0.2583518930957684,5.204375839205604e-05,70c546d7a5c5ed9f007b66c2c2b190aa3c4bd3d6cb017f7855f9bffe54546799,,,,,
L-main-threeshift-200c-01,449,mixed,0.34992639553916677,3005130654.6906714,8587893605.626306,230,0.512249443207127,0.0,c41bf36015fb401da6ea90e8ea808b2b2fb3d155e6024f8f699928bc562e2ba7,,,,,
L-main-threeshift-200c-01,449,medium_generation_check,0.17473984067382536,1500647160.3709042,8587893605.626306,116,0.2583518930957684,5.204375839205604e-05,70c546d7a5c5ed9f007b66c2c2b190aa3c4bd3d6cb017f7855f9bffe54546799,0.34992639553916677,0.17496319776958338,-0.00022335709575801999,57,115
